,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Free Cash Flow,684606829.42,528448060.3,442739730.55,-38779038.35
Repayment Of Debt,-2383831848.85,-1684825683.13,-911690000.0,-864566640.0
Issuance Of Debt,3288431634.35,2313034569.39,1308937000.0,1181627940.0
Capital Expenditure,-1018565573.4,-863483973.81,-456680519.64,-837228991.82
End Cash Position,3646997397.82,3854854923.0,3474836947.19,1429416363.84
Beginning Cash Position,3854854923.0,3474836947.19,1429416363.84,1058650806.36
Effect Of Exchange Rate Changes,-76897217.98,30662340.16,50942054.3,51977965.86
Changes In Cash,-130960307.2,349355635.65,1994478529.05,318787591.62
Financing Cash Flow,27884756.2,45757236.31,1550648228.38,282951276.12
Net Other Financing Charges,-367023242.28,-51701335.1,1455218734.27,95396335.45
Cash Dividends Paid,-507147240.1,-510750314.85,-301817505.89,-129106359.33
Net Issuance Payments Of Debt,904599785.5,628208886.26,397247000.0,317061300.0
Net Long Term Debt Issuance,904599785.5,628208886.26,397247000.0,317061300.0
Long Term Debt Payments,-2383831848.85,-1684825683.13,-911690000.0,-864566640.0
Long Term Debt Issuance,3288431634.35,2313034569.39,1308937000.0,1181627940.0
Investing Cash Flow,-1862017466.22,-1088333634.77,-455589949.52,-762613637.97
Net Other Investing Changes,-931300000.0,-282618524.08,147880600.91,420002540.58
Net Investment Purchase And Sale,115898897.98,45835042.44,14932426.8,-356842602.21
Sale Of Investment,115898897.98,95835042.44,68176258.74,31885535.79
Purchase Of Investment,,-50000000.0,-53243831.94,-388728138.0
Net Business Purchase And Sale,-32201498.54,,-174760322.9,
Purchase Of Business,-32201498.54,,-174760322.9,
Net PPE Purchase And Sale,-1014414865.66,-851550153.13,-443642654.33,-825773576.34
Sale Of PPE,4150707.74,11933820.68,13037865.31,11455415.48
Purchase Of PPE,-1018565573.4,-863483973.81,-456680519.64,-837228991.82
Operating Cash Flow,1703172402.82,1391932034.11,899420250.19,798449953.47
Change In Working Capital,-365186250.17,-323683023.82,-473803627.07,-708696551.04
Change In Other Current Assets,-19860358.08,-2985009.64,24684109.71,99948815.94
Change In Payable,27418660.21,501744615.05,50501038.51,531829226.86
Change In Inventory,-473191257.7,-134813170.22,52609003.74,-261671785.48
Change In Receivables,100446705.4,-687629459.01,-601597779.03,-1078802808.36
Other Non Cash Items,192965344.68,90183926.03,53073475.6,38609595.47
Depreciation And Amortization,632444140.37,597424222.71,548079324.11,339679914.31
Amortization Cash Flow,15930586.55,12540494.67,11636013.71,9979368.86
Depreciation,616513553.82,584883728.04,536443310.4,329700545.45
Gain Loss On Investment Securities,-124290662.35,-52553655.83,-241321782.37,-62326603.13
Gain Loss On Sale Of PPE,2011673.87,-2238025.15,-618833.03,1915467.5
Net Income From Continuing Operations,1245071261.59,1000616911.28,921554952.93,1093705219.45
Cash Flowsfromusedin Operating Activities Direct,1703172402.82,1391932034.11,899420250.19,798449953.47
Taxes Refund Paid Direct,-289560231.3,-201025859.23,-188671463.13,2986669.75
Classesof Cash Payments,-4315786019.34,-3278033129.19,-3481625235.78,-4213302865.66
Other Cash Paymentsfrom Operating Activities,-278872807.94,-274118949.4,-210797615.08,-177298336.82
Paymentson Behalfof Employees,-1313059080.7,-1095855190.28,-911908708.2,-840443322.16
Paymentsto Suppliersfor Goodsand Services,-2723854130.7,-1908058989.51,-2358918912.5,-3195561206.68
Classesof Cash Receiptsfrom Operating Activities,6308518653.46,4870991022.53,4569716949.1,5008766149.38
Other Cash Receiptsfrom Operating Activities,389884055.55,305991689.74,239662593.57,173094522.48
Receiptsfrom Customers,5918634597.91,4564999332.79,4330054355.53,4835671626.9
