,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Free Cash Flow,11875991000.0,1182999000.0,-1566263000.0,1604261000.0
Repayment Of Debt,-34221802000.0,-27506166000.0,-48941591000.0,-29427693000.0
Issuance Of Debt,27338102000.0,25457301000.0,56720129000.0,33607819000.0
Capital Expenditure,-2938287000.0,-4525221000.0,-5667122000.0,-10299972000.0
End Cash Position,11576469000.0,8141859000.0,12695771000.0,5694253000.0
Beginning Cash Position,8141859000.0,12695771000.0,5694253000.0,4410208000.0
Effect Of Exchange Rate Changes,57330000.0,-38517000.0,-85442000.0,-16610000.0
Changes In Cash,3377280000.0,-4515395000.0,7086960000.0,1300655000.0
Financing Cash Flow,-10279150000.0,-7529791000.0,4826439000.0,-1315372000.0
Net Other Financing Charges,-398074000.0,-2655533000.0,1771714000.0,118645000.0
Cash Dividends Paid,-2931206000.0,-2548694000.0,-4549036000.0,-5560948000.0
Net Issuance Payments Of Debt,-6883700000.0,-2048865000.0,7778538000.0,4180126000.0
Net Long Term Debt Issuance,-6883700000.0,-2048865000.0,7778538000.0,4180126000.0
Long Term Debt Payments,-34221802000.0,-27506166000.0,-48941591000.0,-29427693000.0
Long Term Debt Issuance,27338102000.0,25457301000.0,56720129000.0,33607819000.0
Investing Cash Flow,-1157848000.0,-2693824000.0,-1840338000.0,-9288206000.0
Net Other Investing Changes,-68632000.0,56921000.0,-44155000.0,-264776000.0
Net Investment Purchase And Sale,1595708000.0,1346165000.0,3744037000.0,953108000.0
Sale Of Investment,11012411000.0,8819644000.0,10520276000.0,16040455000.0
Purchase Of Investment,-9416703000.0,-7473479000.0,-6776239000.0,-15087347000.0
Net Business Purchase And Sale,,31215000.0,,
Sale Of Business,,31215000.0,,
Net PPE Purchase And Sale,-2684924000.0,-4128125000.0,-5540220000.0,-9976538000.0
Sale Of PPE,253363000.0,397096000.0,126902000.0,323434000.0
Purchase Of PPE,-2938287000.0,-4525221000.0,-5667122000.0,-10299972000.0
Operating Cash Flow,14814278000.0,5708220000.0,4100859000.0,11904233000.0
Change In Working Capital,4347810000.0,-3483950000.0,-3020563000.0,-1476402000.0
Change In Other Current Assets,-562279000.0,-417108000.0,-711552000.0,-254422000.0
Change In Payable,5592854000.0,-6020331000.0,8983649000.0,2719672000.0
Change In Inventory,-323508000.0,-81482000.0,-1372476000.0,729961000.0
Change In Receivables,-359257000.0,3034971000.0,-9920184000.0,-4671613000.0
Other Non Cash Items,681024000.0,117754000.0,77166000.0,122499000.0
Depreciation And Amortization,3540970000.0,3120064000.0,2567738000.0,2062396000.0
Amortization Cash Flow,424095000.0,388251000.0,317412000.0,294808000.0
Depreciation,3116875000.0,2731813000.0,2250326000.0,1767588000.0
Gain Loss On Investment Securities,-752929000.0,155933000.0,-517603000.0,-1198388000.0
Gain Loss On Sale Of PPE,62032000.0,39138000.0,-36608000.0,-37958000.0
Net Income From Continuing Operations,6092538000.0,4606110000.0,4422169000.0,12325681000.0
Cash Flowsfromusedin Operating Activities Direct,14814278000.0,5708220000.0,4100859000.0,11904233000.0
Taxes Refund Paid Direct,-970846000.0,-587889000.0,-1242410000.0,-4407945000.0
Interest Received Direct,652824000.0,822874000.0,810994000.0,755549000.0
Interest Paid Direct,-271896000.0,-391673000.0,-362424000.0,-269458000.0
Classesof Cash Payments,-73436769000.0,-78749064000.0,-80066433000.0,-100548828000.0
Other Cash Paymentsfrom Operating Activities,-11414730000.0,-9463055000.0,-9228617000.0,-9680873000.0
Paymentson Behalfof Employees,-10410522000.0,-10284166000.0,-9718295000.0,-9332939000.0
Paymentsto Suppliersfor Goodsand Services,-51611517000.0,-59001843000.0,-61119521000.0,-81535016000.0
Classesof Cash Receiptsfrom Operating Activities,88840965000.0,84613972000.0,84961132000.0,116374915000.0
Other Cash Receiptsfrom Operating Activities,6146715000.0,6341375000.0,8310980000.0,4351787000.0
Receiptsfrom Customers,82694250000.0,78272597000.0,76650152000.0,112023128000.0
