,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Ordinary Shares Number,8474978037.0,8485740237.0,8493286021.0,8492587833.0
Share Issued,8474978037.0,8485740237.0,8493286021.0,8492587833.0
Net Debt,634333000.0,15034922000.0,11345844000.0,3125095000.0
Total Debt,25515549000.0,35478775000.0,35088777000.0,20525689000.0
Tangible Book Value,67047288000.0,62858610000.0,60086615000.0,59256318000.0
Invested Capital,92970752000.0,101135766000.0,97739312000.0,81627870000.0
Working Capital,37836091000.0,43207331000.0,38053203000.0,32286594000.0
Net Tangible Assets,67047288000.0,62858610000.0,60086615000.0,59256318000.0
Capital Lease Obligations,541634000.0,550576000.0,308068000.0,122382000.0
Common Stock Equity,71953244000.0,68029017000.0,65050592000.0,63690908000.0
Total Capitalization,83509426000.0,91584745000.0,86675529000.0,73293573000.0
Total Equity Gross Minority Interest,73001599000.0,69162033000.0,66093639000.0,65095132000.0
Minority Interest,1048355000.0,1133016000.0,1043047000.0,1404224000.0
Stockholders Equity,71953244000.0,68029017000.0,65050592000.0,63690908000.0
Treasury Stock,142628000.0,215654000.0,301174000.0,619679000.0
Retained Earnings,55974108000.0,52069547000.0,49162059000.0,48767363000.0
Additional Paid In Capital,5068158000.0,5193087000.0,5297862000.0,5122917000.0
Capital Stock,8474978000.0,8485740000.0,8493286000.0,8492588000.0
Common Stock,8474978000.0,8485740000.0,8493286000.0,8492588000.0
Total Liabilities Net Minority Interest,79143477000.0,82041325000.0,92827641000.0,73461411000.0
Total Non Current Liabilities Net Minority Interest,15474249000.0,27614311000.0,25115730000.0,12029047000.0
Other Non Current Liabilities,173347000.0,210255000.0,228071000.0,231341000.0
Tradeand Other Payables Non Current,63459000.0,84930000.0,89288000.0,123494000.0
Non Current Deferred Revenue,2347376000.0,2387473000.0,2130628000.0,1371693000.0
Non Current Deferred Taxes Liabilities,792251000.0,825349000.0,734738000.0,577472000.0
Long Term Debt And Capital Lease Obligation,12097816000.0,24106304000.0,21933005000.0,9725047000.0
Long Term Capital Lease Obligation,541634000.0,550576000.0,308068000.0,122382000.0
Long Term Debt,11556182000.0,23555728000.0,21624937000.0,9602665000.0
Current Liabilities,63669228000.0,54427014000.0,67711911000.0,61432364000.0
Other Current Liabilities,4676222000.0,2991998000.0,7471954000.0,7370436000.0
Current Debt And Capital Lease Obligation,13417733000.0,11372471000.0,13155772000.0,10800642000.0
Current Debt,9461326000.0,9551021000.0,11063783000.0,8334297000.0
Payables,42947680000.0,37647453000.0,44946322000.0,40977844000.0
Other Payable,12855827000.0,13778236000.0,14496511000.0,11243530000.0
Dividends Payable,213862000.0,113986000.0,350315000.0,92868000.0
Total Tax Payable,1223632000.0,1062505000.0,1192809000.0,1081482000.0
Accounts Payable,28654359000.0,22692726000.0,28906687000.0,28559964000.0
Total Assets,152145076000.0,151203358000.0,158921280000.0,138556543000.0
Total Non Current Assets,50639757000.0,53569013000.0,53156166000.0,44837585000.0
Other Non Current Assets,113935000.0,148519000.0,364779000.0,355090000.0
Non Current Deferred Assets,177037000.0,183981000.0,73208000.0,33511000.0
Non Current Deferred Taxes Assets,3576592000.0,3070315000.0,2499338000.0,1598676000.0
Investmentin Financial Assets,893506000.0,1281810000.0,1672930000.0,1777766000.0
Available For Sale Securities,893506000.0,1281810000.0,1672930000.0,1777766000.0
Long Term Equity Investment,2424518000.0,2400912000.0,2239051000.0,2333487000.0
Investment Properties,218063000.0,139416000.0,152323000.0,144893000.0
Goodwill And Other Intangible Assets,4905956000.0,5170407000.0,4963977000.0,4434590000.0
Other Intangible Assets,4857946000.0,5120746000.0,4916476000.0,4388095000.0
Goodwill,48010000.0,49661000.0,47501000.0,46495000.0
Net PPE,24233207000.0,25600018000.0,24214207000.0,20894063000.0
Accumulated Depreciation,-18683390000.0,-16541593000.0,-14568621000.0,-13539017000.0
Gross PPE,42916597000.0,42141611000.0,38782828000.0,34433080000.0
Construction In Progress,1139956000.0,1366933000.0,4000878000.0,7417579000.0
Other Properties,4360678000.0,4219037000.0,3125150000.0,2310484000.0
Machinery Furniture Equipment,20071261000.0,19244171000.0,16920570000.0,12124982000.0
Properties,17344702000.0,17311470000.0,14736230000.0,12580035000.0
Current Assets,101505319000.0,97634345000.0,105765114000.0,93718958000.0
Other Current Assets,18903386000.0,19642002000.0,19433122000.0,20962802000.0
Hedging Assets Current,375720000.0,334063000.0,374301000.0,550165000.0
Prepaid Assets,970721000.0,751872000.0,1041546000.0,748026000.0
Inventory,19947981000.0,19767762000.0,19738362000.0,18462609000.0
Inventories Adjustments Allowances,0.0,0.0,0.0,0.0
Other Inventories,,,,-362685951.0
Finished Goods,14379903000.0,13937085000.0,12853605000.0,11037086000.0
Work In Process,1957168000.0,1903159000.0,2351625000.0,2327064000.0
Raw Materials,3610910000.0,3927518000.0,4533132000.0,5098459000.0
Other Receivables,4345404000.0,4053154000.0,3996258000.0,3754652000.0
Accounts Receivable,25516530000.0,24164729000.0,25022047000.0,19655404000.0
Allowance For Doubtful Accounts Receivable,-4177763000.0,-3672908000.0,-2650977000.0,-2432279000.0
Gross Accounts Receivable,29694293000.0,27837637000.0,27672587000.0,22087683000.0
Cash Cash Equivalents And Short Term Investments,31445577000.0,28920763000.0,36159478000.0,29585300000.0
Other Short Term Investments,11062402000.0,10848936000.0,14816602000.0,14773433000.0
Cash And Cash Equivalents,20383175000.0,18071827000.0,21342876000.0,14811867000.0
Cash Equivalents,689488000.0,704117000.0,962954000.0,825948000.0
Cash Financial,19693687000.0,17367710000.0,20379922000.0,13985919000.0
