,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Tax Effect Of Unusual Items,-9506.150622,-8907426.788694,-1558386.807124,-2411324.149786
Tax Rate For Calcs,0.128393,0.081196,0.12289,0.140467
Normalized EBITDA,1471179976.35,777635003.39,614535343.74,647355298.33
Total Unusual Items,-74039.52,-109702965.8,-12681103.49,-17166509.49
Total Unusual Items Excluding Goodwill,-74039.52,-109702965.8,-12681103.49,-17166509.49
Net Income From Continuing Operation Net Minority Interest,1103297424.75,473874867.06,425157196.53,450276514.14
Reconciled Depreciation,173086224.96,146546765.09,103289861.27,81449114.65
Reconciled Cost Of Revenue,4248394987.94,2652257777.21,3319738806.38,4252192335.62
EBITDA,1471105936.83,667932037.59,601854240.25,630188788.84
EBIT,1298019711.87,521385272.5,498564378.98,548739674.19
Net Interest Income,44167623.39,32215161.37,9369042.81,-21964570.99
Interest Expense,32199988.94,5633495.74,13839058.5,24878002.86
Interest Income,86054874.79,47332130.48,34625865.25,12789779.72
Normalized Income,1103361958.119378,574670406.071306,436279913.212876,465031699.480214
Net Income From Continuing And Discontinued Operation,1103297424.75,473874867.06,425157196.53,450276514.14
Total Expenses,5031201469.1,3160993180.72,3793538549.02,4619130826.91
Rent Expense Supplemental,10781683.9,6919611.4,3369695.2,3639444.93
Total Operating Income As Reported,1263332204.17,507689866.21,476807032.19,523006285.27
Diluted Average Shares,637744176.0,640371442.0,634562980.0,562845643.0
Basic Average Shares,637744176.0,640371442.0,634562980.0,562845643.0
Diluted EPS,1.73,0.74,0.67,0.8
Basic EPS,1.73,0.74,0.67,0.8
Net Income Common Stockholders,1103297424.75,473874867.06,425157196.53,450276514.14
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,1103297424.75,473874867.06,425157196.53,450276514.14
Net Income Including Noncontrolling Interests,1103297424.75,473874867.06,425157196.53,450276514.14
Net Income Continuous Operations,1103297424.75,473874867.06,425157196.53,450276514.14
Tax Provision,162522298.18,41876909.7,59568123.95,73585157.19
Pretax Income,1265819722.93,515751776.76,484725320.48,523861671.33
Other Non Operating Income Expenses,2487518.76,8061910.55,7918288.29,855386.06
Special Income Charges,1320881.57,-107891190.17,-7998047.23,-17166509.49
Other Special Charges,1782619.57,-6690439.25,19871.2,-638349.46
Write Off,-49782771.07,70071210.51,1061200.89,17463171.22
Impairment Of Capital Assets,46679269.93,44510418.91,6916975.14,341687.73
Net Non Operating Interest Income Expense,44167623.39,32215161.37,9369042.81,-21964570.99
Total Other Finance Cost,9687262.46,9483473.37,11417763.94,9876347.85
Interest Expense Non Operating,32199988.94,5633495.74,13839058.5,24878002.86
Interest Income Non Operating,86054874.79,47332130.48,34625865.25,12789779.72
Operating Income,1142348777.36,618657389.49,531543420.59,486982797.36
Operating Expense,782806481.16,508735403.51,473799742.64,366938491.29
Other Operating Expenses,41707622.94,29191042.45,22308900.2,18419984.86
Depreciation And Amortization In Income Statement,17815829.29,19054289.97,21168704.11,17696249.42
Amortization,7266793.13,5200398.15,6491747.56,3697001.65
Depreciation Income Statement,10549036.16,13853891.82,14676956.55,13999247.77
Research And Development,288177998.21,182011735.35,255605750.57,215341392.76
Selling General And Administration,137899386.57,113551234.92,92179135.23,64594422.98
Selling And Marketing Expense,58591127.43,53196700.68,43616795.75,25733815.42
General And Administrative Expense,79308259.14,60354534.24,48562339.48,38860607.56
Rent And Landing Fees,10781683.9,6919611.4,3369695.2,3639444.93
Gross Profit,1925155258.52,1127392793.0,1005343163.23,853921288.65
Cost Of Revenue,4248394987.94,2652257777.21,3319738806.38,4252192335.62
Total Revenue,6173550246.46,3779650570.21,4325081969.61,5106113624.27
Operating Revenue,6173550246.46,3779650570.21,4325081969.61,5106113624.27
