,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Tax Effect Of Unusual Items,-475948.746907,1050005.704884,-3850101.31,1489508.6525
Tax Rate For Calcs,0.046603,0.023594,0.25,0.25
Normalized EBITDA,497639749.01,375130033.6,346945428.58,662882113.86
Total Unusual Items,-10212896.13,44502779.12,-15400405.24,5958034.61
Total Unusual Items Excluding Goodwill,-10212896.13,44502779.12,-15400405.24,5958034.61
Net Income From Continuing Operation Net Minority Interest,308367801.59,256259877.23,204713451.97,564311611.51
Reconciled Depreciation,134364363.99,130257471.93,108710172.42,96908684.71
Reconciled Cost Of Revenue,1956819792.65,1511177089.03,1283834339.07,1396942773.31
EBITDA,487426852.88,419632812.72,331545023.34,668840148.47
EBIT,353062488.89,289375340.79,222834850.92,571931463.76
Net Interest Income,-6687237.38,-1106583.12,28466011.96,-10017642.81
Interest Expense,30280054.48,26923123.88,28709429.66,25991438.73
Interest Income,23700937.39,25985678.96,58629204.26,17894443.26
Normalized Income,318104748.973093,212807103.814884,216263755.9,559843085.5525
Net Income From Continuing And Discontinued Operation,308367801.59,256259877.23,204713451.97,564311611.51
Total Expenses,2689054875.4,2175506630.63,1805871066.22,1841144633.52
Rent Expense Supplemental,146962.8,262286.85,290353.92,2801747.85
Total Operating Income As Reported,323177193.93,262450398.0,205941872.84,546407115.37
Diluted Average Shares,422421646.0,413322383.0,379098985.0,378732625.0
Basic Average Shares,422421646.0,413322383.0,379098985.0,378732625.0
Diluted EPS,0.73,0.62,0.54,1.49
Basic EPS,0.73,0.62,0.54,1.49
Net Income Common Stockholders,308367801.59,256259877.23,204713451.97,564311611.51
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,308367801.59,256259877.23,204713451.97,564311611.51
Minority Interests,627906.85,0.0,,
Net Income Including Noncontrolling Interests,307739894.74,256259877.23,204713451.97,564311611.51
Net Income Continuous Operations,307739894.74,256259877.23,204713451.97,564311611.51
Tax Provision,15042539.67,6192339.68,-10588030.71,-18371586.48
Pretax Income,322782434.41,262452216.91,194125421.26,545940025.03
Other Non Operating Income Expenses,-394759.52,1818.91,-35902129.09,17931234.16
Special Income Charges,5382620.59,12722211.27,-19851525.51,1233901.13
Other Special Charges,-218928.91,56300.2,-516551.5,-227122.64
Write Off,-108302.24,53131.46,-122895.17,-232284.48
Impairment Of Capital Assets,-5055389.44,-12831642.93,20490972.18,-774494.01
Net Non Operating Interest Income Expense,-6687237.38,-1106583.12,28466011.96,-10017642.81
Total Other Finance Cost,108120.29,169138.2,1453762.64,1920647.34
Interest Expense Non Operating,30280054.48,26923123.88,28709429.66,25991438.73
Interest Income Non Operating,23700937.39,25985678.96,58629204.26,17894443.26
Operating Income,283008175.27,178023497.04,214555041.14,526388211.51
Operating Expense,732235082.75,664329541.6,522036727.15,444201860.21
Other Operating Expenses,10969197.22,10504419.92,-103735818.27,-231815700.16
Depreciation And Amortization In Income Statement,6168547.87,3530164.32,5873483.06,10935655.29
Depreciation Income Statement,6168547.87,3530164.32,5873483.06,10935655.29
Research And Development,651950541.67,602351186.24,493915555.93,486279733.16
Selling General And Administration,40360331.36,44182939.38,67679981.28,108857693.7
Selling And Marketing Expense,7427533.72,3931141.68,9555734.58,14535784.35
General And Administrative Expense,32932797.64,40251797.7,58124246.7,94321909.35
Rent And Landing Fees,146962.8,262286.85,290353.92,2801747.85
Gross Profit,1015243258.02,842353038.64,736591768.29,970590071.72
Cost Of Revenue,1956819792.65,1511177089.03,1283834339.07,1396942773.31
Total Revenue,2972063050.67,2353530127.67,2020426107.36,2367532845.03
Operating Revenue,2972063050.67,2353530127.67,2020426107.36,2367532845.03
