,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,24048911.164735,-184421952.569942,24371843.754847,14013000.0
Tax Rate For Calcs,0.16337,0.228286,0.350457,0.25
Normalized EBITDA,10170090000.0,10392703000.0,6538631000.0,-940142000.0
Total Unusual Items,147205000.0,-806426000.0,69543000.0,56052000.0
Total Unusual Items Excluding Goodwill,147205000.0,-807855000.0,69543000.0,56052000.0
Net Income From Continuing Operation Net Minority Interest,4038089000.0,3379203000.0,1460862000.0,-4985386000.0
Reconciled Depreciation,3568149000.0,3247785000.0,2811084000.0,2831660000.0
Reconciled Cost Of Revenue,16890079000.0,15965997000.0,15157996000.0,16734169000.0
EBITDA,10317295000.0,9586277000.0,6608174000.0,-884090000.0
EBIT,6749146000.0,6338492000.0,3797090000.0,-3715750000.0
Net Interest Income,-1225419000.0,-1261199000.0,-963103000.0,-757729000.0
Interest Expense,1506048000.0,1547606000.0,1044243000.0,811558000.0
Interest Income,280629000.0,286407000.0,81140000.0,53829000.0
Normalized Income,3914932911.164735,4004065047.430058,1415690843.754847,-5027425000.0
Net Income From Continuing And Discontinued Operation,4038089000.0,3379203000.0,1460862000.0,-4985386000.0
Total Expenses,17996061000.0,16953078000.0,16014086000.0,17361624000.0
Rent Expense Supplemental,,1894639000.0,1605450000.0,17225575.95
Total Operating Income As Reported,,,2757690129.65,-4482412130.79
Diluted Average Shares,4770776000.0,4770776000.0,4774130000.0,4762692000.0
Basic Average Shares,4770776000.0,4770776000.0,4767408000.0,4762692000.0
Diluted EPS,0.8464,0.7019,0.306,-1.0468
Basic EPS,0.8464,0.7019,0.3064,-1.0468
Diluted NI Availto Com Stockholders,4038089000.0,3379203000.0,1460862000.0,-4985386000.0
Net Income Common Stockholders,4038089000.0,3379203000.0,1460862000.0,-4985386000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,4038089000.0,3379203000.0,1460862000.0,-4985386000.0
Minority Interests,-348443000.0,-317991000.0,-327230000.0,-318278000.0
Net Income Including Noncontrolling Interests,4386532000.0,3697194000.0,1788092000.0,-4667108000.0
Net Income Continuous Operations,4386532000.0,3697194000.0,1788092000.0,-4667108000.0
Tax Provision,856566000.0,1093692000.0,964755000.0,139800000.0
Pretax Income,5243098000.0,4790886000.0,2752847000.0,-4527308000.0
Other Non Operating Income Expenses,-168550000.0,-36920000.0,-53463000.0,-61059000.0
Special Income Charges,147205000.0,-807855000.0,69543000.0,56052000.0
Other Special Charges,-143593000.0,-402985000.0,-73945000.0,-22275000.0
Write Off,-3612000.0,1209411000.0,4402000.0,-33777000.0
Impairment Of Capital Assets,,,2784309.5,4958437658.93
Net Non Operating Interest Income Expense,-1225419000.0,-1261199000.0,-963103000.0,-757729000.0
Total Other Finance Cost,,,26396941.89,18457785.9
Interest Expense Non Operating,1506048000.0,1547606000.0,1044243000.0,811558000.0
Interest Income Non Operating,280629000.0,286407000.0,81140000.0,53829000.0
Operating Income,5137425000.0,5600373000.0,2552709000.0,-4716924000.0
Operating Expense,1105982000.0,987081000.0,856090000.0,627455000.0
Other Operating Expenses,,975955000.0,947749000.0,905495000.0
Depreciation And Amortization In Income Statement,,,64223724.63,62895131.08
Depreciation Income Statement,,,64223724.63,62895131.08
Research And Development,,,24101068.91,17496661.41
Selling General And Administration,1210974000.0,1080311000.0,1005022000.0,955830000.0
Selling And Marketing Expense,83908000.0,76996000.0,57273000.0,50335000.0
General And Administrative Expense,1127066000.0,1003315000.0,947749000.0,905495000.0
Rent And Landing Fees,,,17671295.54,17225575.95
Gross Profit,6243407000.0,6587454000.0,3408799000.0,-4089469000.0
Cost Of Revenue,16890079000.0,15965997000.0,15157996000.0,16734169000.0
Total Revenue,23133486000.0,22553451000.0,18566795000.0,12644700000.0
Operating Revenue,23133486000.0,22553451000.0,18566795000.0,12644700000.0
