,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Ordinary Shares Number,1472135122.0,1472135122.0,1463709516.0,1453721310.0
Share Issued,1472135122.0,1472135122.0,1463709516.0,1453721310.0
Net Debt,,,138563283.16,
Total Debt,8678591052.86,11866370767.57,9347937117.71,6129032821.81
Tangible Book Value,19560504114.77,17504476816.21,16921512447.66,14762308950.27
Invested Capital,27210073130.39,28124501040.51,26484524460.26,21230176211.09
Working Capital,22072851491.9,23155357127.6,18955325207.83,15097321877.23
Net Tangible Assets,19560504114.77,17504476816.21,16921512447.66,14762308950.27
Capital Lease Obligations,14978292.98,24949313.08,56364540.35,39318738.03
Common Stock Equity,19997376844.34,17946674932.67,17308620394.13,15161854356.59
Total Capitalization,25814815297.69,26072882151.6,21530150085.24,16672143288.2
Total Equity Gross Minority Interest,20330685370.59,18284581821.41,17662904863.06,15565580967.99
Minority Interest,333308526.25,337906888.74,354284468.93,403726611.4
Stockholders Equity,19997376844.34,17946674932.67,17308620394.13,15161854356.59
Other Equity Interest,,,999697169.81,999697169.81
Retained Earnings,10852182148.15,8818041146.29,7309025034.04,5628296600.21
Additional Paid In Capital,6770624907.42,6770624907.42,6574933951.94,6313622245.64
Capital Stock,1472135122.0,1472135122.0,1463709516.0,1453721310.0
Common Stock,1472135122.0,1472135122.0,1463709516.0,1453721310.0
Preferred Stock,,,,0.0
Total Liabilities Net Minority Interest,50860354296.83,29835043040.38,23494383113.29,30642581594.77
Total Non Current Liabilities Net Minority Interest,6329579750.78,8571683072.09,4777636498.04,1983985056.08
Other Non Current Liabilities,442733551.91,319080629.11,320651646.27,304254473.75
Tradeand Other Payables Non Current,735000.0,735000.0,735000.0,735000.0
Non Current Deferred Revenue,44363825.91,89501915.91,147699033.0,114958805.96
Non Current Deferred Taxes Liabilities,9330626.63,11208995.06,30656587.31,14429106.73
Long Term Debt And Capital Lease Obligation,5832416746.33,8151156532.01,4277894231.46,1549607669.64
Long Term Capital Lease Obligation,14978292.98,24949313.08,56364540.35,39318738.03
Long Term Debt,5817438453.35,8126207218.93,4221529691.11,1510288931.61
Current Liabilities,44530774546.05,21263359968.29,18716746615.25,28658596538.69
Other Current Liabilities,2748550860.51,2315102386.95,328412236.98,2148036920.62
Current Debt And Capital Lease Obligation,2846174306.53,3715214235.56,5070042886.25,4579425152.17
Current Debt,1395257832.7,2051618888.91,4954374375.02,4558032922.89
Payables,27629205234.82,13311474371.68,11609781405.86,20240689081.8
Other Payable,1778382893.75,1175835075.42,795282047.9,625528462.44
Dividends Payable,66246080.49,0.0,,
Total Tax Payable,202791028.66,273498231.07,269792488.3,317864605.11
Accounts Payable,25581785231.92,11862141065.19,10544706869.66,19297296014.25
Total Assets,71191039667.42,48119624861.79,41157287976.35,46208162562.76
Total Non Current Assets,4587413629.47,3700907765.9,3485216153.27,2452244146.84
Other Non Current Assets,12077328.53,12989624.58,42394838.38,33579458.06
Non Current Deferred Assets,46026196.74,69027208.86,90526399.83,84408961.85
Non Current Deferred Taxes Assets,523208001.47,427358383.07,367998318.39,379835798.95
Long Term Equity Investment,570010488.41,412326773.86,360126122.18,306872633.81
Investment Properties,82970635.97,85826151.39,89127311.79,92615702.43
Goodwill And Other Intangible Assets,436872729.57,442198116.46,387107946.47,399545406.32
Other Intangible Assets,436229714.18,441555101.07,386464931.08,398902390.93
Goodwill,643015.39,643015.39,643015.39,643015.39
Net PPE,2916248248.78,2251181507.68,2147935216.23,1155386185.42
Accumulated Depreciation,-1312648545.48,-1002857810.54,-822402904.68,-609437071.38
Gross PPE,4228896794.26,3254039318.22,2970338120.91,1764823256.8
Construction In Progress,18331188.73,152416723.54,841195769.28,121384942.4
Other Properties,974286475.83,840079385.5,780767126.72,613643910.51
Machinery Furniture Equipment,1467426121.05,720707564.32,702945023.72,551555631.19
Properties,1768853008.65,1540835644.86,645430201.19,478238772.7
Current Assets,66603626037.95,44418717095.89,37672071823.08,43755918415.92
Other Current Assets,5282768902.57,2614698281.84,1624783923.05,1306540438.48
Prepaid Assets,1527031187.91,841285741.52,122342028.41,54866314.11
Inventory,40633184763.14,19114569324.91,15024922771.0,22402228567.57
Inventories Adjustments Allowances,0.0,0.0,0.0,0.0
Other Inventories,,,290834.73,
Finished Goods,16974579885.04,4267927825.75,1874941537.56,4353138743.65
Work In Process,3100061808.68,1150526529.32,609787233.85,899448909.4
Raw Materials,20558543069.42,13696114969.84,12539903164.86,17149640914.52
Other Receivables,137145933.66,672454350.7,730190848.44,345163738.19
Accounts Receivable,11623361886.35,9110557328.16,11099729974.76,11969771797.48
Allowance For Doubtful Accounts Receivable,-972546841.37,-841683775.47,-945438736.8,-949424174.07
Gross Accounts Receivable,12595908727.72,9952241103.63,11986845939.02,12919195971.55
Cash Cash Equivalents And Short Term Investments,7400133364.32,12065152068.76,9070102277.42,7677347560.09
Other Short Term Investments,65169179.97,52289501.7,32761494.45,400068219.18
Cash And Cash Equivalents,7334964184.35,12012862567.06,9037340782.97,7277279340.91
Cash Equivalents,37622556.29,79384594.05,13433460.05,18859879.58
Cash Financial,7297341628.06,11933477973.01,8996102096.24,7258419461.33
