,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Tax Effect Of Unusual Items,-200837261.648225,-228118467.518557,-258334097.803792,-15520257.819111
Tax Rate For Calcs,0.15626,0.175726,0.147489,0.066147
Normalized EBITDA,34565885113.81,35141922764.06,30166774121.41,18785850551.09
Total Unusual Items,-1285273464.95,-1298149277.42,-1751552986.65,-234634307.03
Total Unusual Items Excluding Goodwill,-1285273464.95,-1298149277.42,-1751552986.65,-234634307.03
Net Income From Continuing Operation Net Minority Interest,10930504451.02,11403288984.59,9013894024.19,4905013042.11
Reconciled Depreciation,13438107883.33,12667809627.01,11908534967.78,11064700940.37
Reconciled Cost Of Revenue,182027337736.02,167304917397.32,170437251422.34,144010596212.12
EBITDA,33280611648.86,33843773486.64,28415221134.76,18551216244.06
EBIT,19842503765.53,21175963859.63,16506686166.98,7486515303.69
Net Interest Income,-79889037.21,-41509395.87,-574970259.58,925058998.58
Interest Expense,3628593475.52,3854441561.78,3355408336.47,1401308298.47
Interest Income,3560864589.7,3780650274.56,2818200284.22,2359191391.03
Normalized Income,12014940654.321775,12473319794.491444,10507112913.036207,5124127091.320889
Net Income From Continuing And Discontinued Operation,10930504451.02,11403288984.59,9013894024.19,4905013042.11
Total Expenses,215354401731.35,197154433576.37,199487512649.88,170240469167.77
Rent Expense Supplemental,145897859.92,221713983.22,191646955.59,184845571.47
Total Operating Income As Reported,16073590348.78,17427954695.34,12905241360.87,5834032544.9
Diluted Average Shares,8675003533.0,8704800752.0,8667205792.0,8605286039.0
Basic Average Shares,8606696418.0,8704800752.0,8667205792.0,8605286039.0
Diluted EPS,1.26,1.31,1.04,0.57
Basic EPS,1.27,1.31,1.04,0.57
Net Income Common Stockholders,10930504451.02,11403288984.59,9013894024.19,4905013042.11
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,10930504451.02,11403288984.59,9013894024.19,4905013042.11
Minority Interests,-2749814792.37,-2874392985.8,-2197720251.06,-777678308.86
Net Income Including Noncontrolling Interests,13680319243.39,14277681970.39,11211614275.25,5682691350.97
Net Income Continuous Operations,13680319243.39,14277681970.39,11211614275.25,5682691350.97
Tax Provision,2533591046.62,3043840327.46,1939663555.26,402515654.25
Pretax Income,16213910290.01,17321522297.85,13151277830.51,6085207005.22
Other Non Operating Income Expenses,140319941.23,-106432397.49,246036469.64,251174460.32
Special Income Charges,-1058865253.37,-1421323866.96,-1388864694.09,-1245140223.67
Other Special Charges,-120639736.51,-153987544.64,-97045146.13,-42488657.3
Write Off,-76956214.08,507399360.78,401699786.9,412420309.85
Impairment Of Capital Assets,1256461203.96,1067912050.82,1084210053.32,875208571.12
Net Non Operating Interest Income Expense,-79889037.21,-41509395.87,-574970259.58,925058998.58
Total Other Finance Cost,12160151.39,-32281891.35,37762207.33,32824093.98
Interest Expense Non Operating,3628593475.52,3854441561.78,3355408336.47,1401308298.47
Interest Income Non Operating,3560864589.7,3780650274.56,2818200284.22,2359191391.03
Operating Income,16454879375.47,18536071013.45,14470962981.25,4917066458.05
Operating Expense,33327063995.33,29849516179.05,29050261227.54,26229872955.65
Other Operating Expenses,984578291.78,849029669.54,-700967715.43,584520625.43
Depreciation And Amortization In Income Statement,2012326762.59,1820399525.65,1701856508.27,1776044510.83
Depreciation Income Statement,2012326762.59,1820399525.65,1701856508.27,1776044510.83
Research And Development,8284484022.37,8299429709.99,8044946289.02,7731181220.54
Selling General And Administration,9768574784.45,8949089570.41,9744455186.48,7170172396.88
Selling And Marketing Expense,5691120011.95,5354834897.07,6693657268.2,4434897303.8
General And Administrative Expense,4077454772.5,3594254673.34,3050797918.28,2735275093.08
Rent And Landing Fees,145897859.92,221713983.22,191646955.59,184845571.47
Gross Profit,49781943370.8,48385587192.5,43521224208.79,31146939413.7
Cost Of Revenue,182027337736.02,167304917397.32,170437251422.34,144010596212.12
Total Revenue,231809281106.82,215690504589.82,213958475631.13,175157535625.82
Operating Revenue,231809281106.82,215690504589.82,213958475631.13,175157535625.82
