Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2026-03-23 00:00:00+08:00,23.479999542236328,24.1299991607666,22.959999084472656,23.059999465942383,30646594,0.0,0.0
2026-03-20 00:00:00+08:00,24.270000457763672,24.549999237060547,23.75,23.75,19134831,0.0,0.0
2026-03-19 00:00:00+08:00,24.690000534057617,24.75,24.010000228881836,24.1200008392334,22288043,0.0,0.0
2026-03-18 00:00:00+08:00,24.93000030517578,25.110000610351562,24.6299991607666,25.010000228881836,15903178,0.0,0.0
2026-03-17 00:00:00+08:00,25.31999969482422,25.649999618530273,24.920000076293945,24.93000030517578,18266570,0.0,0.0
2026-03-16 00:00:00+08:00,25.479999542236328,25.479999542236328,24.739999771118164,25.149999618530273,20297814,0.0,0.0
2026-03-13 00:00:00+08:00,25.969999313354492,25.969999313354492,25.3799991607666,25.440000534057617,23374634,0.0,0.0
2026-03-12 00:00:00+08:00,26.299999237060547,26.3700008392334,25.860000610351562,26.0,17902081,0.0,0.0
2026-03-11 00:00:00+08:00,26.540000915527344,26.75,26.280000686645508,26.360000610351562,21427387,0.0,0.0
2026-03-10 00:00:00+08:00,26.25,26.549999237060547,26.149999618530273,26.540000915527344,22806388,0.0,0.0
2026-03-09 00:00:00+08:00,25.93000030517578,26.059999465942383,25.200000762939453,25.899999618530273,28565540,0.0,0.0
2026-03-06 00:00:00+08:00,26.34000015258789,26.65999984741211,26.270000457763672,26.440000534057617,17347780,0.0,0.0
2026-03-05 00:00:00+08:00,26.399999618530273,26.84000015258789,26.1200008392334,26.489999771118164,25923936,0.0,0.0
2026-03-04 00:00:00+08:00,25.969999313354492,26.489999771118164,25.84000015258789,25.940000534057617,23113326,0.0,0.0
2026-03-03 00:00:00+08:00,27.3700008392334,27.920000076293945,26.229999542236328,26.299999237060547,33679346,0.0,0.0
2026-03-02 00:00:00+08:00,27.299999237060547,27.649999618530273,26.899999618530273,27.3700008392334,33423427,0.0,0.0
2026-02-27 00:00:00+08:00,27.850000381469727,28.200000762939453,27.719999313354492,27.989999771118164,22056272,0.0,0.0
2026-02-26 00:00:00+08:00,28.280000686645508,28.280000686645508,27.81999969482422,27.959999084472656,24775791,0.0,0.0
2026-02-25 00:00:00+08:00,27.770000457763672,28.360000610351562,27.770000457763672,28.260000228881836,27416375,0.0,0.0
2026-02-24 00:00:00+08:00,28.469999313354492,28.469999313354492,27.690000534057617,27.770000457763672,29175720,0.0,0.0
2026-02-13 00:00:00+08:00,27.889999389648438,28.219999313354492,27.75,27.899999618530273,23712414,0.0,0.0
2026-02-12 00:00:00+08:00,27.5,28.059999465942383,27.450000762939453,27.93000030517578,23973158,0.0,0.0
2026-02-11 00:00:00+08:00,27.56999969482422,27.790000915527344,27.510000228881836,27.520000457763672,16728369,0.0,0.0
2026-02-10 00:00:00+08:00,27.90999984741211,27.940000534057617,27.5,27.56999969482422,27870280,0.0,0.0
2026-02-09 00:00:00+08:00,28.399999618530273,28.399999618530273,27.780000686645508,27.940000534057617,24455059,0.0,0.0
2026-02-06 00:00:00+08:00,27.59000015258789,28.350000381469727,27.31999969482422,27.90999984741211,21703896,0.0,0.0
2026-02-05 00:00:00+08:00,28.399999618530273,28.43000030517578,27.6200008392334,27.790000915527344,23264303,0.0,0.0
2026-02-04 00:00:00+08:00,28.0,28.559999465942383,27.829999923706055,28.540000915527344,23492345,0.0,0.0
2026-02-03 00:00:00+08:00,27.649999618530273,28.170000076293945,27.270000457763672,28.149999618530273,28761402,0.0,0.0
2026-02-02 00:00:00+08:00,27.850000381469727,28.25,27.209999084472656,27.209999084472656,31288075,0.0,0.0
2026-01-30 00:00:00+08:00,28.170000076293945,28.350000381469727,27.299999237060547,27.979999542236328,34900576,0.0,0.0
2026-01-29 00:00:00+08:00,28.950000762939453,29.190000534057617,28.149999618530273,28.18000030517578,41544143,0.0,0.0
2026-01-28 00:00:00+08:00,29.899999618530273,29.979999542236328,29.010000228881836,29.09000015258789,42251787,0.0,0.0
2026-01-27 00:00:00+08:00,30.100000381469727,30.290000915527344,29.549999237060547,30.040000915527344,37259166,0.0,0.0
2026-01-26 00:00:00+08:00,31.510000228881836,31.75,29.489999771118164,29.68000030517578,68016634,0.0,0.0
2026-01-23 00:00:00+08:00,30.25,31.34000015258789,30.239999771118164,31.25,70730376,0.0,0.0
2026-01-22 00:00:00+08:00,30.93000030517578,31.350000381469727,30.059999465942383,30.260000228881836,40710615,0.0,0.0
2026-01-21 00:00:00+08:00,30.059999465942383,31.09000015258789,29.8799991607666,30.829999923706055,42380403,0.0,0.0
2026-01-20 00:00:00+08:00,30.829999923706055,31.43000030517578,30.100000381469727,30.3799991607666,46136053,0.0,0.0
2026-01-19 00:00:00+08:00,31.290000915527344,31.389999389648438,30.65999984741211,30.8700008392334,47859259,0.0,0.0
