,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Free Cash Flow,1076482760.87,978502126.86,-432140273.4,-396186379.8
Repayment Of Debt,-1852948800.0,-1308452644.96,-2670214365.21,-380944246.34
Issuance Of Debt,2368662378.85,1567786939.45,3001232279.95,4374592836.66
Capital Expenditure,-3290148187.49,-2745462227.77,-2941806763.96,-1952005483.09
End Cash Position,3443502489.9,3624955498.84,2050328601.77,2690002225.09
Beginning Cash Position,3624955498.84,2050328601.77,2690002225.09,3400144038.54
Effect Of Exchange Rate Changes,-81247330.35,151792584.44,118848031.58,-39785884.78
Changes In Cash,-100205678.59,1422834312.63,-758521654.9,-670355928.67
Financing Cash Flow,-955299541.97,-1091850288.51,-596874305.36,2823483205.12
Net Other Financing Charges,-26397109.72,-284354543.38,93705067.54,-187617246.22
Cash Dividends Paid,-1431616011.1,-1041137653.53,-1013597287.64,-964345736.34
Net Issuance Payments Of Debt,515713578.85,259334294.49,331017914.74,3993648590.32
Net Long Term Debt Issuance,515713578.85,259334294.49,331017914.74,3993648590.32
Long Term Debt Payments,-1852948800.0,-1308452644.96,-2670214365.21,-380944246.34
Long Term Debt Issuance,2368662378.85,1567786939.45,3001232279.95,4374592836.66
Investing Cash Flow,-3511537084.98,-1209279753.49,-2671313840.1,-5049658237.08
Net Other Investing Changes,-333579691.54,945943724.73,185862546.21,-3110297830.56
Net Investment Purchase And Sale,9772483.08,-828868.5,-6069.66,16023512.65
Sale Of Investment,13272483.08,2671131.5,5932003.17,17973512.65
Purchase Of Investment,-3500000.0,-3500000.0,-5938072.83,-1950000.0
Net Business Purchase And Sale,-6881953.25,,,-28000000.0
Purchase Of Business,-6881953.25,,,-28000000.0
Net PPE Purchase And Sale,-3180847923.27,-2154394609.72,-2857170316.65,-1927383919.17
Sale Of PPE,109300264.22,591067618.05,84636447.31,24621563.92
Purchase Of PPE,-3290148187.49,-2745462227.77,-2941806763.96,-1952005483.09
Operating Cash Flow,4366630948.36,3723964354.63,2509666490.56,1555819103.29
Change In Working Capital,-216717681.74,-269986970.29,-877532871.01,-821291069.71
Change In Other Current Assets,-5513778.82,83479665.18,47951604.42,35206185.6
Change In Payable,2076536089.83,1388702605.99,1762012880.65,1653187167.54
Change In Inventory,-718016907.59,-343250556.55,-790661843.32,-1379357747.06
Change In Receivables,-1569723085.16,-1398918684.91,-1896835512.76,-1130326675.79
Other Non Cash Items,122502187.95,2495706.13,141610773.19,84458857.97
Depreciation And Amortization,995504118.11,798268863.95,633749392.76,525245138.03
Amortization Cash Flow,46184780.33,26610545.56,28123911.8,22412446.76
Depreciation,949319337.78,771658318.39,605625480.96,502832691.27
Gain Loss On Investment Securities,112481560.14,81743446.46,190997892.0,-146327697.98
Gain Loss On Sale Of PPE,14594509.61,1157418.11,-445368259.89,7164158.61
Net Income From Continuing Operations,3111725802.34,2933714738.99,2608051624.02,1704824537.64
Cash Flowsfromusedin Operating Activities Direct,4366630948.36,3723964354.63,2509666490.56,1555819103.29
Taxes Refund Paid Direct,-555463014.73,-233189939.44,-47180.91,27694753.84
Classesof Cash Payments,-23763552730.7,-20949132424.24,-18638344380.94,-14447764931.03
Other Cash Paymentsfrom Operating Activities,-751316451.76,-650619571.95,-591377089.64,-481260898.16
Paymentson Behalfof Employees,-4119702971.29,-3528344941.32,-2745851492.25,-2250992731.15
Paymentsto Suppliersfor Goodsand Services,-18892533307.65,-16770167910.97,-15301115799.05,-11715511301.72
Classesof Cash Receiptsfrom Operating Activities,28685646693.79,24906286718.31,21148058052.41,15975889280.48
Other Cash Receiptsfrom Operating Activities,582900691.72,339834145.05,275140313.95,310303052.27
Receiptsfrom Customers,28102746002.07,24566452573.26,20872917738.46,15665586228.21
