,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Ordinary Shares Number,432263327.0,432263327.0,432263327.0,432263327.0
Share Issued,432263327.0,432263327.0,432263327.0,432263327.0
Total Debt,100980000.0,,100000000.0,
Tangible Book Value,1661713485.0,1528538218.48,1467027023.96,1456516021.77
Invested Capital,1878050655.13,1647826485.68,1690763174.66,1584860978.93
Working Capital,1008011649.19,867649425.58,786888492.01,917288432.48
Net Tangible Assets,1661713485.0,1528538218.48,1467027023.96,1456516021.77
Common Stock Equity,1777070655.13,1647826485.68,1590763174.66,1584860978.93
Total Capitalization,1777070655.13,1647826485.68,1590763174.66,1584860978.93
Total Equity Gross Minority Interest,1777070655.13,1647826485.68,1590763174.66,1584860978.93
Stockholders Equity,1777070655.13,1647826485.68,1590763174.66,1584860978.93
Treasury Stock,106719471.97,79990550.7,,
Retained Earnings,795239685.0,626799658.14,507005738.84,506597655.15
Additional Paid In Capital,501623177.49,552348368.76,552348368.76,552348368.76
Capital Stock,432263327.0,432263327.0,432263327.0,432263327.0
Common Stock,432263327.0,432263327.0,432263327.0,432263327.0
Total Liabilities Net Minority Interest,700215983.0,375756394.18,518689437.32,378022030.52
Total Non Current Liabilities Net Minority Interest,53234958.06,57914098.28,61759727.86,59408929.95
Non Current Deferred Revenue,53234958.06,57914098.28,61759727.86,59408929.95
Current Liabilities,646981024.94,317842295.9,456929709.46,318613100.57
Other Current Liabilities,836070.93,523568.77,274185.46,1247596.52
Current Debt And Capital Lease Obligation,100980000.0,,100000000.0,
Current Debt,100980000.0,,100000000.0,
Payables,536062240.27,309708558.54,353598192.0,307003871.48
Other Payable,153299268.15,109307613.98,138035309.72,72286843.92
Total Tax Payable,25314276.03,23804121.76,4983684.11,10736894.0
Accounts Payable,357448696.09,176596822.8,210579198.17,223980133.56
Total Assets,2477286638.13,2023582879.86,2109452611.98,1962883009.45
Total Non Current Assets,822293964.0,838091158.38,865634410.51,726981476.4
Other Non Current Assets,28086820.91,27959944.59,79831440.66,102062304.82
Non Current Deferred Assets,5821131.46,7385103.83,345414.53,654668.28
Non Current Deferred Taxes Assets,11120393.36,10066313.99,9726331.29,11607826.46
Goodwill And Other Intangible Assets,115357170.13,119288267.2,123736150.7,128344957.16
Other Intangible Assets,115357170.13,119288267.2,123736150.7,128344957.16
Net PPE,661908448.14,640836890.82,611786585.44,451826969.25
Accumulated Depreciation,-534561161.54,-485616945.99,-423169076.81,-378254479.61
Gross PPE,1196469609.68,1126453836.81,1034955662.25,830081448.86
Construction In Progress,49841659.89,31427011.54,62131434.62,62683057.91
Other Properties,23196244.42,22909904.59,20109623.03,19429903.56
Machinery Furniture Equipment,696786893.15,647420994.64,568677448.88,466254352.79
Properties,426644812.22,424695926.04,384037155.72,281714134.6
Current Assets,1654992674.13,1185491721.48,1243818201.47,1235901533.05
Other Current Assets,29655139.72,12367403.97,9302419.85,56634043.32
Hedging Assets Current,,,,111457.42
Prepaid Assets,68761621.86,17683565.93,9852893.38,12145775.77
Inventory,326765589.49,215852596.55,207772551.41,153031161.3
Inventories Adjustments Allowances,0.0,0.0,0.0,0.0
Other Inventories,,,,-3701464.6
Finished Goods,87418661.22,70153625.66,82790531.04,44189753.58
Work In Process,68684144.07,67978886.09,63594967.94,70398536.61
Raw Materials,170662784.2,77720084.8,61387052.43,38442871.11
Other Receivables,159695476.34,90046379.23,95368324.45,85867338.97
Accounts Receivable,596103430.73,405448913.22,339177046.58,351552867.65
Allowance For Doubtful Accounts Receivable,,,-11967147.23,-18111602.01
Gross Accounts Receivable,605783660.03,416504370.36,351144193.81,369664469.66
Cash Cash Equivalents And Short Term Investments,474011415.99,444092862.58,582344965.8,576558888.62
Other Short Term Investments,91000000.0,33683923.0,55000000.0,260000000.0
Cash And Cash Equivalents,383011415.99,410408939.58,527344965.8,316558888.62
Cash Equivalents,413897.7,582000.0,0.0,12006.0
Cash Financial,382597518.29,409826939.58,527344965.8,316546882.62
