,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,-1243404.974211,-227839.807276,371948.803072,-181224.045266
Tax Rate For Calcs,0.149566,0.151548,0.068048,0.144653
Normalized EBITDA,453992900.98,260787301.34,106388399.58,169159994.41
Total Unusual Items,-8313436.64,-1503414.5,5465965.89,-1252822.46
Total Unusual Items Excluding Goodwill,-8313436.64,-1503414.5,5465965.89,-1252822.46
Net Income From Continuing Operation Net Minority Interest,310729661.62,158399591.18,49126170.13,100571597.38
Reconciled Depreciation,79737255.74,72591375.98,57628879.71,50301318.56
Reconciled Cost Of Revenue,758238134.46,574583557.24,553825876.88,475688351.44
EBITDA,445679464.34,259283886.84,111854365.47,167907171.95
EBIT,365942208.6,186692510.86,54225485.76,117605853.39
Net Interest Income,4127703.25,11190191.12,8754051.09,4101427.34
Interest Expense,564587.09,0.0,1512280.12,26026.56
Interest Income,5100632.97,11682568.75,10803802.89,4677796.13
Normalized Income,317799693.285789,159675165.872724,44032153.043072,101643195.794734
Net Income From Continuing And Discontinued Operation,310729661.62,158399591.18,49126170.13,100571597.38
Total Expenses,980928247.23,794120077.79,702646595.18,607913267.42
Rent Expense Supplemental,1860796.8,1192547.82,990654.68,818225.38
Total Operating Income As Reported,366112547.19,188062479.42,53666098.35,119404951.72
Diluted Average Shares,425657071.0,428107003.0,446601547.0,419048322.0
Basic Average Shares,425657071.0,428107003.0,446601547.0,419048322.0
Diluted EPS,0.73,0.37,0.11,0.24
Basic EPS,0.73,0.37,0.11,0.24
Net Income Common Stockholders,310729661.62,158399591.18,49126170.13,100571597.38
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,310729661.62,158399591.18,49126170.13,100571597.38
Net Income Including Noncontrolling Interests,310729661.62,158399591.18,49126170.13,100571597.38
Net Income Continuous Operations,310729661.62,158399591.18,49126170.13,100571597.38
Tax Provision,54647959.89,28292919.68,3587035.51,17008229.45
Pretax Income,365377621.51,186692510.86,52713205.64,117579826.83
Other Non Operating Income Expenses,-734925.68,-1369968.56,-952892.71,-1825124.89
Special Income Charges,-8313436.64,-1503414.5,5577423.31,-834889.39
Other Special Charges,2371737.66,664074.13,82757.44,14907.65
Write Off,-250929.14,-1045006.55,-6454195.01,2187874.9
Impairment Of Capital Assets,6192628.12,1884346.92,794014.26,-1367893.16
Net Non Operating Interest Income Expense,4127703.25,11190191.12,8754051.09,4101427.34
Total Other Finance Cost,408342.63,492377.63,537471.68,550342.23
Interest Expense Non Operating,564587.09,0.0,1512280.12,26026.56
Interest Income Non Operating,5100632.97,11682568.75,10803802.89,4677796.13
Operating Income,363962852.35,164982306.83,34756566.76,123261644.95
Operating Expense,222690112.77,219536520.55,148820718.3,132224915.98
Other Operating Expenses,15605659.31,14549234.46,10531436.37,10125798.91
Depreciation And Amortization In Income Statement,17982553.4,17537471.73,12540532.22,11940581.99
Amortization,2885348.17,3003109.49,3078456.24,4667665.2
Depreciation Income Statement,15097205.23,14534362.24,9462075.98,7272916.79
Research And Development,53997453.85,55652820.54,46088367.36,38298714.35
Selling General And Administration,79728790.6,58443064.78,44939094.37,48727142.51
Selling And Marketing Expense,55496118.21,37725250.75,32498293.7,35236036.27
General And Administrative Expense,24232672.39,20717814.03,12440800.67,13491106.24
Rent And Landing Fees,1860796.8,1192547.82,990654.68,818225.38
Gross Profit,586652965.12,384518827.38,183577285.06,255486560.93
Cost Of Revenue,758238134.46,574583557.24,553825876.88,475688351.44
Total Revenue,1344891099.58,959102384.62,737403161.94,731174912.37
Operating Revenue,1344891099.58,959102384.62,737403161.94,731174912.37
