,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Tax Effect Of Unusual Items,-14450578.976599,-16807598.388754,-33176586.425538,-13865651.229186
Tax Rate For Calcs,0.117062,0.122052,0.126822,0.133102
Normalized EBITDA,5411404020.08,5402317225.73,4135825880.47,3006240386.36
Total Unusual Items,-123443675.32,-137708082.96,-261598768.35,-104173145.74
Total Unusual Items Excluding Goodwill,-123443675.32,-137708082.96,-261598768.35,-104173145.74
Net Income From Continuing Operation Net Minority Interest,2779071103.34,3000605982.24,2150642258.47,1700208711.12
Reconciled Depreciation,1976510789.09,1605376812.71,1183848059.62,807097967.65
Reconciled Cost Of Revenue,23834162657.1,21066746134.44,15189359712.02,12535999713.52
EBITDA,5287960344.76,5264609142.77,3874227112.12,2902067240.62
EBIT,3311449555.67,3659232330.06,2690379052.5,2094969272.97
Net Interest Income,-129236557.15,-195224696.68,-186136505.51,-104349955.83
Interest Expense,159850333.97,237972888.2,228089328.18,135057511.74
Interest Income,38072374.73,48350722.43,46324974.29,35832053.75
Normalized Income,2888064199.683401,3121506466.811246,2379064440.394462,1790516205.630814
Net Income From Continuing And Discontinued Operation,2779071103.34,3000605982.24,2150642258.47,1700208711.12
Total Expenses,26256910005.77,22961332604.5,16880911370.42,13962033827.47
Rent Expense Supplemental,2184010.68,3756065.9,2353157.71,1939293.38
Total Operating Income As Reported,3160629499.24,3419968223.72,2476270773.0,1977749874.58
Diluted Average Shares,,1685733698.0,1593068340.0,1600845864.0
Basic Average Shares,,1676316191.0,1593068340.0,1600845864.0
Diluted EPS,,1.78,1.35,1.062069
Basic EPS,,1.79,1.35,1.062069
Net Income Common Stockholders,2779071103.34,3000605982.24,2150642258.47,1700208711.12
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,2779071103.34,3000605982.24,2150642258.47,1700208711.12
Minority Interests,-3595215.66,-3080624.05,626052.71,1165072.17
Net Income Including Noncontrolling Interests,2782666319.0,3003686606.29,2150016205.76,1699043638.95
Net Income Continuous Operations,2782666319.0,3003686606.29,2150016205.76,1699043638.95
Tax Provision,368932902.7,417572835.57,312273518.56,260868122.28
Pretax Income,3151599221.7,3421259441.86,2462289724.32,1959911761.23
Other Non Operating Income Expenses,-9030277.54,1291218.14,-13981048.68,-17838113.35
Special Income Charges,-123443675.32,-138726305.88,-261515946.39,-103620187.36
Other Special Charges,-5139509.6,-389596.49,-6635932.5,24682.27
Write Off,28434690.67,79776922.89,196691064.38,71304017.89
Impairment Of Capital Assets,100148494.25,59338979.48,71460814.51,32291487.2
Net Non Operating Interest Income Expense,-129236557.15,-195224696.68,-186136505.51,-104349955.83
Total Other Finance Cost,7458597.91,5602530.91,4372151.62,5124497.84
Interest Expense Non Operating,159850333.97,237972888.2,228089328.18,135057511.74
Interest Income Non Operating,38072374.73,48350722.43,46324974.29,35832053.75
Operating Income,3324548669.5,3638995846.44,2819649059.58,2030787850.03
Operating Expense,2422747348.67,1894586470.06,1691551658.4,1426034113.95
Other Operating Expenses,188035403.58,183296384.76,148123816.92,112733319.08
Depreciation And Amortization In Income Statement,123447922.3,100946856.92,71279956.96,60288886.82
Amortization,36043324.39,29982743.41,29190411.33,23450973.42
Depreciation Income Statement,87404597.91,70964113.51,42089545.63,36837913.4
Research And Development,1496041042.31,1224242543.46,986403005.39,750718588.09
Selling General And Administration,424810553.39,376857838.7,336289199.17,255590979.66
Selling And Marketing Expense,191260877.7,203864447.75,176882827.08,157138185.43
General And Administrative Expense,233549675.69,172993390.95,159406372.09,98452794.23
Rent And Landing Fees,2184010.68,3756065.9,2353157.71,1939293.38
Gross Profit,5747296018.17,5533582316.5,4511200717.98,3456821963.98
Cost Of Revenue,23834162657.1,21066746134.44,15189359712.02,12535999713.52
Total Revenue,29581458675.27,26600328450.94,19700560430.0,15992821677.5
Operating Revenue,29581458675.27,26600328450.94,19700560430.0,15992821677.5
