,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,-2801720.328236,-316136.818596,-351134.176715,-266950.110632
Tax Rate For Calcs,0.168558,0.119293,0.076697,0.040294
Normalized EBITDA,313734915.32,302393335.15,287440673.27,219947622.41
Total Unusual Items,-16621739.2,-2650096.08,-4578210.35,-6625022.61
Total Unusual Items Excluding Goodwill,-16621739.2,-2650096.08,-4578210.35,-6625022.61
Net Income From Continuing Operation Net Minority Interest,106257291.9,88549878.33,105335669.39,97545277.83
Reconciled Depreciation,136880593.41,117614895.81,108728781.2,79830806.59
Reconciled Cost Of Revenue,1747600092.76,1672564604.23,1729943314.26,1460845897.42
EBITDA,297113176.12,299743239.07,282862462.92,213322599.8
EBIT,160232582.71,182128343.26,174133681.72,133491793.21
Net Interest Income,22315477.11,4605837.12,-17357099.27,-11871770.89
Interest Expense,2806638.12,36627903.72,36379349.5,34993294.97
Interest Income,26622779.0,42136486.78,19499185.58,24352052.63
Normalized Income,120077310.771764,90883837.591404,109562745.563285,103903350.329368
Net Income From Continuing And Discontinued Operation,106257291.9,88549878.33,105335669.39,97545277.83
Total Expenses,1940172994.36,1867022566.74,1916561895.61,1560664658.9
Rent Expense Supplemental,3264767.6,1600485.48,1328881.5,1254225.6
Total Operating Income As Reported,193716668.47,148529170.1,131875717.64,99988173.7
Diluted Average Shares,559248905.0,442749392.0,421342678.0,406438658.0
Basic Average Shares,559248905.0,442749392.0,421342678.0,406438658.0
Diluted EPS,0.19,0.2,0.25,0.24
Basic EPS,0.19,0.2,0.25,0.24
Net Income Common Stockholders,106257291.9,88549878.33,105335669.39,97545277.83
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,106257291.9,88549878.33,105335669.39,97545277.83
Minority Interests,-24633314.61,-39593437.29,-21853343.56,3015699.63
Net Income Including Noncontrolling Interests,130890606.51,128143315.62,127189012.95,94529578.2
Net Income Continuous Operations,130890606.51,128143315.62,127189012.95,94529578.2
Tax Provision,26535338.08,17357123.92,10565319.27,3968920.04
Pretax Income,157425944.59,145500439.54,137754332.22,98498498.24
Other Non Operating Income Expenses,-36290723.88,-3028730.56,5878614.58,-1489675.46
Special Income Charges,-16736816.6,-2650096.08,-4578210.35,-6625022.61
Other Special Charges,5219621.0,-1439782.13,2996952.22,254691.28
Write Off,2717665.77,-1441681.1,755821.76,6216619.49
Impairment Of Capital Assets,8799529.83,5531559.31,825436.37,153711.84
Net Non Operating Interest Income Expense,22315477.11,4605837.12,-17357099.27,-11871770.89
Total Other Finance Cost,1500663.77,902745.94,476935.35,1230528.55
Interest Expense Non Operating,2806638.12,36627903.72,36379349.5,34993294.97
Interest Income Non Operating,26622779.0,42136486.78,19499185.58,24352052.63
Operating Income,191150541.87,146787543.77,141696103.62,103731311.92
Operating Expense,192572901.6,194457962.51,186618581.35,99818761.48
Other Operating Expenses,18966854.16,18483750.75,16884687.17,8556235.1
Depreciation And Amortization In Income Statement,21034221.28,14788245.74,12607275.19,8537136.78
Amortization,5577636.86,1887879.79,1090792.48,319351.41
Depreciation Income Statement,15456584.42,12900365.95,11516482.71,8217785.37
Research And Development,82853258.5,82502519.57,79578071.84,56635791.46
Selling General And Administration,70958018.94,55935301.27,55883491.17,33041748.07
Selling And Marketing Expense,28198328.31,22644600.28,18841392.52,14985099.41
General And Administrative Expense,42759690.63,33290700.99,37042098.65,18056648.66
Rent And Landing Fees,3264767.6,1600485.48,1328881.5,1254225.6
Gross Profit,383723443.47,341245506.28,328314684.97,203550073.4
Cost Of Revenue,1747600092.76,1672564604.23,1729943314.26,1460845897.42
Total Revenue,2131323536.23,2013810110.51,2058257999.23,1664395970.82
Operating Revenue,2131323536.23,2013810110.51,2058257999.23,1664395970.82
