,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Tax Effect Of Unusual Items,7603059.919708,12832173.33363,-12099327.848849,-3516130.246749
Tax Rate For Calcs,0.113765,0.116141,0.083411,0.038642
Normalized EBITDA,9499910965.46,7840791005.72,5522705597.16,4643868887.42
Total Unusual Items,66831255.87,110487833.24,-145056479.96,-90992410.22
Total Unusual Items Excluding Goodwill,66831255.87,110487833.24,-145056479.96,-90992410.22
Net Income From Continuing Operation Net Minority Interest,7711054811.98,6336527014.75,4302435930.05,3906375067.36
Reconciled Depreciation,844767585.74,776030092.13,704635650.89,577892505.63
Reconciled Cost Of Revenue,4362655815.43,3848177391.88,3525247786.91,3486638890.09
EBITDA,9566742221.33,7951278838.96,5377649117.2,4552876477.2
EBIT,8721974635.59,7175248746.83,4673013466.31,3974983971.57
Net Interest Income,770322162.52,596777213.66,470488143.59,377678763.67
Interest Expense,14349097.41,5558751.08,5903776.07,6491852.72
Interest Income,785387184.81,603277309.6,477143415.78,385275275.77
Normalized Income,7651826616.029708,6238871354.84363,4435393082.161151,3993851347.333251
Net Income From Continuing And Discontinued Operation,7711054811.98,6336527014.75,4302435930.05,3906375067.36
Total Expenses,23033004442.3,21181472773.37,18194056429.0,17930549985.68
Total Operating Income As Reported,8990002841.99,7490632003.88,4909904926.21,4111959971.91
Diluted Average Shares,,6336527015.0,6327111662.0,6403893553.0
Basic Average Shares,,6336527015.0,6327111662.0,6403893553.0
Diluted EPS,,1.0,0.68,0.61
Basic EPS,,1.0,0.68,0.61
Net Income Common Stockholders,7711054811.98,6336527014.75,4302435930.05,3906375067.36
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,7711054811.98,6336527014.75,4302435930.05,3906375067.36
Minority Interests,-5947433.8,-467632.78,24615227.55,91233487.74
Net Income Including Noncontrolling Interests,7717002245.78,6336994647.53,4277820702.5,3815141579.62
Net Income Continuous Operations,7717002245.78,6336994647.53,4277820702.5,3815141579.62
Tax Provision,990623292.4,832695348.22,389288987.74,153350539.23
Pretax Income,8707625538.18,7169689995.75,4667109690.24,3968492118.85
Other Non Operating Income Expenses,-282377303.81,-320942008.13,-242795235.97,-143467853.06
Special Income Charges,-106742582.34,1857061.67,-86799552.23,-167494937.3
Other Special Charges,-4053134.77,-5397912.01,-3162510.78,-5473705.52
Write Off,23881677.14,-28997491.04,-17254496.2,26284422.21
Impairment Of Capital Assets,86914039.97,32538341.38,107216559.21,146684220.61
Net Non Operating Interest Income Expense,770322162.52,596777213.66,470488143.59,377678763.67
Total Other Finance Cost,715924.88,941344.86,751496.12,1104659.38
Interest Expense Non Operating,14349097.41,5558751.08,5903776.07,6491852.72
Interest Income Non Operating,785387184.81,603277309.6,477143415.78,385275275.77
Operating Income,8596411751.53,6803132568.69,4625728312.31,3344720695.84
Operating Expense,18670348626.87,17333295381.49,14668808642.09,14443911095.59
Other Operating Expenses,263597302.01,257883958.62,219257133.43,190388735.65
Depreciation And Amortization In Income Statement,99460805.12,78444060.95,113346593.47,37884103.24
Depreciation Income Statement,99460805.12,78444060.95,113346593.47,37884103.24
Research And Development,6961155413.23,6582915544.87,4953887105.16,4886552651.32
Selling General And Administration,7357926963.5,7220640591.36,6469363668.74,6209019224.08
Selling And Marketing Expense,5569863995.88,5555030824.59,5041104247.35,4454970734.79
General And Administrative Expense,1788062967.62,1665609766.77,1428259421.39,1754048489.29
Gross Profit,27266760378.4,24136427950.18,19294536954.4,17788631791.43
Cost Of Revenue,4362655815.43,3848177391.88,3525247786.91,3486638890.09
Total Revenue,31629416193.83,27984605342.06,22819784741.31,21275270681.52
Operating Revenue,31629416193.83,27984605342.06,22819784741.31,21275270681.52
