,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Free Cash Flow,45891041.07,-306988066.62,-580261558.85,-607275630.26
Repayment Of Debt,-658780000.0,-729976000.0,-830488000.0,-488500000.0
Issuance Of Debt,641000000.0,936020000.0,1241000000.0,1047610000.0
Capital Expenditure,-141748902.45,-242225119.34,-459410868.75,-679597186.42
End Cash Position,548836848.08,580755266.68,847252588.24,1183941788.15
Beginning Cash Position,580755266.68,847252588.24,1183941788.15,1496756328.67
Effect Of Exchange Rate Changes,7833223.59,3002600.75,9509800.8,737311.42
Changes In Cash,-39751642.19,-269499922.31,-346199000.71,-313551851.94
Financing Cash Flow,-87781097.56,149764699.47,282986726.33,349610887.13
Net Other Financing Charges,-14500000.0,-489152.62,-72943889.91,-70319698.04
Cash Dividends Paid,-55501097.56,-55790147.91,-54581383.76,-139179414.83
Net Issuance Payments Of Debt,-17780000.0,206044000.0,410512000.0,559110000.0
Net Long Term Debt Issuance,-17780000.0,206044000.0,410512000.0,559110000.0
Long Term Debt Payments,-658780000.0,-729976000.0,-830488000.0,-488500000.0
Long Term Debt Issuance,641000000.0,936020000.0,1241000000.0,1047610000.0
Investing Cash Flow,-139610488.15,-354501674.5,-508335036.94,-735484295.23
Net Other Investing Changes,,,,16197579.62
Net Investment Purchase And Sale,1041873.64,-113886516.03,-52731458.84,-72380971.63
Sale Of Investment,31041873.64,47813483.97,250068541.16,448478202.37
Purchase Of Investment,-30000000.0,-161700000.0,-302800000.0,-520859174.0
Net PPE Purchase And Sale,-140652361.79,-240615158.47,-455603578.1,-679300903.22
Sale Of PPE,1096540.66,1609960.87,3807290.65,296283.2
Purchase Of PPE,-141748902.45,-242225119.34,-459410868.75,-679597186.42
Operating Cash Flow,187639943.52,-64762947.28,-120850690.1,72321556.16
Change In Working Capital,89035003.12,-122988243.35,-301975727.83,-233300958.08
Change In Other Current Assets,-8158445.21,-4707040.44,-723438.76,-18161045.84
Change In Payable,128909275.57,-33384922.44,232274419.18,139099312.46
Change In Inventory,-44802791.56,74549727.52,-259580555.32,-154853711.29
Change In Receivables,13086964.32,-159446007.99,-273946152.93,-199385513.41
Other Non Cash Items,32745310.01,39028707.94,38062667.43,23216546.52
Depreciation And Amortization,171090677.95,159458710.7,123837619.3,98568421.0
Amortization Cash Flow,6201907.35,6518055.26,6610732.41,6292410.05
Depreciation,164888770.6,152940655.44,117226886.89,92276010.95
Gain Loss On Investment Securities,15523051.73,16161228.92,83618176.99,131992590.4
Gain Loss On Sale Of PPE,2290768.2,3668037.02,8787651.91,2073298.88
Net Income From Continuing Operations,-280451128.86,-223256092.68,-164174541.26,39538059.47
Cash Flowsfromusedin Operating Activities Direct,187639943.52,-64762947.28,-120850690.1,72321556.16
Taxes Refund Paid Direct,98691277.95,15838688.65,54011989.15,-19343815.68
Classesof Cash Payments,-1062862968.75,-1301508946.57,-1281918025.42,-861238468.89
Other Cash Paymentsfrom Operating Activities,-95794781.77,-127565956.67,-108143563.89,-105333199.33
Paymentson Behalfof Employees,-189445373.32,-212351449.2,-232604768.8,-167963629.45
Paymentsto Suppliersfor Goodsand Services,-777622813.66,-961591540.7,-941169692.73,-587941640.11
Classesof Cash Receiptsfrom Operating Activities,1151811634.32,1220907310.64,1107055346.17,952903840.73
Other Cash Receiptsfrom Operating Activities,62710720.93,20742596.7,53845665.3,48085899.84
Receiptsfrom Customers,1089100913.39,1200164713.94,1053209680.87,904817940.89
