,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Ordinary Shares Number,550004834.0,550004834.0,550004834.0,550004834.0
Share Issued,550004834.0,550004834.0,550004834.0,550004834.0
Net Debt,597531821.53,818718192.55,431753502.62,
Total Debt,1604662323.61,1626869556.23,1417737069.44,1001677514.03
Tangible Book Value,1945472427.45,2243732624.18,2430384779.91,2621670759.12
Invested Capital,3473354969.15,4032888382.82,4091020250.41,3848384274.73
Working Capital,137196915.36,591842236.48,970421218.17,951594825.42
Net Tangible Assets,1945472427.45,2243732624.18,2430384779.91,2621670759.12
Common Stock Equity,2180472645.54,2484798826.59,2681239180.97,2880206760.7
Total Capitalization,2916956645.54,3483062826.59,3724283180.97,3233206760.7
Total Equity Gross Minority Interest,2176937342.6,2470740043.45,2689636441.22,2911307236.05
Minority Interest,-3535302.94,-14058783.14,8397260.25,31100475.35
Stockholders Equity,2180472645.54,2484798826.59,2681239180.97,2880206760.7
Treasury Stock,174858651.95,174858651.95,174858651.95,105112762.04
Retained Earnings,264515944.43,536616494.96,737416544.25,878887870.41
Additional Paid In Capital,1381102767.24,1414476825.77,1399469417.5,1399469417.5
Capital Stock,550004834.0,550004834.0,550004834.0,550004834.0
Common Stock,550004834.0,550004834.0,550004834.0,550004834.0
Total Liabilities Net Minority Interest,2359938793.22,2348298828.04,2370197741.24,1767183937.38
Total Non Current Liabilities Net Minority Interest,816112302.36,1062701948.01,1111340654.29,407222869.61
Non Current Deferred Revenue,77670570.44,62385333.64,62026788.91,50302435.21
Non Current Deferred Taxes Liabilities,1957731.92,2052614.37,6269865.38,3920434.4
Long Term Debt And Capital Lease Obligation,736484000.0,998264000.0,1043044000.0,353000000.0
Long Term Debt,736484000.0,998264000.0,1043044000.0,353000000.0
Current Liabilities,1543826490.86,1285596880.03,1258857086.95,1359961067.77
Other Current Liabilities,24679821.29,25106910.71,34146606.86,39631250.25
Current Debt And Capital Lease Obligation,868178323.61,628605556.23,374693069.44,648677514.03
Current Debt,556398323.61,549825556.23,366737069.44,615177514.03
Payables,648736889.33,629010071.52,709527811.63,586267101.83
Other Payable,39650068.34,39449990.92,35577461.73,49601651.58
Total Tax Payable,5716174.83,7625891.17,17283224.84,19615694.05
Accounts Payable,603370646.16,581934189.43,656667125.06,517049756.2
Total Assets,4536876135.82,4819038871.49,5059834182.46,4678491173.43
Total Non Current Assets,2855852729.6,2941599754.98,2830555877.34,2366935280.24
Other Non Current Assets,27851058.51,33935938.78,41502347.66,51439285.68
Non Current Deferred Taxes Assets,37255211.34,29370156.82,28491259.86,27541378.3
Investmentin Financial Assets,232193644.67,231245378.98,236298285.94,103210576.89
Available For Sale Securities,232193644.67,231245378.98,236298285.94,103210576.89
Long Term Equity Investment,23702696.63,40025832.74,35120149.05,29809278.21
Investment Properties,33095838.57,35191632.09,37287425.61,39383219.13
Goodwill And Other Intangible Assets,235000218.09,241066202.41,250854401.06,258536001.58
Other Intangible Assets,235000218.09,241066202.41,249707725.11,256318457.52
Goodwill,,,1146675.95,2217544.06
Net PPE,2266754061.79,2330764613.16,2201002008.16,1857015540.45
Accumulated Depreciation,-856930543.18,-643448564.06,-480934025.67,-388424249.63
Gross PPE,3123684604.97,2974213177.22,2681936033.83,2245439790.08
Construction In Progress,457857156.07,695781919.24,736401306.73,922189600.09
Other Properties,114409592.46,108845435.72,98324157.55,89017934.83
Machinery Furniture Equipment,1610500461.85,1328615620.68,1135123363.07,762368469.56
Properties,940917394.59,840970201.58,712087206.48,471863785.6
Current Assets,1681023406.22,1877439116.51,2229278305.12,2311555893.19
Other Current Assets,25822478.25,86662941.29,77609733.58,71940255.45
Prepaid Assets,10419901.2,9116127.95,8316789.44,15001093.28
Inventory,421053194.07,434677632.23,553689932.87,416148491.14
Inventories Adjustments Allowances,0.0,0.0,0.0,0.0
Finished Goods,275936556.08,251911571.19,332995181.63,214115763.39
Work In Process,41020176.47,83755604.93,90028922.35,74369023.79
Raw Materials,104096461.52,99010456.11,130665828.89,127663703.96
Other Receivables,264954058.95,341231320.63,270077721.26,151826888.28
Accounts Receivable,261238271.67,274194730.73,291814824.26,233421796.89
Allowance For Doubtful Accounts Receivable,-16419975.69,-17291188.11,-16381037.1,-18524260.96
Gross Accounts Receivable,277658247.36,291485918.84,308195861.36,251946057.85
Cash Cash Equivalents And Short Term Investments,697535502.08,731556363.68,1027769303.71,1423217368.15
Other Short Term Investments,2185000.0,2185000.0,49741736.89,150758192.3
Cash And Cash Equivalents,695350502.08,729371363.68,978027566.82,1272459175.85
Cash Equivalents,146781601.9,110715741.2,109882636.84,66810707.25
Cash Financial,548568900.18,618655622.48,868144929.98,1205648468.6
