,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,-5821746.862734,-27591815.853195,2602564.01258,10721108.687992
Tax Rate For Calcs,0.239945,0.259574,0.284748,0.270777
Normalized EBITDA,3306663360.24,3508596955.37,3136731589.05,3265178692.35
Total Unusual Items,-24262884.9,-106296441.8,9139876.37,39593827.87
Total Unusual Items Excluding Goodwill,-24262884.9,-106296441.8,9139876.37,39593827.87
Net Income From Continuing Operation Net Minority Interest,1668981126.49,1659928716.34,1445017073.4,1514167905.95
Reconciled Depreciation,883058894.5,921564798.66,942418931.04,930836707.66
Reconciled Cost Of Revenue,4645047480.27,4008478455.8,2954908113.88,1580675885.96
EBITDA,3282400475.34,3402300513.57,3145871465.42,3304772520.22
EBIT,2399341580.84,2480735714.91,2203452534.38,2373935812.56
Net Interest Income,-60456216.76,-104577429.03,-146317570.35,-170357441.71
Interest Expense,174644768.65,213972112.0,226520569.32,254808420.17
Interest Income,114304352.85,109514239.18,80316705.94,84694952.44
Normalized Income,1687422264.527266,1738633342.286805,1438479761.04258,1485295186.767992
Net Income From Continuing And Discontinued Operation,1668981126.49,1659928716.34,1445017073.4,1514167905.95
Total Expenses,4851206337.56,4203885172.24,3133336755.26,1738138370.89
Total Operating Income As Reported,2221157262.01,2274082656.26,1975993931.89,2119280477.39
Diluted Average Shares,1658532373.0,1658601835.0,1658651370.0,1658635016.0
Basic Average Shares,1658532373.0,1658601835.0,1658651370.0,1658635016.0
Diluted EPS,1.0063,1.0008,0.8712,0.9129
Basic EPS,1.0063,1.0008,0.8712,0.9129
Net Income Common Stockholders,1668981126.49,1659928716.34,1445017073.4,1514167905.95
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,1668981126.49,1659928716.34,1445017073.4,1514167905.95
Minority Interests,-21911822.71,-18441494.89,31013071.4,-31147952.68
Net Income Including Noncontrolling Interests,1690892949.2,1678370211.23,1414004002.0,1545315858.63
Net Income Continuous Operations,1690892949.2,1678370211.23,1414004002.0,1545315858.63
Tax Provision,533803862.99,588393391.68,562927963.06,573811533.76
Pretax Income,2224696812.19,2266763602.91,1976931965.06,2119127392.39
Other Non Operating Income Expenses,3539550.18,-7319053.35,938033.17,-153085.0
Special Income Charges,7581899.41,2458772.64,8526313.87,-3129896.71
Other Special Charges,-7405496.46,-2852253.84,-8652365.46,4538555.78
Write Off,-176402.95,393481.2,126051.59,-1229697.57
Impairment Of Capital Assets,,0.0,0.0,-178961.5
Net Non Operating Interest Income Expense,-60456216.76,-104577429.03,-146317570.35,-170357441.71
Total Other Finance Cost,115800.96,119556.21,113706.97,243973.98
Interest Expense Non Operating,174644768.65,213972112.0,226520569.32,254808420.17
Interest Income Non Operating,114304352.85,109514239.18,80316705.94,84694952.44
Operating Income,2240626290.79,2427452099.54,2073029672.64,2182819857.13
Operating Expense,206158857.29,195406716.44,178428641.38,157462484.93
Other Operating Expenses,32259573.4,26284490.09,30171660.63,30535967.48
Depreciation And Amortization In Income Statement,7032717.46,7098697.29,4911486.68,8182077.43
Depreciation Income Statement,7032717.46,7098697.29,4911486.68,8182077.43
Selling General And Administration,35036284.81,41264340.17,40680266.85,25081327.07
General And Administrative Expense,35036284.81,41264340.17,40680266.85,25081327.07
Gross Profit,2446785148.08,2622858815.98,2251458314.02,2340282342.06
Cost Of Revenue,4645047480.27,4008478455.8,2954908113.88,1580675885.96
Total Revenue,7091832628.35,6631337271.78,5206366427.9,3920958228.02
Operating Revenue,7091832628.35,6631337271.78,5206366427.9,3920958228.02
