,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Ordinary Shares Number,1658610000.0,1658610000.0,1658610000.0,1658610000.0
Share Issued,1658610000.0,1658610000.0,1658610000.0,1658610000.0
Net Debt,3102995186.73,2012188208.66,1470486651.21,408202090.49
Total Debt,8172422074.47,6511687651.14,6698021680.76,5167186798.46
Tangible Book Value,-3091519624.49,-2369927093.24,-1527128775.78,-1765509786.09
Invested Capital,21216060698.37,18616633096.63,18126798279.62,16115517759.33
Working Capital,3874852780.41,2806663384.2,3835758991.88,1687391017.97
Net Tangible Assets,-3091519624.49,-2369927093.24,-1527128775.78,-1765509786.09
Common Stock Equity,13335168274.45,12656911593.98,11924812353.8,11389109507.83
Total Capitalization,21216060698.37,18616633096.63,18126798279.62,16115517759.33
Total Equity Gross Minority Interest,14861364068.2,14114884298.28,13504562218.92,11945009392.29
Minority Interest,1526195793.75,1457972704.3,1579749865.12,555899884.46
Stockholders Equity,13335168274.45,12656911593.98,11924812353.8,11389109507.83
Retained Earnings,11200732410.79,10528575894.3,9874732277.96,9341950704.56
Additional Paid In Capital,,,412269.32,-710116369.53
Capital Stock,1658610000.0,1658610000.0,1658610000.0,1658610000.0
Common Stock,1658610000.0,1658610000.0,1658610000.0,1658610000.0
Total Liabilities Net Minority Interest,9552972470.04,7623858820.55,7798806600.25,7975853576.21
Total Non Current Liabilities Net Minority Interest,8064603071.4,6163328393.82,6420606116.39,5178968971.71
Other Non Current Liabilities,,,,294500000.0
Tradeand Other Payables Non Current,77559700.0,77559700.0,77559700.0,294500000.0
Non Current Deferred Revenue,87992248.8,100922457.96,113852667.12,126782876.26
Non Current Deferred Taxes Liabilities,18158698.68,25124733.21,27207823.45,31277843.95
Long Term Debt And Capital Lease Obligation,7880892423.92,5959721502.65,6201985925.82,4726408251.5
Long Term Debt,7880892423.92,5959721502.65,6201985925.82,4726408251.5
Current Liabilities,1488369398.64,1460530426.73,1378200483.86,2796884604.5
Other Current Liabilities,103909287.07,100670508.57,112439630.37,124595489.83
Current Debt And Capital Lease Obligation,291529650.55,551966148.49,496035754.94,440778546.96
Current Debt,,,,0.0
Payables,1092930461.02,807893769.67,769725098.55,2231510567.71
Other Payable,107378153.29,119518119.44,121268028.74,1251295548.81
Dividends Payable,,,,0.0
Total Tax Payable,119267091.09,56690932.06,43013435.6,236880491.45
Accounts Payable,866285216.64,631684718.17,605443634.21,743334527.45
Total Assets,24414336538.24,21738743118.83,21303368819.17,19920862968.5
Total Non Current Assets,19051114359.19,17471549307.9,16089409343.43,15436587346.03
Non Current Deferred Taxes Assets,101279843.97,102451763.56,97490821.19,125607756.71
Investmentin Financial Assets,753286587.06,683509847.45,827108257.54,419350593.94
Available For Sale Securities,753286587.06,683509847.45,827108257.54,419350593.94
Long Term Equity Investment,165855503.15,155221350.08,146625285.0,136892715.29
Investment Properties,325236267.84,296972360.53,352289251.84,370239100.26
Goodwill And Other Intangible Assets,16426687898.94,15026838687.22,13451941129.58,13154619293.92
Other Intangible Assets,16426687898.94,15026838687.22,13451941129.58,13154619293.92
Net PPE,1278768258.23,1206555299.06,1213954598.28,1229877885.91
Accumulated Depreciation,-2023887852.4,-1930395368.67,-1829634285.21,-1690134636.67
Gross PPE,3302656110.63,3136950667.73,3043588883.49,2920012522.58
Construction In Progress,244692028.57,128222663.27,260280674.61,226943119.92
Other Properties,1992154545.01,1973399209.81,1925223158.82,1862316400.94
Machinery Furniture Equipment,120871045.1,104269674.7,108106783.22,102318592.04
Properties,944938491.95,931059119.95,749978266.84,728434409.68
Current Assets,5363222179.05,4267193810.93,5213959475.74,4484275622.47
Other Current Assets,430066536.19,187418292.8,4753195.72,16200301.52
Prepaid Assets,2852655.61,2670262.74,929709.13,567154.62
Inventory,4437005.78,4458097.03,4705770.33,5394729.87
Inventories Adjustments Allowances,0.0,0.0,0.0,0.0
Raw Materials,4437005.78,4458097.03,4705770.33,5394729.87
Other Receivables,147968744.28,125113864.37,472071525.95,143907275.45
Cash Cash Equivalents And Short Term Investments,4777897237.19,3947533293.99,4731499274.61,4318206161.01
Cash And Cash Equivalents,4777897237.19,3947533293.99,4731499274.61,4318206161.01
Cash Equivalents,2662402877.28,2985153771.1,1827650854.61,958288073.4
Cash Financial,2115494359.91,962379522.89,2903848420.0,3359918087.61
