,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Ordinary Shares Number,623775770.0,602138231.0,601792695.0,593966469.0
Share Issued,623775770.0,602138231.0,601792695.0,593966469.0
Net Debt,,905388626.55,,
Total Debt,3309619303.32,3367016042.16,2448736773.87,1620535392.42
Tangible Book Value,8802236765.01,7139088015.03,6051104044.07,5201970919.86
Invested Capital,11145967341.49,10041252986.97,8221161041.09,6662461050.74
Working Capital,2264171021.5,3493263832.05,3261435789.92,3553390951.38
Net Tangible Assets,8802236765.01,7139088015.03,6051104044.07,5201970919.86
Capital Lease Obligations,68175912.54,35623814.85,33793060.05,35620324.15
Common Stock Equity,8984300857.46,7217984218.4,6130142651.5,5287856394.93
Total Capitalization,10174159315.22,9301191630.5,7637623954.58,6229027900.74
Total Equity Gross Minority Interest,9058377330.92,7279182614.79,6190847603.39,5353311421.78
Minority Interest,74076473.46,61198396.39,60704951.89,65455026.85
Stockholders Equity,8984300857.46,7217984218.4,6130142651.5,5287856394.93
Other Equity Interest,116923280.31,180043270.62,181065912.9,204254762.91
Retained Earnings,5476914829.08,4089166040.05,3160695433.01,2657827641.56
Additional Paid In Capital,2073798677.39,1789215420.86,1784822784.97,1686400352.22
Capital Stock,623775770.0,602138231.0,601792695.0,593966469.0
Common Stock,623775770.0,602138231.0,601792695.0,593966469.0
Total Liabilities Net Minority Interest,7922269351.72,6346092642.49,5081456315.55,3330723679.82
Total Non Current Liabilities Net Minority Interest,2121696666.3,2508804089.01,1803267866.1,1105399019.7
Other Non Current Liabilities,171393140.37,31761101.51,6109313.45,2311921.01
Tradeand Other Payables Non Current,448425331.28,127397276.15,142155767.18,37139387.34
Non Current Deferred Revenue,4672880.52,5160113.77,5531903.81,6284459.09
Non Current Deferred Taxes Liabilities,239170943.83,225654370.63,108196518.53,82871422.3
Long Term Debt And Capital Lease Obligation,1258034370.3,2118831226.95,1541274363.13,976791829.96
Long Term Capital Lease Obligation,68175912.54,35623814.85,33793060.05,35620324.15
Long Term Debt,1189858457.76,2083207412.1,1507481303.08,941171505.81
Current Liabilities,5800572685.42,3837288553.48,3278188449.45,2225324660.12
Other Current Liabilities,35861236.86,45810315.23,49097097.67,31990262.89
Current Debt And Capital Lease Obligation,2051584933.02,1248184815.21,907462410.74,643743562.46
Current Debt,971808026.27,740061356.47,583537086.51,433433150.0
Payables,3633940878.08,2449883105.56,2169617508.03,1397775086.07
Other Payable,1257224245.95,353356630.78,301004970.78,227063012.1
Total Tax Payable,798609618.93,609875487.17,356116712.71,228274314.37
Accounts Payable,1578107013.2,1486650987.61,1512495824.54,942437759.6
Total Assets,16980646682.64,13625275257.28,11272303918.94,8684035101.6
Total Non Current Assets,8915902975.72,6294722871.75,4732679679.57,2905319490.1
Other Non Current Assets,200424742.29,164722700.38,250580875.5,110492674.2
Non Current Deferred Assets,56408702.97,47977020.14,18782532.79,8761944.15
Non Current Deferred Taxes Assets,429589204.77,384271091.14,263854519.48,127107481.89
Investmentin Financial Assets,115502565.67,92376718.7,91257358.01,124841602.4
Available For Sale Securities,115502565.67,92376718.7,91257358.01,124841602.4
Long Term Equity Investment,427123015.52,315326072.36,22257315.39,51100720.73
Goodwill And Other Intangible Assets,182064092.45,78896203.37,79038607.43,85885475.07
Other Intangible Assets,182064092.45,78896203.37,79038607.43,85885475.07
Net PPE,7504790652.05,5211153065.66,4006908470.97,2397129591.66
Accumulated Depreciation,-3139665940.35,-1811693041.19,-1430011229.11,-1140609147.18
Gross PPE,10644456592.4,7022846106.85,5436919700.08,3537738738.84
Construction In Progress,135924646.88,107264915.41,1269882163.51,145822057.66
Other Properties,2328317508.93,935098286.12,196999219.52,196352284.58
Machinery Furniture Equipment,6171460461.95,4759953156.01,2876083126.65,2175665815.01
Properties,2008753974.64,1220529749.31,1093955190.4,1019898581.59
Current Assets,8064743706.92,7330552385.53,6539624239.37,5778715611.5
Other Current Assets,346140737.58,227188732.94,169828769.63,180736092.2
Prepaid Assets,102232905.0,93427545.82,80347104.03,54866299.32
Inventory,1585575217.58,1656065844.87,1169810058.62,792497183.56
Inventories Adjustments Allowances,0.0,0.0,0.0,0.0
Other Inventories,202329200.53,215227750.31,294035963.63,265265024.81
Finished Goods,269272736.97,178576649.42,136841519.68,46177026.03
Work In Process,183343609.15,222990746.47,27562498.07,5931928.26
Raw Materials,930629670.93,1039270698.67,711370077.24,475123204.46
Other Receivables,1172237392.52,1045610450.17,1027626740.13,906568388.28
Accounts Receivable,2240861925.79,2390379669.71,1958896557.93,1996531161.63
Allowance For Doubtful Accounts Receivable,-555756006.31,-605624390.96,-501635891.99,-423369053.3
Gross Accounts Receivable,2796617932.1,2996004060.67,2460532449.92,2419900214.93
Cash Cash Equivalents And Short Term Investments,2617695528.45,1917880142.02,2133115009.03,1847516486.51
Other Short Term Investments,1761845.79,,,
Cash And Cash Equivalents,2615933682.66,1917880142.02,2133115009.03,1847516486.51
Cash Equivalents,77932911.1,176518481.01,254539539.5,201593713.82
Cash Financial,2538000771.56,1741361661.01,1878575469.53,1645922772.69
