,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Ordinary Shares Number,7237816244.0,7160682198.0,7115484008.0,7071322764.0
Share Issued,7237816244.0,7160682198.0,7115484008.0,7071322764.0
Net Debt,9878651156.81,1732913923.17,7439626835.44,5545898344.69
Total Debt,61222761324.37,38772238140.23,28839827749.5,20335689604.83
Tangible Book Value,64649714349.63,51917872671.86,40917166074.47,31668205210.54
Invested Capital,127565318075.73,91662637891.28,72149733595.38,55039071279.84
Working Capital,24670722672.58,19393016950.63,13660621306.1,7478344594.89
Net Tangible Assets,64649714349.63,51917872671.86,40917166074.47,31668205210.54
Capital Lease Obligations,727982667.37,552488888.66,800739041.51,315093483.55
Common Stock Equity,69327010925.99,56310184510.6,45342897318.53,35288554748.72
Total Capitalization,92252189151.47,71148455650.81,57237833926.45,43119435941.85
Total Equity Gross Minority Interest,84687126415.01,70284864826.22,58783869697.19,45782643549.57
Minority Interest,15360115489.02,13974680315.62,13440972378.66,10494088800.85
Stockholders Equity,69327010925.99,56310184510.6,45342897318.53,35288554748.72
Other Equity Interest,527271028.72,527289020.28,527319637.88,527358025.98
Retained Earnings,53101139440.57,42026971911.25,32288416277.22,24040637144.0
Additional Paid In Capital,6867571780.0,4431226649.93,3422693029.12,2341705299.21
Capital Stock,7236462142.0,7148168213.0,7099908647.0,7050485477.0
Common Stock,7236462142.0,7148168213.0,7099908647.0,7050485477.0
Total Liabilities Net Minority Interest,139140458018.25,91707234769.43,89600449377.52,74789454618.31
Total Non Current Liabilities Net Minority Interest,25265935445.11,16872123107.25,14969237474.53,9958755591.47
Other Non Current Liabilities,7845002.69,2114503.6,1006552.44,2131502.75
Non Current Deferred Revenue,649108632.44,595323601.05,665910095.66,538556944.18
Non Current Deferred Taxes Liabilities,955820917.13,883924973.73,1606645177.0,1272092467.86
Long Term Debt And Capital Lease Obligation,23653160892.85,15390760028.87,12695675649.43,8145974676.68
Long Term Capital Lease Obligation,727982667.37,552488888.66,800739041.51,315093483.55
Long Term Debt,22925178225.48,14838271140.21,11894936607.92,7830881193.13
Current Liabilities,113874522573.14,74835111662.18,74631211902.99,64830699026.84
Other Current Liabilities,5168824236.48,932701803.3,3957037125.24,3623423072.87
Current Debt And Capital Lease Obligation,37569600431.52,23381478111.36,16144152100.07,12189714928.15
Current Debt,35313128924.26,20514182240.47,14911899668.93,11919635337.99
Payables,70718311279.62,50159422402.92,53983938902.94,48749013342.84
Other Payable,3461518503.72,2725102909.99,2825926472.18,2482307487.96
Dividends Payable,52175292.26,11894022.29,15089486.78,
Total Tax Payable,1238288633.06,1021324275.18,841385173.92,616039596.28
Accounts Payable,65966328850.58,46401101195.46,50301537770.06,45650666258.6
Total Assets,223827584433.26,161992099595.65,148384319074.71,120572098167.88
Total Non Current Assets,85282339187.54,67763970982.84,60092485865.62,48263054546.15
Other Non Current Assets,16872400444.43,9931644112.92,1676259912.33,1904305181.49
Non Current Deferred Assets,770001330.59,590266003.15,810913529.72,733015722.42
Non Current Deferred Taxes Assets,817693476.29,872943835.4,1208582281.01,891215468.53
Investmentin Financial Assets,152076576.6,284822251.32,2215058533.11,1705955355.05
Held To Maturity Securities,,,1739251540.45,1464279206.63
Available For Sale Securities,152076576.6,284822251.32,475806992.66,241676148.42
Long Term Equity Investment,7488295934.01,4232941741.05,2000007642.66,1125605226.03
Investment Properties,35664816.93,23353936.24,92782410.06,59000690.72
Goodwill And Other Intangible Assets,4677296576.36,4392311838.74,4425731244.06,3620349538.18
Other Intangible Assets,2791469756.34,2663069103.86,2695684053.67,2222985029.31
Goodwill,1885826820.02,1729242734.88,1730047190.39,1397364508.87
Net PPE,54468910032.33,47435687264.02,47663150312.67,38223607363.73
Accumulated Depreciation,-40396135481.59,-28901366772.27,-20253063536.06,-13221927004.74
Gross PPE,94865045513.92,76337054036.29,67916213848.73,51445534368.47
Construction In Progress,5379186127.71,2226217016.31,2695377794.32,3685336499.02
Other Properties,26377237748.5,22885988338.96,18988725527.06,12969329841.82
Machinery Furniture Equipment,46532485994.34,36474457768.88,32868435547.77,23742183089.19
Properties,16576135643.37,14750390912.14,13363674979.58,11048684938.44
Current Assets,138545245245.72,94228128612.81,88291833209.09,72309043621.73
Other Current Assets,21756617498.97,3967644418.61,2197204594.09,2161055820.73
Prepaid Assets,389200419.67,486702941.36,586577865.23,406016492.61
Inventory,31702675549.03,29757930319.35,37363329476.66,20900755733.15
Inventories Adjustments Allowances,0.0,0.0,0.0,0.0
Other Inventories,215579744.57,350448762.73,97678729.66,
Finished Goods,16303844113.16,17589086696.59,23408967217.64,10680249389.43
Work In Process,6578095859.43,4995113550.55,4927092248.21,3336046051.73
Raw Materials,8605155831.87,6823281309.48,8929591281.15,6884460291.99
Other Receivables,2372886058.51,1171065411.59,1380890472.6,906293337.52
Accounts Receivable,32561098916.58,23504481889.07,26043354859.19,31623185946.25
Allowance For Doubtful Accounts Receivable,-121155217.0,-111626176.09,-140131082.47,-93777355.48
Gross Accounts Receivable,32682254133.58,23616108065.16,26183485941.66,31716963301.73
Cash Cash Equivalents And Short Term Investments,49762766802.96,35340303632.83,20720475941.32,16311736291.47
Other Short Term Investments,1403110810.03,1720764175.32,1353266499.91,2107118105.04
Cash And Cash Equivalents,48359655992.93,33619539457.51,19367209441.41,14204618186.43
Cash Equivalents,1149536390.91,3935387136.86,2054791011.9,5283081458.35
Cash Financial,47210119602.02,29684152320.65,17312418429.51,8921536728.08
