,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Tax Effect Of Unusual Items,-2725639.413308,-12229006.408952,-5193414.591767,23032162.964477
Tax Rate For Calcs,0.077403,0.039782,0.06289,0.109821
Normalized EBITDA,6385197294.79,4781313869.25,4235944079.15,3869701001.46
Total Unusual Items,-35213548.42,-307398981.88,-82579690.33,209724479.07
Total Unusual Items Excluding Goodwill,-35213548.42,-307398981.88,-82579690.33,209724479.07
Net Income From Continuing Operation Net Minority Interest,4054292460.55,2926223274.5,2706874614.61,2563676750.43
Reconciled Depreciation,1592737094.48,1195476347.66,1049392092.05,835246552.68
Reconciled Cost Of Revenue,157768380631.27,99657240197.06,75707579689.06,83524386465.36
EBITDA,6349983746.37,4473914887.37,4153364388.82,4079425480.53
EBIT,4757246651.89,3278438539.71,3103972296.77,3244178927.85
Net Interest Income,107113816.03,258110694.49,134601397.67,90480235.36
Interest Expense,308359538.96,244091676.2,270331269.18,444165892.3
Interest Income,400550096.2,478338762.7,368674993.24,426035880.18
Normalized Income,4086780369.556692,3221393249.971048,2784260890.348233,2376984434.324477
Net Income From Continuing And Discontinued Operation,4054292460.55,2926223274.5,2706874614.61,2563676750.43
Total Expenses,167329210228.86,107142151628.53,82525193828.6,90248720516.33
Rent Expense Supplemental,142176986.85,102956000.0,85723656.59,180541363.7
Total Operating Income As Reported,4445773345.19,3022321503.95,2831266049.58,2803971374.96
Diluted Average Shares,1008530463.0,1012534005.0,953124864.0,912549249.0
Basic Average Shares,1008530463.0,1012534005.0,953124864.0,912549249.0
Diluted EPS,4.02,2.89,2.84,2.809357
Basic EPS,4.02,2.89,2.84,2.809357
Net Income Common Stockholders,4054292460.55,2926223274.5,2706874614.61,2563676750.43
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,4054292460.55,2926223274.5,2706874614.61,2563676750.43
Minority Interests,-50236795.69,12589391.28,51440511.77,71164092.63
Net Income Including Noncontrolling Interests,4104529256.24,2913633883.22,2655434102.84,2492512657.8
Net Income Continuous Operations,4104529256.24,2913633883.22,2655434102.84,2492512657.8
Tax Provision,344357856.69,120712980.29,178206924.75,307500377.75
Pretax Income,4448887112.93,3034346863.51,2833641027.59,2800013035.55
Other Non Operating Income Expenses,3113767.74,12025359.56,2374978.01,-331938276.4
Special Income Charges,-209957899.71,-118745031.5,-357212790.18,-120557978.59
Other Special Charges,583210.1,1026341.05,14363884.68,8586176.05
Write Off,10491025.9,-9474621.89,42462994.5,26782798.35
Impairment Of Capital Assets,198883663.71,127193312.34,300385911.0,85189004.19
Net Non Operating Interest Income Expense,107113816.03,258110694.49,134601397.67,90480235.36
Total Other Finance Cost,-14923258.79,-23863607.99,-36257673.61,-108610247.48
Interest Expense Non Operating,308359538.96,244091676.2,270331269.18,444165892.3
Interest Income Non Operating,400550096.2,478338762.7,368674993.24,426035880.18
Operating Income,4107716444.54,2735835562.63,2813290385.09,2396981085.07
Operating Expense,9560829597.59,7484911431.47,6817614139.54,6724334050.97
Other Operating Expenses,438050672.62,337224469.7,255683662.8,-1959084920.43
Depreciation And Amortization In Income Statement,422367161.35,342681671.78,314366769.89,476424557.42
Depreciation Income Statement,422367161.35,342681671.78,314366769.89,476424557.42
Research And Development,6363452699.87,5155806758.0,4547527195.41,5047085640.98
Selling General And Administration,677639718.84,483493510.91,485452793.31,872084291.76
Selling And Marketing Expense,134015967.84,90484283.91,128400634.69,220965647.4
General And Administrative Expense,543623751.0,393009227.0,357052158.62,651118644.36
Rent And Landing Fees,142176986.85,102956000.0,85723656.59,180541363.7
Gross Profit,13668546042.13,10220746994.1,9630904524.63,9121315136.04
Cost Of Revenue,157768380631.27,99657240197.06,75707579689.06,83524386465.36
Total Revenue,171436926673.4,109877987191.16,85338484213.69,92645701601.4
Operating Revenue,171436926673.4,109877987191.16,85338484213.69,92645701601.4
