,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,-9281189.19155,-6471604.888179,-3485474.277069,-6129927.300897
Tax Rate For Calcs,0.1668,0.153791,0.151549,0.148992
Normalized EBITDA,8089078739.06,6321827920.73,9298254865.52,10109811526.32
Total Unusual Items,-55642706.84,-42080435.88,-22999046.7,-41142604.26
Total Unusual Items Excluding Goodwill,-55642706.84,-42080435.88,-22999046.7,-41142604.26
Net Income From Continuing Operation Net Minority Interest,3902593305.73,3575898630.37,6289374659.11,7270896741.97
Reconciled Depreciation,2760071090.75,1901203814.57,1773585196.73,1415734717.93
Reconciled Cost Of Revenue,27820703167.53,21575599784.12,21490938211.86,17274156254.01
EBITDA,8033436032.22,6279747484.85,9275255818.82,10068668922.06
EBIT,5273364941.47,4378543670.28,7501670622.09,8652934204.13
Net Interest Income,-239670309.53,-74743057.94,-59262551.73,-91892548.05
Interest Expense,258723047.34,97773296.05,91083337.09,109599732.86
Interest Income,22805941.11,27521114.87,34036246.99,20630757.06
Normalized Income,3948954823.37845,3611507461.361821,6308888231.532931,7305909418.929103
Net Income From Continuing And Discontinued Operation,3902593305.73,3575898630.37,6289374659.11,7270896741.97
Total Expenses,28909907659.74,22729698681.9,22598338504.4,18111176754.94
Total Operating Income As Reported,5008133621.45,4428384239.41,7603580301.09,8525578852.01
Diluted Average Shares,2119822545.0,2117169112.0,2121205619.0,2114247381.0
Basic Average Shares,2119822545.0,2117169112.0,2121205619.0,2114247381.0
Diluted EPS,1.841,1.689,2.965,3.439
Basic EPS,1.841,1.689,2.965,3.439
Net Income Common Stockholders,3902593305.73,3575898630.37,6289374659.11,7270896741.97
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,3902593305.73,3575898630.37,6289374659.11,7270896741.97
Minority Interests,-275607610.05,-46526508.13,1851807.9,452505.97
Net Income Including Noncontrolling Interests,4178200915.78,3622425138.5,6287522851.21,7270444236.0
Net Income Extraordinary,,,,0.0
Net Income Continuous Operations,4178200915.78,3622425138.5,6287522851.21,7270444236.0
Tax Provision,836440978.35,658345235.73,1123064433.79,1272890235.27
Pretax Income,5014641894.13,4280770374.23,7410587285.0,8543334471.27
Other Non Operating Income Expenses,6508272.68,-147613865.18,-192993016.09,17755619.26
Special Income Charges,-55642706.84,-35690315.51,-24230768.29,-42161175.66
Other Special Charges,-59581.88,27753.02,-155220.98,-121273.99
Write Off,27882314.26,2278342.51,-2394004.49,3421048.19
Impairment Of Capital Assets,27819974.46,33384219.98,26779993.76,38861401.46
Net Non Operating Interest Income Expense,-239670309.53,-74743057.94,-59262551.73,-91892548.05
Total Other Finance Cost,3753203.3,4490876.76,2215461.63,2923572.25
Interest Expense Non Operating,258723047.34,97773296.05,91083337.09,109599732.86
Interest Income Non Operating,22805941.11,27521114.87,34036246.99,20630757.06
Operating Income,5316110967.39,4530188203.61,7646944875.9,8633208590.31
Operating Expense,1089204492.21,1154098897.78,1107400292.54,837020500.93
Other Operating Expenses,206842540.25,198714990.71,223053660.21,148517274.59
Depreciation And Amortization In Income Statement,85527913.11,66686494.85,70233530.85,64653496.24
Depreciation Income Statement,85527913.11,66686494.85,70233530.85,64653496.24
Research And Development,660664766.54,578377974.15,610627092.63,368438429.44
Selling General And Administration,173039115.81,156592410.99,96429126.44,107540319.3
Selling And Marketing Expense,38533837.37,18614863.97,15418455.92,17120733.21
General And Administrative Expense,134505278.44,137977547.02,81010670.52,90419586.09
Gross Profit,6405315459.6,5684287101.39,8754345168.44,9470229091.24
Cost Of Revenue,27820703167.53,21575599784.12,21490938211.86,17274156254.01
Total Revenue,34226018627.13,27259886885.51,30245283380.3,26744385345.25
Operating Revenue,34226018627.13,27259886885.51,30245283380.3,26744385345.25
