,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Ordinary Shares Number,25219845601.0,25219845601.0,25219845601.0,25219845601.0
Share Issued,25219845601.0,25219845601.0,25219845601.0,25219845601.0
Total Debt,471075000000.0,436552000000.0,443861000000.0,631107000000.0
Tangible Book Value,1182186000000.0,1031853000000.0,900068000000.0,805924000000.0
Invested Capital,1656843000000.0,1472779000000.0,1348883000000.0,1441975000000.0
Net Tangible Assets,1209654000000.0,1059321000000.0,927536000000.0,839989000000.0
Common Stock Equity,1198546000000.0,1048902000000.0,918035000000.0,824680000000.0
Preferred Stock Equity,27468000000.0,27468000000.0,27468000000.0,34065000000.0
Total Capitalization,1684311000000.0,1500247000000.0,1376351000000.0,1476040000000.0
Total Equity Gross Minority Interest,1233475000000.0,1085729000000.0,954238000000.0,865681000000.0
Minority Interest,7461000000.0,9359000000.0,8735000000.0,6936000000.0
Stockholders Equity,1226014000000.0,1076370000000.0,945503000000.0,858745000000.0
Other Equity Interest,152978000000.0,122978000000.0,92978000000.0,92978000000.0
Retained Earnings,634078000000.0,568372000000.0,492971000000.0,428592000000.0
Additional Paid In Capital,,,65435000000.0,67523000000.0
Capital Stock,52688000000.0,52688000000.0,52688000000.0,59285000000.0
Common Stock,25220000000.0,25220000000.0,25220000000.0,25220000000.0
Preferred Stock,27468000000.0,27468000000.0,27468000000.0,34065000000.0
Total Liabilities Net Minority Interest,10918561000000.0,9942754000000.0,9184674000000.0,8383340000000.0
Derivative Product Liabilities,31583000000.0,17443000000.0,18636000000.0,27282000000.0
Long Term Debt And Capital Lease Obligation,471075000000.0,436552000000.0,443861000000.0,631107000000.0
Payables,46225000000.0,42276000000.0,43324000000.0,42252000000.0
Other Payable,34512000000.0,28679000000.0,23866000000.0,19761000000.0
Total Tax Payable,11713000000.0,13597000000.0,19458000000.0,22491000000.0
Total Assets,12152036000000.0,11028483000000.0,10138912000000.0,9249021000000.0
Investments And Advances,3736588000000.0,3239243000000.0,2815204000000.0,2224041000000.0
Investmentin Financial Assets,3705573000000.0,3212653000000.0,2791360000000.0,2200387000000.0
Available For Sale Securities,1114442000000.0,918751000000.0,793765000000.0,643033000000.0
Trading Securities,617018000000.0,526145000000.0,423467000000.0,348123000000.0
Long Term Equity Investment,31015000000.0,26590000000.0,23844000000.0,23654000000.0
Investment Properties,1117000000.0,1160000000.0,1268000000.0,1372000000.0
Goodwill And Other Intangible Assets,16360000000.0,17049000000.0,17967000000.0,18756000000.0
Other Intangible Assets,6406000000.0,7095000000.0,7968000000.0,8802000000.0
Goodwill,9954000000.0,9954000000.0,9999000000.0,9954000000.0
Net PPE,140496000000.0,126912000000.0,111772000000.0,92688000000.0
Accumulated Depreciation,-59291000000.0,-54942000000.0,-49634000000.0,-41691000000.0
Gross PPE,199787000000.0,181854000000.0,161406000000.0,134379000000.0
Construction In Progress,3825000000.0,3980000000.0,3787000000.0,3502000000.0
Other Properties,161638000000.0,40045000000.0,41377000000.0,40674000000.0
Machinery Furniture Equipment,,104803000000.0,85741000000.0,61327000000.0
Properties,34324000000.0,33026000000.0,30501000000.0,28876000000.0
Cash And Cash Equivalents,1212666000000.0,1073586000000.0,960911000000.0,846618000000.0
Cash Equivalents,9415000000.0,2321000000.0,4784000000.0,4639000000.0
Cash Financial,16622000000.0,14931000000.0,15209000000.0,13310000000.0
Cash Cash Equivalents And Federal Funds Sold,1483995000000.0,1245832000000.0,1237587000000.0,1371219000000.0
