,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Free Cash Flow,-1779422169.81,-1542699150.15,14501621.68,-782379931.77
Repayment Of Debt,-3352539660.98,-3363414446.64,-2081966345.0,-2445239097.92
Issuance Of Debt,5140425188.95,4592518935.24,2938665890.0,2759992059.18
Capital Expenditure,-1789960929.2,-1892698201.26,-1327646740.93,-839240524.14
End Cash Position,236875798.84,359419828.22,246240224.26,211742093.53
Beginning Cash Position,359419828.22,246240224.26,211742093.53,228282867.56
Effect Of Exchange Rate Changes,9014633.77,-4859749.18,-1167104.22,-4418028.67
Changes In Cash,-131558663.15,118039353.14,35665234.95,-12122745.36
Financing Cash Flow,1641525292.8,2166836713.81,495516683.89,826769997.19
Net Other Financing Charges,56425847.91,1117229853.73,6691095.06,652792769.27
Cash Dividends Paid,-202786083.08,-179497628.52,-367873956.17,-140775733.34
Net Issuance Payments Of Debt,1787885527.97,1229104488.6,856699545.0,314752961.26
Net Long Term Debt Issuance,1787885527.97,1229104488.6,856699545.0,314752961.26
Long Term Debt Payments,-3352539660.98,-3363414446.64,-2081966345.0,-2445239097.92
Long Term Debt Issuance,5140425188.95,4592518935.24,2938665890.0,2759992059.18
Investing Cash Flow,-1783622715.34,-2398796411.78,-1801999811.55,-895753334.92
Net Other Investing Changes,,,,-839240524.14
Net Investment Purchase And Sale,826140.47,-534948859.45,-485000000.0,-34975000.0
Sale Of Investment,826140.47,5051140.55,,105525000.0
Purchase Of Investment,,-540000000.0,-485000000.0,-140500000.0
Net Business Purchase And Sale,,,-5563691.12,-26424364.37
Purchase Of Business,,,-5563691.12,-26424364.37
Net PPE Purchase And Sale,-1784448855.81,-1863847552.33,-1311436120.43,-834353970.55
Sale Of PPE,5512073.39,28850648.93,16210620.5,4886553.59
Purchase Of PPE,-1789960929.2,-1892698201.26,-1327646740.93,-839240524.14
Operating Cash Flow,10538759.39,349999051.11,1342148362.61,56860592.37
Change In Working Capital,-798016880.71,-448038340.2,266558896.18,-785149329.92
Change In Other Current Assets,-9416897.11,-34989701.18,-18293569.49,597190.46
Change In Payable,124544172.72,-250422794.81,67679766.73,195418637.08
Change In Inventory,-378363129.05,105958288.39,-265186337.33,-281149694.95
Change In Receivables,-534781027.27,-268584132.6,482359036.27,-700015462.51
Other Non Cash Items,123182067.15,119449994.38,113688130.06,86313196.67
Depreciation And Amortization,415964786.54,297921551.2,253843217.53,194688236.5
Amortization Cash Flow,18199596.81,12453354.99,11953255.04,9213389.24
Depreciation,397765189.73,285468196.21,241889962.49,185474847.26
Gain Loss On Investment Securities,19615198.01,11371284.36,7935317.11,2206312.6
Gain Loss On Sale Of PPE,213531.07,3850904.91,-13073997.82,3583779.71
Net Income From Continuing Operations,157944523.24,356727164.55,683127039.06,517407569.21
Cash Flowsfromusedin Operating Activities Direct,10538759.39,349999051.11,1342148362.61,56860592.37
Taxes Refund Paid Direct,-117881619.72,-222158210.91,-138159880.51,-268177546.97
Classesof Cash Payments,-8407059579.02,-6421863273.84,-7292009921.74,-6757630123.32
Other Cash Paymentsfrom Operating Activities,-135896177.82,-128681904.85,-156696000.98,-175631604.04
Paymentson Behalfof Employees,-639049134.13,-568431897.76,-527119433.31,-418953822.51
Paymentsto Suppliersfor Goodsand Services,-7632114267.07,-5724749471.23,-6608194487.45,-6163044696.77
Classesof Cash Receiptsfrom Operating Activities,8535479958.13,6994020535.86,8772318164.86,7082668262.66
Other Cash Receiptsfrom Operating Activities,51263704.21,130653816.42,85096861.07,170400965.08
Receiptsfrom Customers,8484216253.92,6863366719.44,8687221303.79,6912267297.58
