,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Free Cash Flow,5375939.79,149214843.65,125049545.22,281236026.32
Repayment Of Debt,-1131242747.77,-353150243.93,-237674866.56,-1094332430.64
Issuance Of Debt,1457741017.29,227200125.93,327750118.0,537734576.52
Capital Expenditure,-86006119.7,-85712854.44,-76201687.07,-90358016.81
End Cash Position,1994157723.2,1924909032.26,1627076634.47,1484449940.78
Beginning Cash Position,1924909032.26,1627076634.47,1484449940.78,1779836593.55
Effect Of Exchange Rate Changes,-468319.81,423289.91,-325779.78,-293408.6
Changes In Cash,69717010.75,297409107.88,142952473.47,-295093244.17
Financing Cash Flow,174720598.18,-219965286.53,-24692283.17,-685421077.99
Net Other Financing Charges,-86952888.03,-33764657.97,-48997714.06,-42833179.62
Cash Dividends Paid,-64824783.31,-55050510.56,-65769820.55,-85990044.25
Net Issuance Payments Of Debt,326498269.52,-125950118.0,90075251.44,-556597854.12
Net Long Term Debt Issuance,326498269.52,-125950118.0,90075251.44,-556597854.12
Long Term Debt Payments,-1131242747.77,-353150243.93,-237674866.56,-1094332430.64
Long Term Debt Issuance,1457741017.29,227200125.93,327750118.0,537734576.52
Investing Cash Flow,-196385646.92,282446696.32,-33606475.65,18733790.69
Net Other Investing Changes,-127130200.67,296608474.84,25309000.0,11400000.0
Net Investment Purchase And Sale,14617817.45,67163367.1,16723089.27,97270126.22
Sale Of Investment,14617817.45,96663416.1,62133986.38,97660126.22
Purchase Of Investment,,-29500049.0,-45410897.11,-390000.0
Net Business Purchase And Sale,,4078324.32,,
Purchase Of Business,,4078324.32,,
Net PPE Purchase And Sale,-83873263.7,-85403469.94,-75638564.92,-89936335.53
Sale Of PPE,2132856.0,309384.5,563122.15,421681.28
Purchase Of PPE,-86006119.7,-85712854.44,-76201687.07,-90358016.81
Operating Cash Flow,91382059.49,234927698.09,201251232.29,371594043.13
Change In Working Capital,-155733579.46,-231527197.56,-393817135.79,-325868206.21
Change In Other Current Assets,22449545.13,10073530.08,-36250725.16,-23766153.73
Change In Payable,-588942422.01,294397196.88,-159151678.21,456079518.19
Change In Inventory,-533543165.73,467795142.24,624501920.68,-215376722.32
Change In Receivables,944302463.15,-1003793066.76,-822916653.1,-542804848.35
Other Non Cash Items,37622437.37,24354010.74,35279953.31,50428092.01
Depreciation And Amortization,118404586.22,107489357.19,103206129.04,112158942.04
Amortization Cash Flow,59896489.35,56075382.65,46153199.77,38441735.25
Depreciation,58508096.87,51413974.54,57052929.27,73717206.79
Gain Loss On Investment Securities,41389786.63,-4485419.49,60230519.07,-50851221.94
Gain Loss On Sale Of PPE,-159656.5,262089.67,-101863.63,255642.69
Net Income From Continuing Operations,-536465761.64,203522968.44,206442224.23,387843470.71
Cash Flowsfromusedin Operating Activities Direct,91382059.49,234927698.09,201251232.29,371594043.13
Taxes Refund Paid Direct,-310226970.94,-300461263.61,-292508045.37,-366800075.4
Classesof Cash Payments,-11123257178.29,-11930655889.1,-11994616824.94,-11368260521.58
Other Cash Paymentsfrom Operating Activities,-409490845.55,-586216683.38,-355522109.85,-573081234.25
Paymentson Behalfof Employees,-3557488296.44,-3157218934.45,-2740407571.6,-2413954633.09
Paymentsto Suppliersfor Goodsand Services,-7156278036.3,-8187220271.27,-8898687143.49,-8381224654.24
Classesof Cash Receiptsfrom Operating Activities,11524866208.72,12466044850.8,12488376102.6,12106654640.11
Other Cash Receiptsfrom Operating Activities,298067001.64,107699776.39,153217828.84,270992307.37
Receiptsfrom Customers,11226799207.08,12358345074.41,12335158273.76,11835662332.74
