,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Tax Effect Of Unusual Items,-86703100.898052,-144960286.103685,-157637570.097637,-318169907.297088
Tax Rate For Calcs,0.117057,0.094694,0.094313,0.109699
Normalized EBITDA,15545386000.0,19176093000.0,19941992000.0,17984221000.0
Total Unusual Items,-740692000.0,-1530822000.0,-1671426000.0,-2900396000.0
Total Unusual Items Excluding Goodwill,-740692000.0,-1530822000.0,-1671426000.0,-2900396000.0
Net Income From Continuing Operation Net Minority Interest,5617745000.0,8424792000.0,9325753000.0,8080295000.0
Reconciled Depreciation,4757775000.0,4968644000.0,4925859000.0,4386206000.0
Reconciled Cost Of Revenue,93391318000.0,75311066000.0,72702602000.0,77227569000.0
EBITDA,14804694000.0,17645271000.0,18270566000.0,15083825000.0
EBIT,10046919000.0,12676627000.0,13344707000.0,10697619000.0
Net Interest Income,462583000.0,732547000.0,717062000.0,317701000.0
Interest Expense,3744052000.0,3447022000.0,3141567000.0,1945963000.0
Interest Income,4346036000.0,4398326000.0,4084555000.0,2439825000.0
Normalized Income,6271733899.101948,9810653713.896315,10839541429.902363,10662521092.702911
Net Income From Continuing And Discontinued Operation,5617745000.0,8424792000.0,9325753000.0,8080295000.0
Total Expenses,127793141000.0,110963335000.0,113272815000.0,112393721000.0
Rent Expense Supplemental,,,,21284000.0
Total Operating Income As Reported,6361809000.0,9342181000.0,10258379000.0,8794834000.0
Diluted Average Shares,,4786813636.0,4758037245.0,4725318713.0
Basic Average Shares,,4786813636.0,4758037245.0,4725318713.0
Diluted EPS,,1.76,1.96,1.71
Basic EPS,,1.76,1.96,1.71
Net Income Common Stockholders,5617745000.0,8424792000.0,9325753000.0,8080295000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,5617745000.0,8424792000.0,9325753000.0,8080295000.0
Minority Interests,52672000.0,69179000.0,84904000.0,288685000.0
Net Income Including Noncontrolling Interests,5565073000.0,8355613000.0,9240849000.0,7791610000.0
Net Income Extraordinary,,,,
Net Income Continuous Operations,5565073000.0,8355613000.0,9240849000.0,7791610000.0
Tax Provision,737794000.0,873992000.0,962291000.0,960046000.0
Pretax Income,6302867000.0,9229605000.0,10203140000.0,8751656000.0
Other Non Operating Income Expenses,-76055000.0,-143125000.0,-66023000.0,-43178000.0
Special Income Charges,-521332000.0,-745069000.0,-913565000.0,-1548305000.0
Other Special Charges,-5033000.0,-95659000.0,-20597000.0,-11029000.0
Write Off,-101296000.0,-92454000.0,75796000.0,369304000.0
Impairment Of Capital Assets,627661000.0,933182000.0,858366000.0,1190030000.0
Net Non Operating Interest Income Expense,462583000.0,732547000.0,717062000.0,317701000.0
Total Other Finance Cost,139401000.0,218757000.0,225926000.0,176161000.0
Interest Expense Non Operating,3744052000.0,3447022000.0,3141567000.0,1945963000.0
Interest Income Non Operating,4346036000.0,4398326000.0,4084555000.0,2439825000.0
Operating Income,6102319000.0,10335417000.0,10978063000.0,10560697000.0
Operating Expense,34401823000.0,35652269000.0,40570213000.0,35166152000.0
Other Operating Expenses,1090435000.0,1175971000.0,1283338000.0,950767000.0
Depreciation And Amortization In Income Statement,400000000.0,501105000.0,562476000.0,447227000.0
Depreciation Income Statement,400000000.0,501105000.0,562476000.0,447227000.0
Research And Development,22754978000.0,24031499000.0,25289211000.0,21602300000.0
Selling General And Administration,5901722000.0,5073633000.0,6509529000.0,6392693000.0
Selling And Marketing Expense,4478655000.0,3366684000.0,4490559000.0,4014207000.0
General And Administrative Expense,1423067000.0,1706949000.0,2018970000.0,2378486000.0
Rent And Landing Fees,,,,21284000.0
Gross Profit,40504142000.0,45987686000.0,51548276000.0,45726849000.0
Cost Of Revenue,93391318000.0,75311066000.0,72702602000.0,77227569000.0
Total Revenue,133895460000.0,121298752000.0,124250878000.0,122954418000.0
Operating Revenue,133895460000.0,121298752000.0,124250878000.0,122954418000.0
