,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Free Cash Flow,-1150182289.14,-1653729995.46,-1175076598.35,-1274583140.95
Repayment Of Debt,-1556451936.31,-1173007030.47,-1112864114.47,-818083340.09
Issuance Of Debt,2263898815.21,2647920752.4,2045359310.15,1853027898.78
Capital Expenditure,-2577982215.68,-2683721182.08,-2391939687.57,-1989159836.39
End Cash Position,1182461763.81,935357347.13,783370751.07,822396950.39
Beginning Cash Position,935357347.13,783370751.07,822396950.39,501100075.06
Changes In Cash,247104416.68,151986596.06,-39026199.32,321296875.33
Financing Cash Flow,1292021293.03,1808707100.38,1064862488.34,1707979014.91
Net Other Financing Charges,910721894.53,637698413.54,429198323.66,924257943.51
Cash Dividends Paid,-302918956.26,-293398537.85,-281643931.0,-243160462.69
Net Issuance Payments Of Debt,707446878.9,1474913721.93,932495195.68,1034944558.69
Net Long Term Debt Issuance,707446878.9,1474913721.93,932495195.68,1034944558.69
Long Term Debt Payments,-1556451936.31,-1173007030.47,-1112864114.47,-818083340.09
Long Term Debt Issuance,2263898815.21,2647920752.4,2045359310.15,1853027898.78
Investing Cash Flow,-2472716802.89,-2686711690.94,-2320751776.88,-2101258835.02
Net Other Investing Changes,75707806.8,,,
Net Investment Purchase And Sale,30712568.06,-7479200.57,26482800.94,-90040224.51
Sale Of Investment,54712568.06,10520799.43,56222918.06,37114945.49
Purchase Of Investment,-24000000.0,-18000000.0,-29740117.12,-127155170.0
Net Business Purchase And Sale,-1436635.21,3285917.71,33625433.72,-24350166.12
Sale Of Business,9057831.55,3285917.71,33625433.72,
Purchase Of Business,-10494466.76,,,-24350166.12
Net PPE Purchase And Sale,-2577700542.54,-2682518408.08,-2380860011.54,-1986868444.39
Sale Of PPE,281673.14,1202774.0,11079676.03,2291392.0
Purchase Of PPE,-2577982215.68,-2683721182.08,-2391939687.57,-1989159836.39
Operating Cash Flow,1427799926.54,1029991186.62,1216863089.22,714576695.44
Change In Working Capital,-229994226.99,-282231755.4,-213685824.67,-648282105.8
Change In Other Current Assets,-26908951.39,-14830204.55,-23726444.51,-19658642.89
Change In Payable,-401869347.72,287177219.78,343210094.94,135940404.75
Change In Inventory,4953337.6,116555389.07,-67876851.38,-50770597.9
Change In Receivables,193830734.52,-671134159.7,-465292623.72,-713793269.76
Other Non Cash Items,286235954.94,264391662.88,246429111.67,218842622.2
Depreciation And Amortization,810493545.54,647838339.74,605892552.68,552891028.1
Amortization Cash Flow,5102166.51,4846516.15,6884459.7,8498794.93
Depreciation,805391379.03,642991823.59,599008092.98,544392233.17
Gain Loss On Investment Securities,-63085528.77,-55369231.74,-102821801.95,-42397054.43
Gain Loss On Sale Of PPE,-1270419.5,-518395.55,3810578.03,4565001.77
Net Income From Continuing Operations,-68469991.02,361647295.65,607773364.2,524166895.24
Cash Flowsfromusedin Operating Activities Direct,1427799926.54,1029991186.62,1216863089.22,714576695.44
Taxes Refund Paid Direct,-46726056.99,-66743784.79,198485494.67,-77629329.26
Classesof Cash Payments,-1811934250.21,-1662413771.02,-1808655048.39,-1483964996.38
Other Cash Paymentsfrom Operating Activities,-154002456.67,-115972998.73,-107024861.47,-48354828.83
Paymentson Behalfof Employees,-292313921.41,-250485168.35,-277336827.39,-216365212.3
Paymentsto Suppliersfor Goodsand Services,-1365617872.13,-1295955603.94,-1424293359.53,-1219244955.25
Classesof Cash Receiptsfrom Operating Activities,3286460233.74,2759148742.43,2827032642.94,2276171021.08
Other Cash Receiptsfrom Operating Activities,92789501.96,52937790.67,97411956.14,67509279.6
Receiptsfrom Customers,3193670731.78,2706210951.76,2729620686.8,2208661741.48
