,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Ordinary Shares Number,3787878787.0,3787878787.0,3787878787.0,3787878787.0
Share Issued,3787878787.0,3787878787.0,3787878787.0,3787878787.0
Net Debt,5352411067.25,3661919038.11,3616824244.48,3074448832.94
Total Debt,7771959542.89,7053319534.18,5159187173.09,4442933778.12
Tangible Book Value,6506328299.23,6591150278.6,6273316892.07,5797344390.51
Invested Capital,13160865412.29,11339489582.75,10868353538.25,9866619041.08
Working Capital,-314963759.86,-1242023827.28,627971141.78,845892235.84
Net Tangible Assets,6506328299.23,6591150278.6,6273316892.07,5797344390.51
Capital Lease Obligations,314130264.53,207648426.36,197494078.6,140906998.92
Common Stock Equity,6613388985.03,6739438229.29,6462536899.89,5968453257.75
Total Capitalization,12600593573.87,11179072587.52,10367920871.59,9437881365.35
Total Equity Gross Minority Interest,7392093785.29,7422643314.21,7051502139.19,6417716007.81
Minority Interest,778704800.26,683205084.92,588965239.3,449262750.06
Stockholders Equity,6613388985.03,6739438229.29,6462536899.89,5968453257.75
Retained Earnings,1578809965.52,1707265719.03,1494511428.55,1025473206.17
Additional Paid In Capital,1038041756.63,1063104890.02,1061502821.19,1066745326.15
Capital Stock,3787878787.0,3787878787.0,3787878787.0,3787878787.0
Common Stock,3787878787.0,3787878787.0,3787878787.0,3787878787.0
Total Liabilities Net Minority Interest,13379322469.23,10960268756.62,8316602506.67,7140251451.58
Total Non Current Liabilities Net Minority Interest,8450581296.8,5500920596.1,5403989609.82,4665276420.36
Tradeand Other Payables Non Current,2040384156.18,741222587.87,1183109776.97,930783441.88
Non Current Deferred Revenue,100729828.6,108322945.86,115366138.07,121219138.31
Non Current Deferred Taxes Liabilities,8132458.65,4092277.78,2635644.48,2938733.65
Long Term Debt And Capital Lease Obligation,6301334853.37,4647282784.59,4102878050.3,3610335106.52
Long Term Capital Lease Obligation,314130264.53,207648426.36,197494078.6,140906998.92
Long Term Debt,5987204588.84,4439634358.23,3905383971.7,3469428107.6
Current Liabilities,4928741172.43,5459348160.52,2912612896.85,2474975031.22
Other Current Liabilities,49841470.62,10346159.88,2941376.7,5465562.43
Current Debt And Capital Lease Obligation,1470624689.52,2406036749.59,1056309122.79,832598671.6
Current Debt,560271838.42,160416995.23,500432666.66,428737675.73
Payables,3380457425.98,3000971490.77,1822466521.55,1584434199.51
Other Payable,1557485105.1,1394149225.73,692677893.22,360770240.81
Dividends Payable,22727272.72,,,
Total Tax Payable,75179435.56,70571034.78,74849695.39,78392856.27
Accounts Payable,1725065612.6,1536251230.26,1054938932.94,1145271102.43
Total Assets,20771416254.52,18382912070.83,15368104645.86,13557967459.39
Total Non Current Assets,16157638841.95,14165587737.59,11827520607.23,10237100192.33
Other Non Current Assets,174198405.85,346441173.87,234124599.91,119185426.37
Non Current Deferred Assets,52693308.22,10897573.87,9650446.76,11194889.4
Non Current Deferred Taxes Assets,140612442.5,109663310.24,93376472.39,70690887.89
Investmentin Financial Assets,2983536.31,,,
Available For Sale Securities,2983536.31,,,
Long Term Equity Investment,697381632.51,740474359.72,674601789.36,667608062.53
Goodwill And Other Intangible Assets,107060685.8,148287950.69,189220007.82,171108867.24
Other Intangible Assets,98477703.24,125178942.15,151290799.28,132626610.79
Goodwill,8582982.56,23109008.54,37929208.54,38482256.45
Net PPE,14982708830.76,12809379403.61,10625235440.43,9193109505.36
Accumulated Depreciation,-3984949730.47,-2929831796.9,-2453155352.46,-1945814676.83
Gross PPE,18967658561.23,15739211200.51,13078390792.89,11138924182.19
Construction In Progress,1503210526.77,1763056414.33,1887351832.83,1155733157.41
Other Properties,389776576.64,266393325.31,249105947.22,174390078.22
Machinery Furniture Equipment,16732582229.89,13402048931.78,10634836364.13,9498644240.0
Properties,342089227.93,307712529.09,307096648.71,310156706.56
Current Assets,4613777412.57,4217324333.24,3540584038.63,3320867267.06
Other Current Assets,330988069.78,249774653.02,159132807.17,419768840.03
Prepaid Assets,129923446.21,84268063.46,28632004.8,28574303.46
Inventory,17056780.41,22010118.01,138565507.08,70688655.7
Other Inventories,5315450.89,2267768.48,4063485.69,
Finished Goods,357721.89,357721.89,0.0,15600825.56
Raw Materials,11383607.63,19384627.64,134502021.39,55087830.14
Other Receivables,132806839.36,120089112.91,120555943.56,75813673.28
Accounts Receivable,2807936916.8,2803050070.49,2304705382.14,1902304844.2
Allowance For Doubtful Accounts Receivable,-281384321.38,-297304230.22,-226580336.85,-196487322.53
Gross Accounts Receivable,3089321238.18,3100354300.71,2531285718.99,2098792166.73
Cash Cash Equivalents And Short Term Investments,1195065360.01,938132315.35,788992393.88,823716950.39
Cash And Cash Equivalents,1195065360.01,938132315.35,788992393.88,823716950.39
Cash Equivalents,12603596.2,2774968.22,5621642.81,1320000.0
Cash Financial,1139522794.64,925580981.81,783370751.07,822396950.39
