,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Tax Effect Of Unusual Items,4647471.364871,-14178541.156499,-4798764.213107,-3636804.401022
Tax Rate For Calcs,0.136318,0.124222,0.104487,0.08117
Normalized EBITDA,1884085281.05,1819972278.07,1318251597.88,1005997287.38
Total Unusual Items,34092897.45,-114138463.77,-45926870.95,-44804969.54
Total Unusual Items Excluding Goodwill,34092897.45,-114138463.77,-45926870.95,-44804969.54
Net Income From Continuing Operation Net Minority Interest,1309438112.97,1208851302.79,891498095.42,698807302.55
Reconciled Depreciation,353349286.32,300355694.88,225306132.82,161914052.44
Reconciled Cost Of Revenue,9653698401.12,7835780648.97,5838352925.02,4296188959.53
EBITDA,1918178178.5,1705833814.3,1272324726.93,961192317.84
EBIT,1564828892.18,1405478119.42,1047018594.11,799278265.4
Net Interest Income,7297276.51,51563559.6,31909537.24,25015751.93
Interest Expense,35705136.11,10149652.01,30060843.9,36343088.62
Interest Income,46378532.78,64155240.99,65476651.63,62956707.81
Normalized Income,1279992686.884871,1308811225.403501,932626202.156893,739975467.688978
Net Income From Continuing And Discontinued Operation,1309438112.97,1208851302.79,891498095.42,698807302.55
Total Expenses,10515705836.78,8522557969.54,6440907278.32,4792861284.23
Rent Expense Supplemental,16243942.67,5498539.18,,
Total Operating Income As Reported,1532650980.47,1362766730.07,1015449392.56,748142838.59
Diluted Average Shares,648236690.0,607462966.0,582678494.0,578893623.0
Basic Average Shares,606221349.0,607462966.0,582678494.0,572122938.0
Diluted EPS,2.02,1.99,1.53,1.207143
Basic EPS,2.16,1.99,1.53,1.221429
Net Income Common Stockholders,1309438112.97,1208851302.79,891498095.42,698807302.55
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,1309438112.97,1208851302.79,891498095.42,698807302.55
Minority Interests,-11238740.63,-13146269.42,-19200718.42,-2200680.95
Net Income Including Noncontrolling Interests,1320676853.6,1221997572.21,910698813.84,701007983.5
Net Income Continuous Operations,1320676853.6,1221997572.21,910698813.84,701007983.5
Tax Provision,208446902.47,173330895.2,106258936.37,61927193.28
Pretax Income,1529123756.07,1395328467.41,1016957750.21,762935176.78
Other Non Operating Income Expenses,-3527224.4,32561737.34,1508357.65,14792338.19
Special Income Charges,-2112695.86,-114732172.24,-45495624.42,-44684341.14
Other Special Charges,-545613.47,236023.64,1815050.9,1648765.19
Write Off,-8915360.71,85804800.44,38761956.47,43275101.93
Impairment Of Capital Assets,11573670.04,28691348.16,4918617.05,-239525.98
Net Non Operating Interest Income Expense,7297276.51,51563559.6,31909537.24,25015751.93
Total Other Finance Cost,3376120.16,2442029.38,3506270.49,1597867.26
Interest Expense Non Operating,35705136.11,10149652.01,30060843.9,36343088.62
Interest Income Non Operating,46378532.78,64155240.99,65476651.63,62956707.81
Operating Income,1498374791.93,1414041457.4,1032875450.54,746287340.06
Operating Expense,862007435.66,686777320.57,602554353.3,496672324.7
Other Operating Expenses,57226585.23,46714246.33,-10066244.8,30320570.64
Depreciation And Amortization In Income Statement,33220823.89,28507160.54,25433970.5,19426560.86
Amortization,5241193.14,4514811.44,4509031.15,3731678.29
Depreciation Income Statement,27979630.75,23992349.1,20924939.35,15694882.57
Research And Development,605496858.76,575516915.25,449780851.98,378050044.32
Selling General And Administration,117090399.1,90764562.83,126929606.33,92898079.87
Selling And Marketing Expense,29083712.26,20672615.3,72123248.69,47219487.99
General And Administrative Expense,88006686.84,70091947.53,54806357.64,45678591.88
Rent And Landing Fees,16243942.67,5498539.18,,
Gross Profit,2360382227.59,2100818777.97,1635429803.84,1242959664.76
Cost Of Revenue,9653698401.12,7835780648.97,5838352925.02,4296188959.53
Total Revenue,12014080628.71,9936599426.94,7473782728.86,5539148624.29
Operating Revenue,12014080628.71,9936599426.94,7473782728.86,5539148624.29
