,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Ordinary Shares Number,4225067647.0,4225067647.0,4225067647.0,4225067647.0
Share Issued,4225067647.0,4225067647.0,4225067647.0,4225067647.0
Net Debt,19462516327.47,14291532358.17,13909975137.59,16267871650.55
Total Debt,39538532046.05,37802746450.44,37448129075.7,30698461471.78
Tangible Book Value,30658141143.78,30086921383.19,30829872192.31,29438969853.46
Invested Capital,69611226367.56,66146615086.89,67633035097.15,60676750538.21
Working Capital,-3273052389.29,809873533.83,3242968832.64,-1950141636.09
Net Tangible Assets,30658141143.78,30086921383.19,30829872192.31,29438969853.46
Capital Lease Obligations,4216115243.89,4966776457.84,2598416306.44,2039736540.84
Common Stock Equity,38529305966.52,37609898971.17,38095078161.56,35831589094.1
Total Capitalization,68035062589.71,65760513411.01,66461265730.54,60205230917.02
Total Equity Gross Minority Interest,40427081283.67,40228913424.23,40346294135.47,36728400479.64
Minority Interest,1897775317.15,2619014453.06,2251215973.91,896811385.54
Stockholders Equity,38529305966.52,37609898971.17,38095078161.56,35831589094.1
Other Equity Interest,2000000000.0,2049818181.82,2995875000.0,1997000000.0
Treasury Stock,190779119.34,0.0,0.0,0.0
Retained Earnings,18839247247.5,17540625397.47,16936058985.45,15846561351.58
Additional Paid In Capital,11897699877.03,12149380426.92,12149380426.92,12149380426.92
Capital Stock,4225067647.0,4225067647.0,4225067647.0,4225067647.0
Common Stock,4225067647.0,4225067647.0,4225067647.0,4225067647.0
Preferred Stock,0.0,0.0,0.0,0.0
Total Liabilities Net Minority Interest,114797204198.26,103265686247.4,96476083842.73,82936596422.34
Total Non Current Liabilities Net Minority Interest,42923264303.87,40246082651.56,37346163385.24,33050522654.86
Other Non Current Liabilities,4117034388.25,3228372887.74,3308513403.33,3651653052.37
Preferred Securities Outside Stock Equity,0.0,0.0,0.0,0.0
Tradeand Other Payables Non Current,3250174353.77,2146575040.95,1856462917.69,1847044586.68
Non Current Deferred Revenue,252147397.53,231702161.91,224870343.36,197363169.45
Non Current Deferred Taxes Liabilities,1582036297.24,1522041663.28,991712845.44,941083482.6
Long Term Debt And Capital Lease Obligation,33721871867.08,33117390897.68,30964603875.42,26413378363.76
Long Term Capital Lease Obligation,4216115243.89,4966776457.84,2598416306.44,2039736540.84
Long Term Debt,29505756623.19,28150614439.84,28366187568.98,24373641822.92
Current Liabilities,71873939894.39,63019603595.84,59129920457.49,49886073767.48
Other Current Liabilities,2747849555.22,2710696312.16,2617129015.38,2625406035.3
Current Debt And Capital Lease Obligation,5816660178.97,4685355552.76,6483525200.28,4285083108.02
Current Debt,1576163777.85,386101675.88,1171769366.61,471519621.19
Payables,45097341348.61,45295538724.22,43688126364.24,36124975305.99
Other Payable,2231859935.26,2068878211.14,3032077434.62,2998245666.92
Dividends Payable,88743727.75,81440482.74,115058877.19,55641981.99
Total Tax Payable,1997868775.87,1500496556.81,1007959899.52,1195041650.91
Accounts Payable,40778868909.73,41644723473.53,39533030152.91,31876046006.17
Total Assets,155224285481.93,143494599671.63,136822377978.2,119664996901.98
Total Non Current Assets,86623397976.83,79665122541.96,74449488688.07,71729064770.59
Other Non Current Assets,12714785009.45,11821692654.87,12080723791.77,10793693177.93
Non Current Deferred Assets,201842704.03,91485829.47,81280868.07,61000568.37
Non Current Deferred Taxes Assets,6136494097.66,4424064839.1,3262326767.36,2604433587.75
Investmentin Financial Assets,3927357112.18,2737402953.55,2127591972.51,1800780215.54
Held To Maturity Securities,200345091.85,515139806.43,388849157.54,145575000.97
Available For Sale Securities,3727012020.33,2222263147.12,1738742814.97,1655205214.57
Long Term Equity Investment,4493344348.22,4854393407.7,5400527543.49,5902777586.07
Investment Properties,8976066.09,9252699.38,9529332.67,9805965.96
Goodwill And Other Intangible Assets,7871164822.74,7522977587.98,7265205969.25,6392619240.64
Other Intangible Assets,7814399916.8,7415608632.83,7086978115.84,6229353780.38
Goodwill,56764905.94,107368955.15,178227853.41,163265460.26
Net PPE,47950786782.23,44278385068.57,39769868381.45,39550097122.84
Accumulated Depreciation,-11406953516.75,-8818978413.86,-7270715622.82,-5910376843.2
Gross PPE,59357740298.98,53097363482.43,47040584004.27,45460473966.04
Construction In Progress,10625990799.0,7794662179.59,7199645275.42,11837437396.98
Other Properties,2730445193.96,3152264290.46,2984614130.61,3144680014.83
Machinery Furniture Equipment,41970994955.12,39054437840.22,34704055540.72,28590438962.01
Properties,4030309350.9,3095999172.16,2152269057.52,1887917592.22
Current Assets,68600887505.1,63829477129.67,62372889290.13,47935932131.39
Other Current Assets,2826276701.25,2624387333.06,1993352288.77,1687975906.33
Hedging Assets Current,36452298.13,67080390.88,184701827.43,691218439.94
Assets Held For Sale Current,0.0,0.0,1698864717.31,1123632237.18
Restricted Cash,,0.0,0.0,0.0
Prepaid Assets,1313659080.11,943120484.01,1010425004.29,1472720421.38
Inventory,14827632371.13,15257241921.89,9847658324.79,4817568780.34
Inventories Adjustments Allowances,0.0,0.0,0.0,0.0
Other Inventories,5612467749.32,6841688236.33,2206508778.15,465384692.19
Finished Goods,4206385411.67,2622055143.27,1829592072.01,1339053474.91
Work In Process,346262795.43,1464902346.93,1797226728.01,1041189887.95
Raw Materials,4662516414.71,4328596195.36,4014330746.62,1971940725.29
Other Receivables,6151996919.22,4444462007.2,7223549122.2,5580171016.79
Accounts Receivable,30825466061.69,25548001235.08,24286356207.34,23585355535.87
Allowance For Doubtful Accounts Receivable,-2014947915.38,-1677216793.4,-1459855462.65,-1765515379.91
Gross Accounts Receivable,32840413977.07,27225218028.48,25746211669.99,25350870915.78
Cash Cash Equivalents And Short Term Investments,12619404073.57,14945183757.55,16127981798.0,8977289793.56
Other Short Term Investments,1000000000.0,700000000.0,500000000.0,400000000.0
Cash And Cash Equivalents,11619404073.57,14245183757.55,15627981798.0,8577289793.56
Cash Equivalents,486500175.36,551275515.1,381838498.73,-109706833.97
Cash Financial,11132903898.21,13693908242.45,15246143299.27,8141296393.35
