,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Ordinary Shares Number,420000000.0,420000000.0,360000000.0,360000000.0
Share Issued,420000000.0,420000000.0,360000000.0,360000000.0
Total Debt,43832228.41,44430303.6,25933553.51,40980076.09
Tangible Book Value,1151210116.38,1258760532.38,790516176.38,604109701.08
Invested Capital,1458600323.43,1357410075.81,865261070.29,671573459.47
Working Capital,476418004.86,549089151.97,275662911.52,208802771.55
Net Tangible Assets,1151210116.38,1258760532.38,790516176.38,604109701.08
Capital Lease Obligations,,272228.42,326735.87,638953.6
Common Stock Equity,1458600323.43,1357410075.81,840261070.29,641573459.47
Total Capitalization,1458600323.43,1357410075.81,865261070.29,671573459.47
Total Equity Gross Minority Interest,1458600323.43,1357410075.81,840261070.29,641573459.47
Stockholders Equity,1458600323.43,1357410075.81,840261070.29,641573459.47
Retained Earnings,507355884.92,436312441.77,330482730.2,151663880.46
Additional Paid In Capital,444797523.73,444797523.73,114570419.96,114570419.96
Capital Stock,420000000.0,420000000.0,360000000.0,360000000.0
Common Stock,420000000.0,420000000.0,360000000.0,360000000.0
Total Liabilities Net Minority Interest,544795266.88,494943819.76,518092827.5,552493371.78
Total Non Current Liabilities Net Minority Interest,224474646.3,267868412.41,357265639.94,392825086.57
Other Non Current Liabilities,149187333.21,149325175.64,141440198.65,129227809.87
Tradeand Other Payables Non Current,75287313.09,111261080.18,189114471.12,221835997.91
Non Current Deferred Revenue,,,0.0,1625714.25
Non Current Deferred Taxes Liabilities,,7009928.17,1384234.3,9496610.94
Long Term Debt And Capital Lease Obligation,,272228.42,25326735.87,30638953.6
Long Term Capital Lease Obligation,,272228.42,326735.87,638953.6
Long Term Debt,,,25000000.0,30000000.0
Current Liabilities,320320620.58,227075407.35,160827187.56,159668285.21
Current Debt And Capital Lease Obligation,43832228.41,44158075.18,606817.64,10341122.49
Payables,156488392.17,113917332.17,93798629.14,104922965.92
Other Payable,27152482.32,26150250.19,24382545.15,25488037.68
Dividends Payable,,,0.0,0.0
Total Tax Payable,15620795.25,8191885.2,12216825.68,20760086.81
Accounts Payable,113715114.6,79575196.78,57199258.31,58674841.43
Total Assets,2003395590.31,1852353895.57,1358353897.79,1194066831.25
Total Non Current Assets,1206656964.87,1076189336.25,921863798.71,825595774.49
Other Non Current Assets,393352.91,31375029.4,36871957.95,20129107.96
Non Current Deferred Assets,5980163.08,339339.79,628275.3,471726.11
Non Current Deferred Taxes Assets,28387504.72,26306513.81,23298784.37,32940406.47
Goodwill And Other Intangible Assets,307390207.05,98649543.43,49744893.91,37463758.39
Other Intangible Assets,307390207.05,98649543.43,49744893.91,37463758.39
Net PPE,864505737.11,919518909.82,811319887.18,734590775.56
Accumulated Depreciation,-334860374.97,-482722414.28,-427594258.04,-372480262.09
Gross PPE,1199366112.08,1402241324.1,1238914145.22,1107071037.65
Construction In Progress,113667798.12,544457302.32,406800610.92,295207887.6
Other Properties,132271594.9,99301789.42,97551295.23,91105391.39
Machinery Furniture Equipment,150664362.32,119315036.56,110999316.2,102129170.28
Properties,802762356.74,639167195.8,623562922.87,618628588.38
Current Assets,796738625.44,776164559.32,436490099.08,368471056.76
Other Current Assets,50395.48,67745.46,3485936.37,2418659.81
Prepaid Assets,12566245.25,13546591.44,2814804.76,4082924.12
Inventory,93378915.0,80865826.18,100598743.95,73356821.64
Finished Goods,65484246.0,49702436.92,33932344.69,38721436.62
Work In Process,8722575.8,7761342.69,38032483.71,9615511.31
Raw Materials,19172093.2,23402046.57,28633915.55,25019873.71
Other Receivables,1526731.06,1988588.05,1469377.27,1615518.27
Accounts Receivable,2029849.53,0.0,0.0,119572640.22
Allowance For Doubtful Accounts Receivable,-106834.19,,0.0,-58469313.83
Gross Accounts Receivable,2136683.72,,0.0,178041954.05
Cash Cash Equivalents And Short Term Investments,687186489.12,679695808.19,328121236.73,167424492.7
Other Short Term Investments,79400000.0,50000000.0,40000000.0,34017614.77
Cash And Cash Equivalents,607786489.12,629695808.19,288121236.73,133406877.93
Cash Financial,607786489.12,629695808.19,288121236.73,133406877.93
