,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Free Cash Flow,2021969291.54,4557020404.17,3856766562.71,2328170062.09
Repayment Of Debt,-6521228069.34,-6663523430.7,-11226153735.38,-17978204675.46
Issuance Of Debt,1655044294.64,5120210521.34,7533649917.97,17584193260.95
Capital Expenditure,-9443029003.1,-6331820638.01,-5443432569.16,-6852361893.05
End Cash Position,9789558641.34,10936803884.79,10493519496.01,11682254534.28
Beginning Cash Position,10936803884.79,10493519496.01,11682254534.28,10216338826.95
Effect Of Exchange Rate Changes,-32004935.06,59138640.62,15362329.43,278394439.53
Changes In Cash,-1115240308.39,384145748.16,-1204097367.7,1187521267.8
Financing Cash Flow,-2963714081.2,-4454405491.04,-5136912113.62,-2416315787.7
Net Other Financing Charges,4717637698.22,-983716753.36,22884963.97,-939582886.65
Cash Dividends Paid,-2766102203.41,-1880517646.99,-1420200472.21,-1052094762.79
Net Issuance Payments Of Debt,-4866183774.7,-1543312909.36,-3692503817.41,-394011414.51
Net Long Term Debt Issuance,-4866183774.7,-1543312909.36,-3692503817.41,-394011414.51
Long Term Debt Payments,-6521228069.34,-6663523430.7,-11226153735.38,-17978204675.46
Long Term Debt Issuance,1655044294.64,5120210521.34,7533649917.97,17584193260.95
Investing Cash Flow,-9616524521.83,-6050289802.98,-5367384385.95,-5576694899.64
Net Other Investing Changes,143023892.99,263002767.6,43544880.0,27326008.0
Net Investment Purchase And Sale,-510572695.74,-79580491.76,-38659620.96,1150988238.11
Sale Of Investment,3439039134.02,1740078408.24,1031340379.04,8709492182.71
Purchase Of Investment,-3949611829.76,-1819658900.0,-1070000000.0,-7558503944.6
Net Business Purchase And Sale,,1061718.49,,
Purchase Of Business,,1061718.49,,
Net PPE Purchase And Sale,-9248975719.08,-6234773797.31,-5372269644.99,-6755009145.75
Sale Of PPE,194053284.02,97046840.7,71162924.17,97352747.3
Purchase Of PPE,-9443029003.1,-6331820638.01,-5443432569.16,-6852361893.05
Operating Cash Flow,11464998294.64,10888841042.18,9300199131.87,9180531955.14
Change In Working Capital,916195403.69,917166517.54,453490343.74,429835004.3
Change In Other Current Assets,168318894.31,-239829343.48,-277011042.78,14768753.64
Change In Payable,1289319334.11,3795559199.86,1537235511.91,-277487184.96
Change In Inventory,-433913515.89,-1177208849.09,-372054212.24,-852317937.89
Change In Receivables,-107529308.84,-1461354489.75,-434679913.15,1544871373.51
Other Non Cash Items,352099695.26,351129730.99,594042869.21,1229824216.97
Depreciation And Amortization,5342177384.45,4996645737.92,4833954645.42,4568660316.44
Amortization Cash Flow,286042288.48,285320822.12,276805770.59,269904675.48
Depreciation,5056135095.97,4711324915.8,4557148874.83,4298755640.96
Gain Loss On Investment Securities,-120673256.14,-223344921.63,-149557253.09,-217611005.66
Gain Loss On Sale Of PPE,95689281.3,16837271.09,37304645.0,119831151.47
Net Income From Continuing Operations,4040764787.56,3676855156.45,3041825565.81,2519821534.82
Cash Flowsfromusedin Operating Activities Direct,11464998294.64,10888841042.18,9300199131.87,9180531955.14
Taxes Refund Paid Direct,761092956.16,12189209.96,688147467.06,1877793691.62
Classesof Cash Payments,-53316135169.33,-51234647718.97,-42945816200.33,-44404072563.3
Other Cash Paymentsfrom Operating Activities,-1048748538.09,-1238150232.68,-984674421.52,-1387053426.15
Paymentson Behalfof Employees,-14139003224.99,-13235914618.57,-11839015599.8,-13187784483.92
Paymentsto Suppliersfor Goodsand Services,-38128383406.25,-36760582867.72,-30122126179.01,-29829234653.23
Classesof Cash Receiptsfrom Operating Activities,64020040507.81,62111299551.19,51557867865.14,51706810826.82
Other Cash Receiptsfrom Operating Activities,529140758.81,625992541.29,1086933847.74,712875942.36
Receiptsfrom Customers,63490899749.0,61485307009.9,50470934017.4,50993934884.46
