,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Ordinary Shares Number,399447495.0,400847945.0,377200685.0,371370369.0
Share Issued,399447495.0,400847945.0,377200685.0,371370369.0
Net Debt,7422232070.18,6566747618.61,2885770763.51,464409269.16
Total Debt,9854425560.14,8606172273.8,5039800052.16,1339545442.45
Tangible Book Value,8165813028.42,7608063747.42,4111313562.07,2185429732.67
Invested Capital,16676887997.55,15401001898.56,8708522248.04,3451993253.89
Working Capital,228160122.88,-1657180962.2,-918233432.99,-125991243.18
Net Tangible Assets,8165813028.42,7608063747.42,4111313562.07,2185429732.67
Capital Lease Obligations,17727029.54,21918956.89,21122521.54,9704961.17
Common Stock Equity,8317874832.85,7756101026.3,4245743815.75,2240258529.64
Total Capitalization,16626842164.22,15300960926.34,8708522248.04,3451993253.89
Total Equity Gross Minority Interest,8317874832.85,7756101026.3,4245743815.75,2240258529.64
Stockholders Equity,8317874832.85,7756101026.3,4245743815.75,2240258529.64
Treasury Stock,197194839.54,281070030.28,9887411.78,17804368.46
Retained Earnings,2918677018.15,2306719286.75,1686037232.55,719566036.68
Additional Paid In Capital,4988438618.54,5071193630.54,1906586186.52,1090387440.8
Capital Stock,399333395.0,400847945.0,377188445.0,247580246.0
Common Stock,399333395.0,400847945.0,377188445.0,247580246.0
Total Liabilities Net Minority Interest,12730670759.73,13836205748.37,10678679939.35,4070702178.04
Total Non Current Liabilities Net Minority Interest,8391658810.49,7599740877.78,4510538337.49,1221797936.08
Non Current Deferred Revenue,64331867.08,32300616.84,26629518.94,358250.66
Non Current Deferred Taxes Liabilities,632582.5,661404.01,7864.72,
Long Term Debt And Capital Lease Obligation,8326694360.91,7566778856.93,4483900953.83,1221439685.42
Long Term Capital Lease Obligation,17727029.54,21918956.89,21122521.54,9704961.17
Long Term Debt,8308967331.37,7544859900.04,4462778432.29,1211734724.25
Current Liabilities,4339011949.24,6236464870.59,6168141601.86,2848904241.96
Other Current Liabilities,91219006.58,57907184.77,70538152.98,53317583.2
Current Debt And Capital Lease Obligation,1527731199.23,1039393416.87,555899098.33,118105757.03
Current Debt,50045833.33,100040972.22,,
Payables,2653288253.92,5072499821.73,5454234326.3,2588137893.99
Other Payable,393863047.16,528238863.73,202671736.01,154151260.86
Dividends Payable,528990.0,,1594463.14,2827865.5
Total Tax Payable,41348799.29,56338519.43,62018902.89,13619637.08
Accounts Payable,2217547417.47,4487922438.57,5187949224.26,2417539130.55
Total Assets,21048545592.58,21592306774.67,14924423755.1,6310960707.68
Total Non Current Assets,16481373520.46,17013022866.28,9674515586.23,3588047708.9
Other Non Current Assets,9659328.87,6148682.27,70058400.0,1031650.0
Non Current Deferred Assets,19985163.61,18161607.19,8951043.8,4251166.11
Non Current Deferred Taxes Assets,49203589.77,34141020.45,58846650.33,62170529.0
Investmentin Financial Assets,380687477.0,363187477.0,79000000.0,4000000.0
Available For Sale Securities,380687477.0,363187477.0,79000000.0,4000000.0
Goodwill And Other Intangible Assets,152061804.43,148037278.88,134430253.68,54828796.97
Other Intangible Assets,152061804.43,148037278.88,134430253.68,54828796.97
Net PPE,15869776156.78,16443346800.49,9323229238.42,3461765566.82
Accumulated Depreciation,-1725579527.6,-923690693.88,-374797602.8,-133992212.68
Gross PPE,17595355684.38,17367037494.37,9698026841.22,3595757779.5
Construction In Progress,55895835.12,1093402177.2,1509793689.77,499738606.09
Other Properties,16744560490.04,15691973233.24,7756216295.93,2851512115.4
Machinery Furniture Equipment,31438445.99,31552828.08,30800016.77,26161038.3
Properties,763460913.23,550109255.85,401216838.75,218346019.71
Current Assets,4567172072.12,4579283908.39,5249908168.87,2722912998.78
Other Current Assets,336592370.95,278800477.94,106046408.71,103169959.21
Prepaid Assets,62706315.34,82196062.05,86570256.74,21426129.41
Inventory,1907060349.52,1959800949.48,2063816838.61,1290839711.6
Inventories Adjustments Allowances,0.0,0.0,0.0,0.0
Finished Goods,743865289.05,486347797.33,440509476.78,308075669.94
Work In Process,72528071.97,107579634.59,177968016.54,133706448.05
Raw Materials,1090666988.5,1365873517.56,1445339345.29,849057593.61
Other Receivables,154828766.01,143422811.35,39959623.68,25327543.68
Accounts Receivable,1169203175.78,936068162.14,1052732988.78,482368604.79
Allowance For Doubtful Accounts Receivable,-64820347.42,-57136659.43,-62480468.53,-36663907.05
Gross Accounts Receivable,1234023523.2,993204821.57,1115213457.31,519032511.84
Cash Cash Equivalents And Short Term Investments,936781094.52,1178995445.43,1900782052.35,799781050.09
Other Short Term Investments,,100842191.78,323774383.57,52455595.0
Cash And Cash Equivalents,936781094.52,1078153253.65,1577007668.78,747325455.09
Cash Equivalents,607087.37,3382707.68,119853.21,414388.65
Cash Financial,936174007.15,1074770545.97,1576887815.57,746911066.44
