,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Tax Effect Of Unusual Items,95133981.158753,828749.461148,1564482.299603,31015405.442974
Tax Rate For Calcs,0.116941,0.124847,0.091042,0.145854
Normalized EBITDA,10372052703.45,9848443869.29,9048441538.81,8969495562.77
Total Unusual Items,813522951.38,6638104.72,17184190.74,212646790.81
Total Unusual Items Excluding Goodwill,813522951.38,6638104.72,17184190.74,212646790.81
Net Income From Continuing Operation Net Minority Interest,6012096267.97,5107447941.27,4836966617.91,5087408654.19
Reconciled Depreciation,3177711089.79,2671041888.59,2375037947.45,2389719252.55
Reconciled Cost Of Revenue,20717507250.47,18466914585.6,19176683926.69,23195217068.19
EBITDA,11185575654.83,9855081974.01,9065625729.55,9182142353.58
EBIT,8007864565.04,7184040085.42,6690587782.1,6792423101.03
Net Interest Income,-1042230192.32,-1122714727.4,-1090750136.08,-726387080.67
Interest Expense,1133226150.74,1231703016.16,1275993160.35,858443699.78
Interest Income,113948948.73,126623369.13,194082634.5,164123924.68
Normalized Income,5293707297.748753,5101638586.011148,4821346909.469603,4905777268.822974
Net Income From Continuing And Discontinued Operation,6012096267.97,5107447941.27,4836966617.91,5087408654.19
Total Expenses,21811809503.74,19465234910.82,20231838502.64,24162803153.26
Rent Expense Supplemental,,,12752195.74,15778407.38
Total Operating Income As Reported,6808680613.68,5955179408.93,5272403738.2,5987530734.67
Diluted Average Shares,,8107060224.0,8061611030.0,8340014187.0
Basic Average Shares,,8107060224.0,8061611030.0,8340014187.0
Diluted EPS,,0.63,0.6,0.61
Basic EPS,,0.63,0.6,0.61
Net Income Common Stockholders,6012096267.97,5107447941.27,4836966617.91,5087408654.19
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,6012096267.97,5107447941.27,4836966617.91,5087408654.19
Minority Interests,-58616798.84,-101755907.47,-84672730.39,18924454.25
Net Income Including Noncontrolling Interests,6070713066.81,5209203848.74,4921639348.3,5068484199.94
Net Income Continuous Operations,6070713066.81,5209203848.74,4921639348.3,5068484199.94
Tax Provision,803925347.49,743133220.52,492955273.45,865495201.31
Pretax Income,6874638414.3,5952337069.26,5414594621.75,5933979401.25
Other Non Operating Income Expenses,65957800.62,-2842339.67,142190883.55,-53551333.42
Special Income Charges,648143450.04,6638104.72,17184190.74,212646790.81
Other Special Charges,-677664121.77,-2854182.82,-50642648.89,-272444112.68
Write Off,-1839952.89,-13757084.8,-19082179.8,34175280.81
Impairment Of Capital Assets,31360624.62,9973162.9,52540637.95,25622041.06
Net Non Operating Interest Income Expense,-1042230192.32,-1122714727.4,-1090750136.08,-726387080.67
Total Other Finance Cost,22952990.31,17635080.37,8839610.23,32067305.57
Interest Expense Non Operating,1133226150.74,1231703016.16,1275993160.35,858443699.78
Interest Income Non Operating,113948948.73,126623369.13,194082634.5,164123924.68
Operating Income,6365401628.21,6334044484.38,5649174575.4,5545602176.19
Operating Expense,1094302253.27,998320325.22,1055154575.95,967586085.07
Other Operating Expenses,41374591.63,126845953.52,16884756.61,35773270.95
Depreciation And Amortization In Income Statement,97480116.54,96623128.76,77598659.89,69772269.04
Depreciation Income Statement,97480116.54,96623128.76,77598659.89,69772269.04
Research And Development,27580622.37,18583964.2,3942728.8,1274609.84
Selling General And Administration,184403103.39,152772799.08,129068237.48,106931981.58
Selling And Marketing Expense,46543463.07,38243991.9,30935918.84,30338392.52
General And Administrative Expense,137859640.32,114528807.18,98132318.64,76593589.06
Rent And Landing Fees,,,12752195.74,15778407.38
Gross Profit,7459703881.48,7332364809.6,6704329151.35,6513188261.26
Cost Of Revenue,20717507250.47,18466914585.6,19176683926.69,23195217068.19
Total Revenue,28177211131.95,25799279395.2,25881013078.04,29708405329.45
Operating Revenue,28177211131.95,25799279395.2,25881013078.04,29708405329.45
