,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Free Cash Flow,1258048555.88,925985128.76,4428576709.83,4299186354.06
Repayment Of Debt,-20975037848.04,-10882284152.08,-16931789504.21,-5110475638.0
Issuance Of Debt,24264461276.96,14360707261.22,9652862232.12,2594653647.0
Capital Expenditure,-7796879055.42,-7550235457.35,-4488728178.31,-2695987262.18
End Cash Position,4718465706.96,4586880451.0,4948740555.43,11086454037.39
Beginning Cash Position,4586880451.0,4948740555.43,11086454037.39,10564866814.43
Effect Of Exchange Rate Changes,-75033949.79,71462074.15,37669651.66,604623314.61
Changes In Cash,206619205.75,-433322178.58,-6175383133.62,-83036091.65
Financing Cash Flow,-889812817.18,-1047004896.08,-10376346806.45,-5256723735.74
Net Other Financing Charges,-1156556225.52,-511096115.01,-265716277.53,-1047136192.18
Cash Dividends Paid,-2923980020.58,-3938691216.19,-2817317470.52,-1684453008.95
Net Issuance Payments Of Debt,3289423428.92,3478423109.14,-7278927272.09,-2515821991.0
Net Long Term Debt Issuance,3289423428.92,3478423109.14,-7278927272.09,-2515821991.0
Long Term Debt Payments,-20975037848.04,-10882284152.08,-16931789504.21,-5110475638.0
Long Term Debt Issuance,24264461276.96,14360707261.22,9652862232.12,2594653647.0
Investing Cash Flow,-7958495588.37,-7862537868.61,-4716341215.31,-1821485972.15
Net Other Investing Changes,107800018.24,73275534.23,70619005.13,148577867.48
Net Investment Purchase And Sale,-1346363405.94,-549042753.94,71861799.88,-280684090.75
Sale Of Investment,184490820.86,372342282.0,265796351.06,191521759.75
Purchase Of Investment,-1530854226.8,-921385035.94,-193934551.18,-472205850.5
Net Business Purchase And Sale,-701835154.18,,-565083838.06,
Purchase Of Business,-701835154.18,,-565083838.06,
Net PPE Purchase And Sale,-6018097046.49,-7386770648.9,-4293738182.26,-1689379748.88
Sale Of PPE,1778782008.93,163464808.45,194989996.05,1006607513.3
Purchase Of PPE,-7796879055.42,-7550235457.35,-4488728178.31,-2695987262.18
Operating Cash Flow,9054927611.3,8476220586.11,8917304888.14,6995173616.24
Change In Working Capital,-366087920.31,-361327328.42,504463616.52,-1031301846.15
Change In Other Current Assets,-10798324.34,11831164.94,-27312259.22,280646.34
Change In Payable,234171002.55,-731908616.8,-43805904.04,-483170406.73
Change In Inventory,106926660.56,-105127033.81,110403769.03,21886653.15
Change In Receivables,-696387259.08,463877157.25,465178010.75,-570298738.91
Other Non Cash Items,1775254814.35,1740947850.54,1726205582.73,1245088827.66
Depreciation And Amortization,3177711089.79,2671041888.59,2375037947.45,2389719252.55
Amortization Cash Flow,21434859.59,17925744.33,12212045.54,12296524.35
Depreciation,3156276230.2,2653116144.26,2362825901.91,2377422728.2
Gain Loss On Investment Securities,-954847110.98,-671035942.84,-655394681.87,-645536285.06
Gain Loss On Sale Of PPE,-677337000.09,-2684857.42,-50467807.29,-271810004.75
Net Income From Continuing Operations,6070713066.81,5209203848.74,4921639348.3,5068484199.94
Cash Flowsfromusedin Operating Activities Direct,9054927611.3,8476220586.11,8917304888.14,6995173616.24
Taxes Refund Paid Direct,-635938996.76,-883760467.67,-568369551.62,-1117074943.98
Classesof Cash Payments,-18219015681.75,-16747369922.52,-17414834562.56,-21469559264.04
Other Cash Paymentsfrom Operating Activities,-380829295.26,-472974510.06,-635072984.74,-505622132.69
Paymentson Behalfof Employees,-2624394447.18,-2609052656.17,-2637484200.3,-2596468168.58
Paymentsto Suppliersfor Goodsand Services,-15213791939.31,-13665342756.29,-14142277377.52,-18367468962.77
Classesof Cash Receiptsfrom Operating Activities,27909882289.81,26107350976.3,26900509002.32,29581807824.26
Other Cash Receiptsfrom Operating Activities,629558196.01,451995783.71,1094897236.76,655808889.82
Receiptsfrom Customers,27280324093.8,25655355192.59,25805611765.56,28925998934.44
