,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Free Cash Flow,1515191316.94,-661779221.69,-519827870.45,445628212.07
Repayment Of Debt,-3709565625.0,-1908471200.0,-1199740152.73,-1441975975.57
Issuance Of Debt,4739737986.11,3069607448.19,2157588579.0,1151622378.48
Capital Expenditure,-1078445967.98,-1710553761.0,-1527695777.66,-362866475.85
End Cash Position,5320193705.87,4229223766.14,3125801391.69,2554680164.8
Beginning Cash Position,4229223766.14,3125801391.69,2554680164.8,2551202922.4
Effect Of Exchange Rate Changes,-25440008.6,23224239.63,70525109.86,-24992600.68
Changes In Cash,1116409948.33,1080198134.82,500596117.03,28469843.08
Financing Cash Flow,-17230116.58,1237159171.48,3391118390.88,-661065878.93
Net Other Financing Charges,-247032524.77,526919696.63,2680949924.46,-147355578.45
Cash Dividends Paid,-763413542.92,-435008645.34,-235151363.85,-214779231.39
Net Issuance Payments Of Debt,1030172361.11,1161136248.19,957848426.27,-290353597.09
Net Long Term Debt Issuance,1030172361.11,1161136248.19,957848426.27,-290353597.09
Long Term Debt Payments,-3709565625.0,-1908471200.0,-1199740152.73,-1441975975.57
Long Term Debt Issuance,4739737986.11,3069607448.19,2157588579.0,1151622378.48
Investing Cash Flow,-1459997220.01,-1205735575.97,-3898390181.06,-118958965.91
Net Other Investing Changes,-598551109.43,403370960.49,-2152641197.44,223634993.17
Net Investment Purchase And Sale,232976956.78,26000000.0,-173465758.0,18200000.0
Sale Of Investment,232976956.78,26000000.0,51934242.0,18200000.0
Purchase Of Investment,,0.0,-225400000.0,
Net Business Purchase And Sale,-22502483.37,73672896.0,-45410548.53,-25000.0
Sale Of Business,10350000.0,73672896.0,5589903.45,
Purchase Of Business,-32852483.37,0.0,-51000451.98,-25000.0
Net PPE Purchase And Sale,-1071920583.99,-1708779432.46,-1526872677.09,-360768959.08
Sale Of PPE,6525383.99,1774328.54,823100.57,2097516.77
Purchase Of PPE,-1078445967.98,-1710553761.0,-1527695777.66,-362866475.85
Operating Cash Flow,2593637284.92,1048774539.31,1007867907.21,808494687.92
Change In Working Capital,-1053527700.45,-2301044399.55,-2171502692.64,-1423102076.61
Change In Other Current Assets,37723973.65,-73098114.07,33555081.05,52616363.35
Change In Payable,1029603259.37,-852413336.15,2814206562.44,-412483662.53
Change In Inventory,-1190971382.13,-174009826.96,-1357483185.07,366122077.85
Change In Receivables,-929883551.34,-1201523122.37,-3661781151.06,-1429356855.28
Other Non Cash Items,209895010.54,28290107.47,76700288.93,92159506.69
Depreciation And Amortization,765102483.95,633517539.06,571711576.5,418931062.04
Amortization Cash Flow,35765988.41,45617525.27,44123758.09,25984343.6
Depreciation,729336495.54,587900013.79,527587818.41,392946718.44
Gain Loss On Investment Securities,-413091655.6,-129571698.83,-153517014.65,-61872281.61
Gain Loss On Sale Of PPE,634338.3,1875479.96,-2463860.94,517481.56
Net Income From Continuing Operations,2685558218.41,2493486975.0,2288035741.17,1611695245.44
Cash Flowsfromusedin Operating Activities Direct,2593637284.92,1048774539.31,1007867907.21,808494687.92
Taxes Refund Paid Direct,-679836018.5,-563459886.16,-611370964.37,-605462780.81
Classesof Cash Payments,-10732053141.12,-10599174903.13,-8620115076.3,-6834459183.05
Other Cash Paymentsfrom Operating Activities,-1168912696.84,-929122428.69,-998218912.65,-881227568.3
Paymentson Behalfof Employees,-1365333172.78,-1154615191.41,-1032838794.57,-884693115.81
Paymentsto Suppliersfor Goodsand Services,-8197807271.5,-8515437283.03,-6589057369.08,-5068538498.94
Classesof Cash Receiptsfrom Operating Activities,14005526444.54,12211409328.6,10239353947.88,8248416651.78
Other Cash Receiptsfrom Operating Activities,596016087.68,410686822.02,421252068.57,409031907.52
Receiptsfrom Customers,13409510356.86,11800722506.58,9818101879.31,7839384744.26
