,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Ordinary Shares Number,1023855833.0,1023855833.0,1026952941.0,957853992.0
Share Issued,1023855833.0,1023855833.0,1026952941.0,957853992.0
Total Debt,4786031734.55,3612500766.59,2345596144.28,1380261750.85
Tangible Book Value,20388237074.7,18507339707.81,16365456379.6,11764358127.99
Invested Capital,25451847506.7,22413526597.96,19500946799.99,13423504000.97
Working Capital,15495105730.43,12919511444.01,11757969610.27,8850556239.4
Net Tangible Assets,20388237074.7,18507339707.81,16365456379.6,11764358127.99
Capital Lease Obligations,8375538.74,4744522.44,9162937.49,2626734.97
Common Stock Equity,21155377731.4,19321272001.38,17266314727.44,12473250930.74
Total Capitalization,23763648976.9,20351716304.38,17818086661.44,12712250930.74
Total Equity Gross Minority Interest,22002132141.78,20147846152.77,18121752174.39,12815844076.51
Minority Interest,846754410.38,826574151.39,855437446.95,342593145.77
Stockholders Equity,21155377731.4,19321272001.38,17266314727.44,12473250930.74
Treasury Stock,249002513.65,166208164.45,80997809.2,80997809.2
Retained Earnings,13910896898.02,11970406010.58,9861431533.45,7788338136.56
Additional Paid In Capital,6041748516.87,6038292339.37,6116193040.57,3697808167.73
Capital Stock,1023855833.0,1023855833.0,1026952941.0,957853992.0
Common Stock,1023855833.0,1023855833.0,1026952941.0,957853992.0
Total Liabilities Net Minority Interest,13692984573.67,11628726340.74,11104077242.66,6712708565.66
Total Non Current Liabilities Net Minority Interest,3572073113.97,1930693003.5,1019077899.19,548342022.2
Other Non Current Liabilities,47474880.63,26246585.47,25997065.48,19306174.64
Tradeand Other Payables Non Current,317227475.55,424661553.58,,
Non Current Deferred Revenue,60454920.28,68432412.83,64513322.07,67141304.55
Non Current Deferred Taxes Liabilities,530269053.27,376163626.18,367632640.15,220267808.04
Long Term Debt And Capital Lease Obligation,2616646784.24,1035188825.44,560934871.49,241626734.97
Long Term Capital Lease Obligation,8375538.74,4744522.44,9162937.49,2626734.97
Long Term Debt,2608271245.5,1030444303.0,551771934.0,239000000.0
Current Liabilities,10120911459.7,9698033337.24,10084999343.47,6164366543.46
Other Current Liabilities,237420226.62,645729710.68,996813670.38,587444766.97
Current Debt And Capital Lease Obligation,2169384950.31,2577311941.15,1784661272.79,1138635015.88
Current Debt,1688198529.8,2061810293.58,1682860138.55,711253070.23
Payables,6410849167.38,5722222918.25,6256187189.35,3564431272.38
Other Payable,680722912.86,751561839.32,597297437.58,375263929.52
Dividends Payable,700000.0,300000.0,0.0,0.0
Total Tax Payable,296758849.81,373524452.36,260904473.23,275831757.47
Accounts Payable,5432667404.71,4596836626.57,5397985278.54,2913335585.39
Total Assets,35695116715.45,31776572493.51,29225829417.05,19528552642.17
Total Non Current Assets,10079099525.32,9159027712.26,7382860463.31,4513629859.31
Other Non Current Assets,37291735.72,108959670.61,182540220.48,40169018.44
Non Current Deferred Assets,2994393.63,6364658.09,5666302.08,
Non Current Deferred Taxes Assets,461780255.12,345398801.68,263769701.58,155078344.06
Investmentin Financial Assets,173133992.24,177728208.36,170104288.26,14607489.68
Available For Sale Securities,173133992.24,177728208.36,170104288.26,14607489.68
Long Term Equity Investment,213143964.42,240121405.75,227246267.53,138028631.58
Goodwill And Other Intangible Assets,767140656.7,813932293.57,900858347.84,708892802.75
Other Intangible Assets,665048632.27,726284104.0,813210158.27,640597101.41
Goodwill,102092024.43,87648189.57,87648189.57,68295701.34
Net PPE,6340791127.69,5205154571.88,4133822861.51,2688361480.85
Accumulated Depreciation,-3215767200.69,-2672999616.92,-2190371238.38,-1915783347.71
Gross PPE,9556558328.38,7878154188.8,6324194099.89,4604144828.56
Construction In Progress,669086799.05,1085573186.33,1230965631.13,157131701.21
Other Properties,202141569.75,165077055.97,150739962.97,126692620.11
Machinery Furniture Equipment,5370819217.1,3867851760.36,2960048991.72,2310270152.09
Properties,3314510742.48,2759652186.14,1982439514.07,2010050355.15
Current Assets,25616017190.13,22617544781.25,21842968953.74,15014922782.86
Other Current Assets,1835949812.04,1502655554.45,1571570988.84,577798387.45
Prepaid Assets,546666520.55,487794867.03,1169787601.07,701918822.63
Inventory,5351204758.39,5124366263.2,4969665772.9,4151007786.99
Inventories Adjustments Allowances,-25256590.51,0.0,-26812697.78,-28466623.84
Other Inventories,1743336032.51,281162309.68,1945232849.31,1632459105.62
Finished Goods,1179311966.54,1541416793.68,1429824088.41,1363120910.92
Work In Process,2236282957.32,1551354754.32,1517582407.69,1110666889.67
Raw Materials,217530392.53,1750432405.52,103839125.27,73227504.62
Other Receivables,2687611087.89,2549098850.74,2264404016.23,2199828916.74
Accounts Receivable,6721059933.44,6403822223.56,5766499212.35,4286290361.83
Allowance For Doubtful Accounts Receivable,-974858378.04,-883982311.52,-688722946.8,-457798496.28
Gross Accounts Receivable,7695918311.48,7287804535.08,6455222159.15,4744088858.11
Cash Cash Equivalents And Short Term Investments,8473525077.82,6549807022.27,6101041362.35,3098078507.22
Other Short Term Investments,2549595506.09,1751108554.12,2067335466.38,25896756.46
Cash And Cash Equivalents,5923929571.73,4798698468.15,4033705895.97,3072181750.76
Cash Equivalents,1305633370.27,1634782101.52,1614257141.87,619701716.89
Cash Financial,4618296201.46,3163916366.63,2419448754.1,2452480033.87
