,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Free Cash Flow,26661000000.0,53378000000.0,52603000000.0,81050000000.0
Repayment Of Debt,-22913000000.0,-13138000000.0,-30288000000.0,-36501000000.0
Issuance Of Debt,9697000000.0,15363000000.0,12926000000.0,27653000000.0
Capital Expenditure,-48398000000.0,-37708000000.0,-37084000000.0,-28684000000.0
End Cash Position,23288000000.0,66413000000.0,108174000000.0,131458000000.0
Beginning Cash Position,66413000000.0,109928000000.0,131458000000.0,156706000000.0
Effect Of Exchange Rate Changes,-148000000.0,84000000.0,134000000.0,337000000.0
Changes In Cash,-42977000000.0,-43599000000.0,-23418000000.0,-25585000000.0
Financing Cash Flow,-96242000000.0,-48590000000.0,-76131000000.0,-78734000000.0
Net Other Financing Charges,4178000000.0,3165000000.0,1131000000.0,-7576000000.0
Cash Dividends Paid,-66616000000.0,-47171000000.0,-53119000000.0,-53391000000.0
Net Issuance Payments Of Debt,-13216000000.0,2225000000.0,-17362000000.0,-8848000000.0
Net Long Term Debt Issuance,-13216000000.0,2225000000.0,-17362000000.0,-8848000000.0
Long Term Debt Payments,-22913000000.0,-13138000000.0,-30288000000.0,-36501000000.0
Long Term Debt Issuance,9697000000.0,15363000000.0,12926000000.0,27653000000.0
Investing Cash Flow,-21794000000.0,-86095000000.0,-36974000000.0,-56585000000.0
Net Other Investing Changes,3762000000.0,-35442000000.0,-2689000000.0,-32783000000.0
Net Investment Purchase And Sale,20444000000.0,-14187000000.0,1279000000.0,3352000000.0
Sale Of Investment,52826000000.0,3898000000.0,4624000000.0,3871000000.0
Purchase Of Investment,-32382000000.0,-18085000000.0,-3345000000.0,-519000000.0
Net Business Purchase And Sale,,,19000000.0,
Sale Of Business,,,19000000.0,
Net PPE Purchase And Sale,-46000000000.0,-36466000000.0,-35583000000.0,-27154000000.0
Sale Of PPE,2398000000.0,1242000000.0,1501000000.0,1530000000.0
Purchase Of PPE,-48398000000.0,-37708000000.0,-37084000000.0,-28684000000.0
Operating Cash Flow,75059000000.0,91086000000.0,89687000000.0,109734000000.0
Change In Working Capital,-10554000000.0,-251000000.0,-11690000000.0,-1012000000.0
Change In Payable,-5987000000.0,335000000.0,256000000.0,-1264000000.0
Change In Inventory,764000000.0,-1022000000.0,-1438000000.0,48000000.0
Change In Receivables,-5331000000.0,436000000.0,-10508000000.0,204000000.0
Other Non Cash Items,1574000000.0,1964000000.0,3240000000.0,2136000000.0
Deferred Tax,-9000000.0,-596000000.0,-317000000.0,-930000000.0
Depreciation And Amortization,23687000000.0,23305000000.0,22078000000.0,21587000000.0
Amortization Cash Flow,2072000000.0,1916000000.0,1806000000.0,2057000000.0
Depreciation,21615000000.0,21389000000.0,20272000000.0,19530000000.0
Gain Loss On Investment Securities,-4156000000.0,-4874000000.0,-3815000000.0,-2420000000.0
Gain Loss On Sale Of PPE,218000000.0,29000000.0,-99000000.0,-189000000.0
Net Income From Continuing Operations,62783000000.0,65999000000.0,69598000000.0,81696000000.0
Cash Flowsfromusedin Operating Activities Direct,75059000000.0,91086000000.0,89687000000.0,109734000000.0
Taxes Refund Paid Direct,-37279000000.0,-39761000000.0,-36595000000.0,-37260000000.0
Classesof Cash Payments,-198148000000.0,-241071000000.0,-231029000000.0,-220761000000.0
Other Cash Paymentsfrom Operating Activities,-13835000000.0,-18789000000.0,-15034000000.0,-13834000000.0
Paymentson Behalfof Employees,-51500000000.0,-49205000000.0,-45190000000.0,-41128000000.0
Paymentsto Suppliersfor Goodsand Services,-132813000000.0,-173077000000.0,-170805000000.0,-165799000000.0
Classesof Cash Receiptsfrom Operating Activities,310486000000.0,371918000000.0,357311000000.0,367755000000.0
Other Cash Receiptsfrom Operating Activities,14325000000.0,15155000000.0,11957000000.0,11137000000.0
Receiptsfrom Customers,296161000000.0,356763000000.0,345354000000.0,356618000000.0
