,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Tax Effect Of Unusual Items,725369.717371,-3563071.18205,-156355004.2575,-39496312.472575
Tax Rate For Calcs,0.017002,0.020275,0.25,0.092619
Normalized EBITDA,2116808904.22,1737138623.21,1157041214.93,3017800203.49
Total Unusual Items,42663356.89,-175740024.29,-625420017.03,-426440708.21
Total Unusual Items Excluding Goodwill,42663356.89,-175740024.29,-625420017.03,-426440708.21
Net Income From Continuing Operation Net Minority Interest,1648022651.7,1102542801.68,161141224.88,2052884263.32
Reconciled Depreciation,430984434.84,418482573.7,399758290.28,321044039.39
Reconciled Cost Of Revenue,5502180091.92,4560624797.99,3777808042.97,4255355682.58
EBITDA,2159472261.11,1561398598.92,531621197.9,2591359495.28
EBIT,1728487826.27,1142916025.22,131862907.62,2270315455.89
Net Interest Income,255487329.04,311926521.08,229032343.74,147819408.33
Interest Expense,22131505.87,19252836.87,7114969.0,7888531.59
Interest Income,280530714.27,334446629.64,238621560.1,157426859.89
Normalized Income,1606084664.527371,1274719754.78795,630206237.6525,2439828659.057425
Net Income From Continuing And Discontinued Operation,1648022651.7,1102542801.68,161141224.88,2052884263.32
Total Expenses,7652766844.2,6523332256.83,5356410091.76,5875290585.43
Rent Expense Supplemental,10361745.33,7942305.77,7555872.69,9478385.33
Total Operating Income As Reported,1715542904.73,1117347446.08,119779324.78,2221564434.4
Diluted Average Shares,667215648.0,664182411.0,671421770.0,664363839.0
Basic Average Shares,664525263.0,664182411.0,671421770.0,662220730.0
Diluted EPS,2.47,1.66,0.24,3.09
Basic EPS,2.48,1.66,0.24,3.1
Net Income Common Stockholders,1648022651.7,1102542801.68,161141224.88,2052884263.32
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,1648022651.7,1102542801.68,161141224.88,2052884263.32
Minority Interests,-29321905.63,1661514.84,0.0,
Net Income Including Noncontrolling Interests,1677344557.33,1100881286.84,161141224.88,2052884263.32
Net Income Continuous Operations,1677344557.33,1100881286.84,161141224.88,2052884263.32
Tax Provision,29011763.07,22781901.51,-36393286.26,209542660.98
Pretax Income,1706356320.4,1123663188.35,124747938.62,2262426924.3
Other Non Operating Income Expenses,-9186584.33,6315742.27,4968613.84,40862489.9
Special Income Charges,-109266564.04,-175464943.4,-613429640.34,-419469452.49
Other Special Charges,-864049.17,-337228.83,-98693.77,-185089.17
Write Off,1835965.76,3667071.36,819661.14,742794.69
Impairment Of Capital Assets,108294647.45,172135100.87,612708672.97,418911746.97
Net Non Operating Interest Income Expense,255487329.04,311926521.08,229032343.74,147819408.33
Total Other Finance Cost,2911879.36,3267271.69,2474247.36,1718919.97
Interest Expense Non Operating,22131505.87,19252836.87,7114969.0,7888531.59
Interest Income Non Operating,280530714.27,334446629.64,238621560.1,157426859.89
Operating Income,1550696280.38,832645420.28,404413322.89,2254701839.56
Operating Expense,2150586752.28,1962707458.84,1578602048.79,1619934902.85
Other Operating Expenses,40018851.88,31247118.07,25197824.18,71737118.7
Depreciation And Amortization In Income Statement,100380483.85,81286535.9,78296277.15,62485885.07
Depreciation Income Statement,100380483.85,81286535.9,78296277.15,62485885.07
Research And Development,1116991959.01,1122388914.03,989953149.99,935583622.53
Selling General And Administration,224898405.24,199032372.08,185094373.19,157842588.78
Selling And Marketing Expense,126795719.74,99296275.34,91364436.94,71583238.19
General And Administrative Expense,98102685.5,99736096.74,93729936.25,86259350.59
Rent And Landing Fees,10361745.33,7942305.77,7555872.69,9478385.33
Gross Profit,3701283032.66,2795352879.12,1983015371.68,3874636742.41
Cost Of Revenue,5502180091.92,4560624797.99,3777808042.97,4255355682.58
Total Revenue,9203463124.58,7355977677.11,5760823414.65,8129992424.99
Operating Revenue,9203463124.58,7355977677.11,5760823414.65,8129992424.99
