,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Tax Effect Of Unusual Items,-55540608.654788,-61121049.26639,-1411831.244877,-13286599.602854
Tax Rate For Calcs,0.261259,0.282629,0.180376,0.185446
Normalized EBITDA,979786523.0,584265099.53,540205389.19,440876943.16
Total Unusual Items,-212588216.75,-216258671.78,-7827150.31,-71646823.76
Total Unusual Items Excluding Goodwill,-212588216.75,-216258671.78,-7827150.31,-71646823.76
Net Income From Continuing Operation Net Minority Interest,497011978.91,193649307.09,333349714.72,199126473.07
Reconciled Depreciation,92643420.3,94173924.32,87521165.25,83043337.78
Reconciled Cost Of Revenue,7262041375.38,4979655348.15,4361656164.68,3084318259.43
EBITDA,767198306.25,368006427.75,532378238.88,369230119.4
EBIT,674554885.95,273832503.43,444857073.63,286186781.62
Net Interest Income,-34472143.67,-30028287.02,-31416153.6,-29590072.2
Interest Expense,36251340.33,38009409.15,42198529.88,34429327.18
Interest Income,9491499.19,14417974.42,17915732.04,11785030.8
Normalized Income,654059587.005212,348786929.60361,339765033.785123,257486697.227146
Net Income From Continuing And Discontinued Operation,497011978.91,193649307.09,333349714.72,199126473.07
Total Expenses,8422882465.01,6030602804.83,5461086910.21,4083297568.35
Rent Expense Supplemental,55963899.27,39952643.56,37788989.21,44355266.03
Total Operating Income As Reported,638674927.23,235297525.65,402616116.48,251619422.54
Diluted Average Shares,887521391.0,880224123.0,877236091.0,905120332.0
Basic Average Shares,887521391.0,880224123.0,877236091.0,905120332.0
Diluted EPS,0.56,0.22,0.38,0.22
Basic EPS,0.56,0.22,0.38,0.22
Net Income Common Stockholders,497011978.91,193649307.09,333349714.72,199126473.07
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,497011978.91,193649307.09,333349714.72,199126473.07
Minority Interests,25471050.58,24476742.22,3321169.19,-5943629.18
Net Income Including Noncontrolling Interests,471540928.33,169172564.87,330028545.53,205070102.25
Net Income Continuous Operations,471540928.33,169172564.87,330028545.53,205070102.25
Tax Provision,166762617.29,66650529.41,72629998.22,46687352.19
Pretax Income,638303545.62,235823094.28,402658543.75,251757454.44
Other Non Operating Income Expenses,-371381.61,525568.63,42427.27,138031.9
Special Income Charges,-212023057.58,-216632617.24,-7321908.52,-72132354.62
Other Special Charges,-825938.77,-752493.84,-25777348.25,-12360026.6
Write Off,2989579.08,448553.35,-7381380.99,1168062.34
Impairment Of Capital Assets,209859417.27,216936557.73,40480637.76,83324318.88
Net Non Operating Interest Income Expense,-34472143.67,-30028287.02,-31416153.6,-29590072.2
Total Other Finance Cost,7712302.53,6436852.29,7133355.76,6945775.82
Interest Expense Non Operating,36251340.33,38009409.15,42198529.88,34429327.18
Interest Income Non Operating,9491499.19,14417974.42,17915732.04,11785030.8
Operating Income,894973137.21,487270945.56,438767889.59,334116435.96
Operating Expense,1160841089.63,1050947456.68,1099430745.53,998979308.92
Other Operating Expenses,113932436.16,91848089.68,90857267.99,77609007.32
Depreciation And Amortization In Income Statement,66186837.48,82834908.63,82310270.36,79585328.25
Depreciation Income Statement,66186837.48,82834908.63,82310270.36,79585328.25
Research And Development,93769970.1,68091981.09,62687305.95,59840896.51
Selling General And Administration,399391313.53,380097380.91,407460984.44,356424605.89
Selling And Marketing Expense,316541145.38,327826456.38,355680735.27,319544565.13
General And Administrative Expense,82850168.15,52270924.53,51780249.17,36880040.76
Rent And Landing Fees,55963899.27,39952643.56,37788989.21,44355266.03
Gross Profit,2055814226.84,1538218402.24,1538198635.12,1333095744.88
Cost Of Revenue,7262041375.38,4979655348.15,4361656164.68,3084318259.43
Total Revenue,9317855602.22,6517873750.39,5899854799.8,4417414004.31
Operating Revenue,9317855602.22,6517873750.39,5899854799.8,4417414004.31
