,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Ordinary Shares Number,1924363537.0,1918599320.0,1908578180.0,1896658773.0
Share Issued,1924363537.0,1918599320.0,1908578180.0,1896658773.0
Net Debt,1476498886.0,1421760868.0,183098535.0,191408904.0
Total Debt,4567592781.0,3626511455.0,2605338167.0,1491823002.0
Tangible Book Value,14724028560.0,11475336849.0,9409780321.0,8164734993.0
Invested Capital,19168310833.0,14805241983.0,12065693116.0,9750761004.0
Working Capital,5251104264.0,2101095041.0,2818091159.0,2896638555.0
Net Tangible Assets,14724028560.0,11475336849.0,9409780321.0,8164734993.0
Capital Lease Obligations,11838025.0,,,87781.0
Common Stock Equity,15112704642.0,11840778491.0,9784707633.0,8266898543.0
Total Capitalization,16998365169.0,13150714437.0,10631200151.0,8344871468.0
Total Equity Gross Minority Interest,15128086679.0,11901426159.0,9837223637.0,8266898543.0
Minority Interest,15382037.0,60647668.0,52516004.0,
Stockholders Equity,15112704642.0,11840778491.0,9784707633.0,8266898543.0
Retained Earnings,10545118488.0,7684506492.0,6310097822.0,5200689998.0
Additional Paid In Capital,,651521052.0,445407826.0,213277997.0
Capital Stock,1924363537.0,1918599320.0,1908578180.0,1896658773.0
Common Stock,1924363537.0,1918599320.0,1908578180.0,1896658773.0
Total Liabilities Net Minority Interest,13126187360.0,9278509516.0,6198256989.0,4234423965.0
Total Non Current Liabilities Net Minority Interest,2402117414.0,1701932401.0,1175482699.0,405028954.0
Non Current Deferred Revenue,417148296.0,314446256.0,302736644.0,320991188.0
Non Current Deferred Taxes Liabilities,87470566.0,77550199.0,26253537.0,5977060.0
Long Term Debt And Capital Lease Obligation,1897498552.0,1309935946.0,846492518.0,78060706.0
Long Term Capital Lease Obligation,11838025.0,,,87781.0
Long Term Debt,1885660527.0,1309935946.0,846492518.0,77972925.0
Current Liabilities,10724069946.0,7576577115.0,5022774290.0,3829395011.0
Current Debt And Capital Lease Obligation,2670094229.0,2316575509.0,1758845649.0,1413762296.0
Current Debt,2169945664.0,1654527546.0,1434492965.0,1405889536.0
Payables,7988155668.0,5231120464.0,3241286901.0,2380981424.0
Other Payable,1084360070.0,857813688.0,525312429.0,376450080.0
Total Tax Payable,274156289.0,136456687.0,92271862.0,78948968.0
Accounts Payable,6629639309.0,4236850089.0,2623702610.0,1925582376.0
Total Assets,28254274039.0,21179935675.0,16035480626.0,12501322508.0
Total Non Current Assets,12279099829.0,11502263519.0,8194615177.0,5775288942.0
Other Non Current Assets,2757271637.0,4347238867.0,3115945995.0,1867121658.0
Non Current Deferred Assets,4242650.0,3977131.0,3615584.0,1191104.0
Non Current Deferred Taxes Assets,322055969.0,166363120.0,90093887.0,109121540.0
Investmentin Financial Assets,571786962.0,500232052.0,278617926.0,197412358.0
Available For Sale Securities,571786962.0,500232052.0,278617926.0,197412358.0
Long Term Equity Investment,33590103.0,24656719.0,48929403.0,43420353.0
Investment Properties,15829877.0,13092814.0,22940447.0,24311080.0
Goodwill And Other Intangible Assets,388676082.0,365441642.0,374927312.0,102163550.0
Other Intangible Assets,388676082.0,365441642.0,374927312.0,102163550.0
Net PPE,8185646549.0,6081261174.0,4259544623.0,3430547299.0
Accumulated Depreciation,-3995291813.0,-3707498867.0,-3491659781.0,-3192216996.0
Gross PPE,12180938362.0,9788760041.0,7751204404.0,6622764295.0
Construction In Progress,2459951800.0,2048442090.0,569962693.0,710971168.0
Other Properties,19357551.0,4032819084.0,82839.0,514591.0
Machinery Furniture Equipment,7521845803.0,5752329587.0,5505011658.0,4548171305.0
Buildings And Improvements,,,,
Properties,2179783208.0,1987988364.0,1676147214.0,1363107231.0
Current Assets,15975174210.0,9677672156.0,7840865449.0,6726033566.0
Other Current Assets,3014471399.0,1089810423.0,1209418499.0,1311255389.0
Prepaid Assets,98677645.0,41121164.0,16365592.0,10210338.0
Inventory,4245940570.0,2436102152.0,1749222944.0,1785924019.0
Inventories Adjustments Allowances,0.0,0.0,0.0,0.0
Other Inventories,8537844911.0,4833394617.0,3382409861.0,3440668170.0
Finished Goods,-2210819602.0,-1291797012.0,-1008546253.0,-1243517143.0
Work In Process,-1586551568.0,-836235568.0,-472165608.0,-277305580.0
Raw Materials,-494533171.0,-269259885.0,-152475056.0,-133921428.0
Other Receivables,529817046.0,524523097.0,30608959.0,82469836.0
Accounts Receivable,5507160245.0,4043412696.0,2687132924.0,2243720427.0
Allowance For Doubtful Accounts Receivable,-5599267518.0,-4092600093.0,-2717746666.0,-2286004394.0
Gross Accounts Receivable,,4092600093.0,2717746666.0,2286004394.0
Cash Cash Equivalents And Short Term Investments,2579107305.0,1542702624.0,2148116531.0,1292453557.0
Other Short Term Investments,,,50229583.0,
Cash And Cash Equivalents,2579107305.0,1542702624.0,2097886948.0,1292453557.0
Cash Equivalents,1768749.0,4515488.0,27295997.0,11688003.0
Cash Financial,2577338556.0,1538187136.0,2070590951.0,1280765554.0
