,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,-7122033.444196,-37814010.959362,-14156964.457772,12871671.539442
Tax Rate For Calcs,0.097251,0.104424,0.117933,0.108461
Normalized EBITDA,14552326776.36,15419595040.33,15360296460.41,14906702634.61
Total Unusual Items,-73233313.64,-362119419.25,-120042420.13,118675286.25
Total Unusual Items Excluding Goodwill,-73233313.64,-362119419.25,-120042420.13,118675286.25
Net Income From Continuing Operation Net Minority Interest,6690703044.68,7214175836.76,7203125199.05,6468939920.38
Reconciled Depreciation,6044301452.1,5910431640.78,5592358159.48,5613282934.12
Reconciled Cost Of Revenue,148357389124.21,146444120598.04,135764455906.51,119825733344.13
EBITDA,14479093462.72,15057475621.08,15240254040.28,15025377920.86
EBIT,8434792010.62,9147043980.3,9647895880.8,9412094986.74
Net Interest Income,477416610.83,376378069.54,108177992.48,168496341.1
Interest Expense,146478658.15,108429338.72,508901686.17,448392913.93
Interest Income,806720260.04,621098462.3,675375216.78,670077455.29
Normalized Income,6756814324.875804,7538481245.050638,7309010654.722228,6363136305.669442
Net Income From Continuing And Discontinued Operation,6690703044.68,7214175836.76,7203125199.05,6468939920.38
Total Expenses,162817810803.76,162174488058.5,152184705375.17,134749168571.33
Rent Expense Supplemental,125048081.12,293067270.63,271925347.92,133195169.98
Total Operating Income As Reported,8215255440.67,8817642183.16,9107906581.46,8928341472.88
Basic Average Shares,3153017457.0,3153048880.0,3152352385.0,3152504834.0
Diluted EPS,2.122,2.288,2.285,2.052
Basic EPS,2.122,2.288,2.285,2.052
Net Income Common Stockholders,6690703044.68,7214175836.76,7203125199.05,6468939920.38
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,6690703044.68,7214175836.76,7203125199.05,6468939920.38
Minority Interests,-791561230.42,-880589193.49,-858079861.93,-1522547696.46
Net Income Including Noncontrolling Interests,7482264275.1,8094765030.25,8061205060.98,7991487616.84
Net Income Continuous Operations,7482264275.1,8094765030.25,8061205060.98,7991487616.84
Tax Provision,806049077.37,943849611.33,1077789133.65,972214455.97
Pretax Income,8288313352.47,9038614641.58,9138994194.63,8963702072.81
Other Non Operating Income Expenses,-610061983.24,-375532755.99,31087613.17,35360599.93
Special Income Charges,-59549424.02,-396935971.3,-120042420.13,118327419.25
Other Special Charges,-374782458.31,-119999270.7,-67294640.13,-524991397.71
Write Off,95111744.93,95703932.04,-4980086.98,54712488.84
Impairment Of Capital Assets,339220137.4,421231309.96,192317147.24,351951489.62
Net Non Operating Interest Income Expense,477416610.83,376378069.54,108177992.48,168496341.1
Total Other Finance Cost,182824991.06,136291054.04,58295538.13,53188200.26
Interest Expense Non Operating,146478658.15,108429338.72,508901686.17,448392913.93
Interest Income Non Operating,806720260.04,621098462.3,675375216.78,670077455.29
Operating Income,6034373035.56,6419563245.65,6083201427.38,5194971059.1
Operating Expense,14460421679.55,15730367460.46,16420249468.66,14923435227.2
Other Operating Expenses,578083849.89,314395657.24,652261068.27,516827314.62
Depreciation And Amortization In Income Statement,805859566.87,851126482.03,1108077204.97,1078595293.23
Amortization,,,184033076.79,163545042.38
Depreciation Income Statement,805859566.87,851126482.03,924044128.18,915050250.85
Research And Development,6190864324.37,7121588513.14,7161463815.11,6351562962.56
Selling General And Administration,3156735026.74,3202296327.31,2980031979.09,3177264456.27
Selling And Marketing Expense,518344174.6,912756975.21,794593951.52,767742539.3
General And Administrative Expense,2638390852.14,2289539352.1,2185438027.57,2409521916.97
Rent And Landing Fees,125048081.12,293067270.63,271925347.92,133195169.98
Gross Profit,20494794715.11,22149930706.11,22503450896.04,20118406286.3
Cost Of Revenue,148357389124.21,146444120598.04,135764455906.51,119825733344.13
Total Revenue,168852183839.32,168594051304.15,158267906802.55,139944139630.43
Operating Revenue,168852183839.32,168594051304.15,158267906802.55,139944139630.43
