,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Free Cash Flow,9235008431.31,-9860454039.8,49303975543.61,-27994364475.95
Repayment Of Debt,-71745062539.74,-77653141985.68,-88645498523.18,-50163963000.07
Issuance Of Debt,93867540005.22,66404226063.83,70800042949.16,97415412203.54
Capital Expenditure,-735800580.5,-941478883.42,-717791386.07,-670947287.37
End Cash Position,196996816771.66,146004891075.14,149831673420.82,141769343344.08
Beginning Cash Position,146004891075.14,149831673420.82,141769343344.08,116999336888.74
Effect Of Exchange Rate Changes,124998663.9,113131445.6,608709905.31,-165347546.73
Changes In Cash,50866927032.62,-3939913791.28,7453620171.43,24935354002.07
Financing Cash Flow,15716946625.33,1636388038.01,-11167614404.95,31018687795.75
Net Other Financing Charges,2905039131.44,21400290244.16,17032121560.03,-7223817099.11
Cash Dividends Paid,-8925981971.59,-7938104284.3,-9784573365.23,-8160489533.54
Net Issuance Payments Of Debt,22122477465.48,-11248915921.85,-17845455574.02,47251449203.47
Net Long Term Debt Issuance,22122477465.48,-11248915921.85,-17845455574.02,47251449203.47
Long Term Debt Payments,-71745062539.74,-77653141985.68,-88645498523.18,-50163963000.07
Long Term Debt Issuance,93867540005.22,66404226063.83,70800042949.16,97415412203.54
Investing Cash Flow,25179171395.48,3342673327.09,-31400532353.3,21240083394.9
Net Investment Purchase And Sale,25901900976.5,4282863474.15,-30685019591.69,21418688387.15
Sale Of Investment,27782481869.89,5424272484.09,4151456219.7,22140249491.19
Purchase Of Investment,-1880580893.39,-1141409009.94,-34836475811.39,-721561104.04
Net Business Purchase And Sale,,,,485643120.26
Sale Of Business,,,,485643120.26
Net PPE Purchase And Sale,-722729581.02,-940190147.06,-715512761.61,-664248112.51
Sale Of PPE,13070999.48,1288736.36,2278624.46,6699174.86
Purchase Of PPE,-735800580.5,-941478883.42,-717791386.07,-670947287.37
Operating Cash Flow,9970809011.81,-8918975156.38,50021766929.68,-27323417188.58
Change In Working Capital,-812509898.88,-18656329523.06,38149299091.53,-40407975002.5
Change In Other Current Assets,-270109136.45,-260847092.22,-361221223.29,-553383165.53
Change In Payable,41084902269.58,46387381876.8,77576498637.89,28892978216.96
Change In Receivables,-17116142166.8,-7682440144.75,-2759975040.93,-15313321749.73
Other Non Cash Items,2159765650.06,1321403534.69,2113286816.88,1976159957.59
Provisionand Write Offof Assets,-60109164.21,99112373.53,-360045219.4,984269668.48
Depreciation And Amortization,970197836.76,881712199.86,775820121.17,711586934.39
Amortization Cash Flow,206976269.61,176517640.36,152130801.09,136876987.06
Depreciation,763221567.15,705194559.5,623689320.08,574709947.33
Gain Loss On Investment Securities,-2755546007.74,-436683569.34,398457994.37,-2636155612.89
Net Foreign Currency Exchange Gain Loss,-68626874.88,10184132.74,47042725.9,-4265197.26
Gain Loss On Sale Of PPE,-7035053.64,-1291188.94,-98775.77,-1943567.6
Net Income From Continuing Operations,10544672524.34,7862916884.14,8898004175.0,12054905631.21
Cash Flowsfromusedin Operating Activities Direct,9970809011.81,-8918975156.38,50021766929.68,-27323417188.58
Classesof Cash Payments,-77824862259.73,-85953942826.89,-63338199994.99,-96505384701.95
Other Cash Paymentsfrom Operating Activities,-34459762082.89,-59336101288.72,-45938814135.35,-49764991064.9
Paymentson Behalfof Employees,-8530915080.52,-9422685524.7,-9032782658.23,-8723894681.55
Classesof Cash Receiptsfrom Operating Activities,87795671271.54,77034967670.51,113359966924.67,69181967513.37
Other Cash Receiptsfrom Operating Activities,2121659064.67,20382911168.56,8612404628.72,10419378616.98
