,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,-55356.274492,-235470.43727,-1709275.726241,-272848.109032
Tax Rate For Calcs,0.110315,0.100809,0.143417,0.194398
Total Unusual Items,-501802.66,-2335804.44,-11918226.7,-1403555.08
Total Unusual Items Excluding Goodwill,-501802.66,-2335804.44,-11918226.7,-1403555.08
Net Income From Continuing Operation Net Minority Interest,9636829949.09,6977799497.16,7929282812.63,10854115527.4
Reconciled Depreciation,970197836.76,881712199.86,775820121.17,711586934.39
Net Interest Income,2348450787.49,3136020830.17,4101110533.13,4930921016.81
Interest Expense,10225907680.94,10410661253.11,8754029577.94,8728150844.28
Interest Income,12574358468.43,13546682083.28,12855140111.07,13659071861.09
Normalized Income,9637276395.475508,6979899831.16273,7939491763.603759,10855246234.370968
Net Income From Continuing And Discontinued Operation,9636829949.09,6977799497.16,7929282812.63,10854115527.4
Diluted Average Shares,8379852130.0,8406987346.0,7773806679.0,7643743329.0
Basic Average Shares,8379852130.0,8406987346.0,7773806679.0,7643743329.0
Diluted EPS,1.15,0.83,1.02,1.42
Basic EPS,1.15,0.83,1.02,1.42
Net Income Common Stockholders,9636829949.09,6977799497.16,7929282812.63,10854115527.4
Net Income,9636829949.09,6977799497.16,7929282812.63,10854115527.4
Minority Interests,-907842575.25,-885117386.98,-968721362.37,-1200790103.81
Net Income Including Noncontrolling Interests,10544672524.34,7862916884.14,8898004175.0,12054905631.21
Net Income Continuous Operations,10544672524.34,7862916884.14,8898004175.0,12054905631.21
Tax Provision,1307466709.62,881519070.07,1489785051.12,2908939531.18
Pretax Income,11852139233.96,8744435954.21,10387789226.12,14963845162.39
Other Non Operating Income Expenses,384350891.7,-50362443.84,-59937789.23,-61030254.08
Special Income Charges,-501802.66,-2335804.44,-11918226.7,-1403555.08
Other Special Charges,-4070078.61,-1291188.94,-98775.77,-1943567.6
Write Off,4571881.27,3626993.38,12017002.47,3347122.68
Gain On Sale Of Security,7753654410.87,3566797599.93,1264857319.97,5760382163.93
Operating Expense,15791109940.92,14405620864.7,15044332622.05,18240843315.8
Other Operating Expenses,999418647.72,520377639.98,1234870359.65,2280277242.79
Depreciation And Amortization In Income Statement,598060298.95,353619430.54,309335470.96,286425819.51
Amortization,206976269.61,,,
Depreciation Income Statement,391084029.34,353619430.54,309335470.96,286425819.51
Selling General And Administration,4613853332.21,4758640942.76,4619864824.59,4597119123.88
Selling And Marketing Expense,298377240.84,228674416.99,205773424.65,246423895.76
General And Administrative Expense,4315476091.37,4529966525.77,4414091399.94,4350695228.12
Rent And Landing Fees,,,,146335215.58
Total Revenue,26405795196.33,22575397666.16,24196447723.98,32783811505.38
Operating Revenue,26405795196.33,22575397666.16,24196447723.98,32783811505.38
