,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Free Cash Flow,4677684614.67,2979786118.53,907278169.97,1510808315.39
Repayment Of Debt,-3308786660.29,-1966436848.49,-2670202973.85,-5170537166.09
Issuance Of Debt,2897086093.46,1134011421.78,3296916138.01,4007178777.53
Capital Expenditure,-1661533359.1,-636190802.25,-2014971453.99,-863947930.62
End Cash Position,6071358515.75,2830159039.86,1452528180.48,947222058.28
Beginning Cash Position,2830159039.86,1452528180.48,968538088.42,1862957465.69
Effect Of Exchange Rate Changes,-41019075.41,54102679.52,-12541337.83,289798784.34
Changes In Cash,3282218551.3,1323528179.86,496531429.89,-1205534191.75
Financing Cash Flow,-668310539.33,-2396137918.04,-542708767.57,-1810092863.83
Net Other Financing Charges,792617946.81,-787680920.66,-546308824.54,-336734578.81
Cash Dividends Paid,-925981517.03,-759392712.18,-622096213.47,-309534270.43
Net Issuance Payments Of Debt,-411700566.83,-832425426.71,626713164.16,-1163358388.56
Net Long Term Debt Issuance,-411700566.83,-832425426.71,626713164.16,-1163358388.56
Long Term Debt Payments,-3308786660.29,-1966436848.49,-2670202973.85,-5170537166.09
Long Term Debt Issuance,2897086093.46,1134011421.78,3296916138.01,4007178777.53
Investing Cash Flow,-2388688883.14,103689177.12,-1883009426.5,-1770197573.93
Net Other Investing Changes,-811173926.0,572538495.42,199400161.11,-3116354.79
Net Investment Purchase And Sale,-82204307.06,31733277.78,-69259595.25,-903252618.36
Sale Of Investment,64890692.94,33500159.62,79490404.75,29784581.64
Purchase Of Investment,-147095000.0,-1766881.84,-148750000.0,-933037200.0
Net PPE Purchase And Sale,-1495310650.08,-500582596.08,-2013149992.36,-863828600.78
Sale Of PPE,166222709.02,135608206.17,1821461.63,119329.84
Purchase Of PPE,-1661533359.1,-636190802.25,-2014971453.99,-863947930.62
Operating Cash Flow,6339217973.77,3615976920.78,2922249623.96,2374756246.01
Change In Working Capital,-276374372.04,-447669438.53,386879319.62,-256494803.99
Change In Other Current Assets,50291162.81,-53197142.8,22174837.61,358163.17
Change In Payable,711453353.72,343734805.87,30301626.9,400924325.84
Change In Inventory,-159990817.27,-170760087.89,4111729.39,-227224559.58
Change In Receivables,-878128071.3,-567447013.71,330291125.72,-430552733.42
Other Non Cash Items,709753704.41,463525963.93,370411016.72,271808163.52
Depreciation And Amortization,3363656934.32,1807689838.71,1383138043.32,1134813341.16
Amortization Cash Flow,21407492.48,11473690.14,11869991.6,7640827.53
Depreciation,3342249441.84,1796216148.57,1371268051.72,1127172513.63
Gain Loss On Investment Securities,-44447930.74,-224689892.53,-202638965.75,-80951395.05
Gain Loss On Sale Of PPE,3932559.94,-62982610.78,-115494393.26,-55914618.26
Net Income From Continuing Operations,2368384267.97,1733913767.92,1083011886.64,827160392.28
Cash Flowsfromusedin Operating Activities Direct,6339217973.77,3615976920.78,2922249623.96,2374756246.01
Taxes Refund Paid Direct,-228638692.9,-165756551.84,-128329925.75,-186904813.26
Classesof Cash Payments,-16773816403.61,-12772533133.37,-10192658573.36,-9558647334.96
Other Cash Paymentsfrom Operating Activities,-424717254.33,-450661676.57,-332016376.39,-208359454.47
Paymentson Behalfof Employees,-2098770020.3,-2217755836.29,-2125553094.0,-1790453969.95
Paymentsto Suppliersfor Goodsand Services,-14250329128.98,-10104115620.51,-7735089102.97,-7559833910.54
Classesof Cash Receiptsfrom Operating Activities,23341673070.28,16554266605.99,13243238123.07,12120308394.23
Other Cash Receiptsfrom Operating Activities,174817469.98,165763608.71,236365225.37,67722328.64
Receiptsfrom Customers,23166855600.3,16388502997.28,13006872897.7,12052586065.59
