,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Ordinary Shares Number,2146650771.0,2146650771.0,2146650771.0,2146650771.0
Share Issued,2146650771.0,2146650771.0,2146650771.0,2146650771.0
Net Debt,1106218416.23,5324533293.35,4712206601.32,3980549660.71
Total Debt,15111926054.4,10809688123.73,9634423063.43,8863544169.18
Tangible Book Value,12484344980.4,11432611408.22,10590422062.6,9526074203.64
Invested Capital,16569147031.57,18365140908.5,16396709257.79,15522293278.59
Working Capital,-1246680760.97,-669377248.16,-1688787669.24,-1290561854.24
Net Tangible Assets,12484344980.4,11432611408.22,10590422062.6,9526074203.64
Capital Lease Obligations,7213162436.92,2782631917.97,2469310948.97,1224865859.39
Common Stock Equity,12582296355.48,11538164141.25,10687449711.96,9627718847.38
Total Capitalization,16304085760.73,17674045383.29,15304299568.95,14274350578.53
Total Equity Gross Minority Interest,13789909966.9,11619846865.4,10716661674.09,9653132367.11
Minority Interest,1207613611.42,81682724.15,29211962.13,25413519.73
Stockholders Equity,12582296355.48,11538164141.25,10687449711.96,9627718847.38
Retained Earnings,5294649255.04,4335329433.29,3640914797.2,2990540170.78
Additional Paid In Capital,4283894046.24,4277639939.31,4277639939.31,4277639939.31
Capital Stock,2146650771.0,2146650771.0,2146650771.0,2146650771.0
Common Stock,2146650771.0,2146650771.0,2146650771.0,2146650771.0
Total Liabilities Net Minority Interest,21138735502.76,16006521382.44,14643549362.17,13281307075.63
Total Non Current Liabilities Net Minority Interest,13098554225.47,10840095466.63,8825611075.54,7504347583.42
Other Non Current Liabilities,52772439.5,50634646.91,49790342.93,7700960.93
Tradeand Other Payables Non Current,1133525751.35,1113766563.39,1177523088.58,1246650140.53
Non Current Deferred Revenue,132151324.98,151457124.79,243304.05,354670.41
Non Current Deferred Taxes Liabilities,845152867.47,605723971.53,511893534.02,378144221.01
Long Term Debt And Capital Lease Obligation,10934951842.17,8918513160.01,7086160805.96,5871497590.54
Long Term Capital Lease Obligation,7213162436.92,2782631917.97,2469310948.97,1224865859.39
Long Term Debt,3721789405.25,6135881242.04,4616849856.99,4646631731.15
Current Liabilities,8040181277.29,5166425915.81,5817938286.63,5776959492.21
Other Current Liabilities,917481.64,160451.29,5350809.74,671784.5
Current Debt And Capital Lease Obligation,4176974212.23,1891174963.72,2548262257.47,2992046578.64
Current Debt,265061270.84,691095525.21,1092409688.84,1247942700.06
Payables,3225816314.7,2725657628.21,2917730530.73,2523360263.6
Other Payable,565886203.64,734772792.35,855436873.18,715298421.25
Dividends Payable,,4733815.5,,
Total Tax Payable,221793287.97,59943633.41,67460391.48,104689588.32
Accounts Payable,2438136823.09,1926207386.95,1994833266.07,1703372254.03
Total Assets,34928645469.66,27626368247.84,25360211036.26,22934439442.74
Total Non Current Assets,28135144953.34,23129319580.19,21231060418.87,18448041804.77
Non Current Deferred Assets,221166651.65,168138646.26,4839650.71,4627455.32
Non Current Deferred Taxes Assets,695897088.21,388959472.79,317303872.89,182299447.95
Investmentin Financial Assets,1665285341.22,1594385898.98,1513292226.06,570334961.3
Available For Sale Securities,1665285341.22,1594385898.98,1513292226.06,570334961.3
Long Term Equity Investment,995739499.05,1683198618.38,1591670609.31,1469544631.81
Investment Properties,547796958.17,599992913.43,692326008.51,744824871.28
Goodwill And Other Intangible Assets,97951375.08,105552733.03,97027649.36,101644643.74
Other Intangible Assets,97951375.08,105552733.03,97027649.36,101644643.74
Net PPE,23911308039.96,18341254488.74,17014600402.03,15374765793.37
Accumulated Depreciation,-11714584352.92,-11244167960.93,-10567763836.93,-8825658241.0
Gross PPE,35625892392.88,29585422449.67,27582364238.96,24200424034.37
Construction In Progress,613074837.86,20508128.68,181965137.06,242747280.72
Other Properties,8787079106.75,3711733831.66,26484709382.59,23146435228.99
Machinery Furniture Equipment,25451047988.87,25128084705.24,262735940.56,194172334.69
Properties,774690459.4,725095784.09,652953778.75,617069189.97
Current Assets,6793500516.32,4497048667.65,4129150617.39,4486397637.97
Other Current Assets,366963999.05,469982795.72,56818251.25,138211470.88
Prepaid Assets,920110015.18,725835647.87,843205528.69,801666530.78
Inventory,873278622.06,676143346.2,681353526.42,454500510.61
Inventories Adjustments Allowances,0.0,0.0,0.0,0.0
Other Inventories,664322418.23,479403838.08,493647392.06,296496536.04
Finished Goods,34616669.18,30509563.35,40572577.97,28135890.16
Raw Materials,174339534.65,166229944.77,147133556.39,129868084.41
Other Receivables,1256946661.6,682233370.39,838705096.9,661904560.23
Accounts Receivable,495568958.57,440410033.57,712015269.62,516089794.97
Allowance For Doubtful Accounts Receivable,-33315347.16,-66385357.57,-61732460.9,-49640987.83
Gross Accounts Receivable,528884305.73,483288574.8,773747730.52,565730782.8
Cash Cash Equivalents And Short Term Investments,2880632259.86,1502443473.9,997052944.51,1914024770.5
Cash And Cash Equivalents,2880632259.86,1502443473.9,997052944.51,1914024770.5
Cash Equivalents,2615880928.98,1297192838.29,49049850.52,49800222.03
Cash Financial,214274951.21,134438590.14,948003093.99,1864224548.47
